Element 1: (1, (5, 3), ['.', '%', '.', '.'], [(6, 11), (6, 8), (15, 11)], [False, True, False, False], 98, False, [True, False, True, True], 9, 'East', (6, 3))
Element 2: (1, (6, 3), ['', '.', '.', '.'], [(7, 11), (6, 9), (16, 11)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (7, 3))
Element 3: (1, (7, 3), ['', '%', '%', '.'], [(8, 11), (7, 9), (17, 11)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (8, 3))
Element 4: (1, (8, 3), ['', '%', '', '.'], [(9, 11), (6, 9), (18, 11)], [False, True, False, False], 92, False, [False, False, False, True], 106, 'East', (9, 3))
Element 5: (1, (9, 3), ['', '%', '%', '.'], [(10, 11), (5, 9), (18, 10)], [False, True, True, False], 90, False, [False, False, False, True], 145, 'East', (10, 3))
Element 6: (1, (10, 3), ['', '%', '%', '.'], [(11, 11), (4, 9), (18, 9)], [False, True, True, False], 88, False, [False, False, False, True], 184, 'East', (11, 3))
Element 7: (1, (11, 3), ['', '%', '%', '.'], [(12, 11), (4, 10), (18, 8)], [False, True, True, False], 86, False, [False, False, False, True], 223, 'East', (12, 3))
Element 8: (1, (12, 3), ['', '%', '%', '.'], [(13, 11), (4, 11), (18, 7)], [False, True, True, False], 84, False, [False, False, False, True], 262, 'East', (13, 3))
Element 9: (1, (13, 3), ['', '.', '.', '%'], [(13, 10), (3, 11), (18, 6)], [False, False, False, True], 82, False, [False, True, True, False], 301, 'North', (13, 4))
Element 10: (1, (13, 4), ['%', '', '.', '%'], [(13, 9), (2, 11), (18, 5)], [True, False, False, True], 80, False, [False, False, True, False], 340, 'North', (13, 5))
Element 11: (1, (13, 5), ['%', '', '.', '%'], [(14, 9), (1, 11), (18, 4)], [True, False, False, True], 78, False, [False, False, True, False], 369, 'North', (13, 6))
Element 12: (1, (13, 6), ['%', '', '.', '%'], [(15, 9), (1, 10), (18, 3)], [True, False, False, True], 76, False, [False, False, True, False], 408, 'North', (13, 7))
Element 13: (1, (13, 7), ['%', '', '.', '%'], [(16, 9), (1, 9), (18, 2)], [True, False, False, True], 74, False, [False, False, True, False], 447, 'North', (13, 8))
Element 14: (1, (13, 8), ['%', '', '', '%'], [(16, 8), (1, 8), (18, 1)], [True, False, False, True], 72, False, [False, False, False, False], 476, 'North', (13, 9))
Element 15: (1, (13, 9), ['.', '', '', ''], [(16, 7), (1, 7), (17, 1)], [False, False, False, False], 70, False, [True, False, False, False], 505, 'West', (12, 9))
Element 16: (1, (12, 9), ['%', '%', '%', ''], [(17, 7), (2, 7), (16, 1)], [True, True, True, False], 68, False, [False, False, False, False], 544, 'East', (13, 9))
Element 17: (1, (13, 9), ['', '', '', ''], [(18, 7), (3, 7), (15, 1)], [False, False, False, False], 66, False, [False, False, False, False], 563, 'East', (14, 9))
Element 18: (1, (14, 9), ['', '%', '%', ''], [(18, 8), (4, 7), (15, 2)], [False, True, True, False], 64, False, [False, False, False, False], 582, 'East', (15, 9))
Element 19: (1, (15, 9), ['', '%', '.', ''], [(18, 9), (5, 7), (15, 3)], [False, True, False, False], 62, False, [False, False, True, False], 601, 'North', (15, 10))
Element 20: (1, (15, 10), ['%', '', '', '%'], [(18, 10), (6, 7), (16, 3)], [True, False, False, True], 60, False, [False, False, False, False], 630, 'North', (15, 11))
Element 21: (1, (15, 11), ['%', '', '%', ''], [(18, 11), (6, 6), (16, 4)], [True, False, True, False], 58, False, [False, False, False, False], 649, 'East', (16, 11))
Element 22: (1, (16, 11), ['', '%', '%', 'G'], [(17, 11), (6, 5), (16, 5)], [False, True, True, False], 56, False, [False, False, False, False], 668, 'West', (15, 11))
Element 23: (1, (15, 11), ['%', '', '%', 'G'], [(16, 11), (6, 4), (16, 6)], [True, False, True, False], 54, False, [False, False, False, False], 687, 'South', (15, 10))
Element 24: (1, (15, 10), ['%', '', 'G', '%'], [(15, 11), (5, 4), (15, 6)], [True, False, False, True], 52, False, [False, False, False, False], 706, 'South', (15, 9))
Element 25: (1, (15, 9), ['', '%', 'G', ''], [(15, 10), (5, 5), (15, 7)], [False, True, False, False], 50, False, [False, False, False, False], 725, 'East', (16, 9))
Element 26: (1, (16, 9), ['', '', '%', '%'], [(15, 11), (5, 6), (16, 7)], [False, False, True, True], 48, False, [False, False, False, False], 734, 'South', (16, 8))
Element 27: (1, (16, 8), ['%', '', '', '%'], [(16, 11), (4, 6), (17, 7)], [True, False, False, True], 46, False, [False, False, False, False], 743, 'South', (16, 7))
Element 28: (1, (16, 7), ['', '', '', ''], [(17, 11), (4, 5), (18, 7)], [False, False, False, False], 44, False, [False, False, False, False], 752, 'East', (17, 7))
Element 29: (1, (17, 7), ['', '%', '%', ''], [(18, 11), (4, 4), (17, 7)], [False, True, True, False], 42, False, [False, False, False, False], 761, 'East', (18, 7))
Element 30: (1, (18, 7), ['G', '', '', '%'], [(18, 10), (4, 3), (17, 7)], [False, False, False, True], 40, False, [False, False, False, False], 770, 'North', (18, 8))
Element 31: (1, (18, 8), ['%', '', 'G', '%'], [(18, 9), (4, 2), (17, 7)], [True, False, False, True], 38, False, [False, False, False, False], 779, 'South', (18, 7))
Element 32: (1, (18, 7), ['G', '', 'G', '%'], [(18, 8), (3, 2), (17, 7)], [False, False, False, True], 36, False, [False, False, False, False], 1778, 'South', (18, 6))
Element 33: #1#
