Element 39: (1, (10, 8), ['', '', '', '%'], [(18, 7), (16, 11), (17, 1)], [False, False, False, True], 22, False, [False, False, False, False], 761, 'North', (10, 9))
Element 40: (1, (10, 9), ['', '', '', '%'], [(18, 8), (17, 11), (17, 1)], [False, False, False, True], 20, False, [False, False, False, False], 760, 'North', (10, 10))
Element 41: (1, (10, 10), ['', '', '', '%'], [(18, 9), (18, 11), (17, 1)], [False, False, False, True], 18, False, [False, False, False, False], 759, 'North', (10, 11))
Element 42: (1, (10, 11), ['', '', '%', ''], [(18, 8), (18, 10), (17, 1)], [False, False, True, False], 16, False, [False, False, False, False], 758, 'East', (11, 11))
Element 43: (1, (11, 11), ['', '%', '%', ''], [(18, 7), (18, 9), (17, 1)], [False, True, True, False], 14, False, [False, False, False, False], 757, 'East', (12, 11))
Element 44: (1, (12, 11), ['', '%', '%', ''], [(17, 7), (18, 8), (17, 1)], [False, True, True, False], 12, False, [False, False, False, False], 756, 'East', (13, 11))
Element 45: (1, (13, 11), ['', '', '%', '%'], [(16, 7), (18, 7), (17, 1)], [False, False, True, True], 10, False, [False, False, False, False], 755, 'South', (13, 10))
Element 46: (1, (13, 10), ['%', '', '', '%'], [(15, 7), (18, 6), (17, 1)], [True, False, False, True], 8, False, [False, False, False, False], 754, 'South', (13, 9))
Element 47: (1, (13, 9), ['', '', '', ''], [(15, 6), (18, 5), (17, 1)], [False, False, False, False], 6, False, [False, False, False, False], 753, 'East', (14, 9))
Element 48: (1, (14, 9), ['', '%', '%', ''], [(15, 5), (18, 4), (16, 1)], [False, True, True, False], 4, False, [False, False, False, False], 752, 'East', (15, 9))
Element 49: (1, (15, 9), ['', '%', '', ''], [(15, 4), (18, 3), (16, 1)], [False, True, False, False], 2, False, [False, False, False, False], 751, 'East', (16, 9))
Element 50: (1, (16, 9), ['', '', '%', '%'], [(15, 4), (18, 2), (16, 1)], [False, False, True, True], 0, False, [False, False, False, False], 750, 'Stop', (16, 9))
Element 51: #0#
