Element 39: (2, (6, 7), ['.', '.', '', ''], [(16, 3), (8, 3), (9, 8)], [False, False, False, False], 22, False, [True, True, False, False], 701, 'South', (6, 6))
Element 40: (2, (6, 6), ['.', '.', '', '%'], [(15, 3), (7, 3), (10, 8)], [False, False, False, True], 20, False, [True, True, False, False], 710, 'South', (6, 5))
Element 41: (2, (6, 5), ['.', '.', '', '%'], [(15, 2), (6, 3), (9, 8)], [False, False, False, True], 18, False, [True, True, False, False], 719, 'South', (6, 4))
Element 42: (2, (6, 4), ['.', '', '', '%'], [(15, 1), (6, 2), (9, 9)], [False, False, False, True], 16, False, [True, False, False, False], 728, 'West', (5, 4))
Element 43: (2, (5, 4), ['.', '.', '.', ''], [(16, 1), (6, 3), (10, 9)], [False, False, False, False], 14, False, [True, True, True, False], 737, 'North', (5, 5))
Element 44: (2, (5, 5), ['.', '', '.', ''], [(17, 1), (5, 3), (10, 8)], [False, False, False, False], 12, False, [True, False, True, False], 756, 'North', (5, 6))
Element 45: (2, (5, 6), ['.', '', '.', ''], [(18, 1), (4, 3), (10, 9)], [False, False, False, False], 10, False, [True, False, True, False], 775, 'North', (5, 7))
Element 46: (2, (5, 7), ['.', '', '%', ''], [(18, 2), (4, 4), (10, 10)], [False, False, True, False], 8, False, [True, False, False, False], 794, 'West', (4, 7))
Element 47: (2, (4, 7), ['.', '.', '%', ''], [(18, 3), (4, 5), (9, 10)], [False, False, True, False], 6, False, [True, True, False, False], 813, 'South', (4, 6))
Element 48: (2, (4, 6), ['.', '', '', ''], [(18, 4), (3, 5), (10, 10)], [False, False, False, False], 4, False, [True, False, False, False], 832, 'West', (3, 6))
Element 49: (2, (3, 6), ['%', '', '.', ''], [(18, 5), (3, 4), (10, 11)], [True, False, False, False], 2, False, [False, False, True, False], 851, 'North', (3, 7))
Element 50: (2, (3, 7), ['.', '', '.', ''], [(18, 5), (3, 4), (9, 11)], [False, False, False, False], 0, False, [True, False, True, False], 860, 'Stop', (3, 7))
Element 51: #0#
