Element 1: (0, (10, 1), ['.', '%', '%', '.'], [(2, 11), (4, 4), (6, 6)], [False, True, True, False], 98, False, [True, False, False, True], 0, 'East', (11, 1))
Element 2: (0, (11, 1), ['', '%', '%', '.'], [(3, 11), (5, 4), (6, 7)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (12, 1))
Element 3: (0, (12, 1), ['', '%', '%', '.'], [(4, 11), (6, 4), (6, 8)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (13, 1))
Element 4: (0, (13, 1), ['', '%', '.', '%'], [(4, 10), (6, 5), (6, 9)], [False, True, False, True], 92, False, [False, False, True, False], 117, 'North', (13, 2))
Element 5: (0, (13, 2), ['%', '', '.', '%'], [(4, 9), (5, 5), (7, 9)], [True, False, False, True], 90, False, [False, False, True, False], 156, 'North', (13, 3))
Element 6: (0, (13, 3), ['.', '', '.', '%'], [(5, 9), (5, 6), (6, 9)], [False, False, False, True], 88, False, [True, False, True, False], 185, 'North', (13, 4))
Element 7: (0, (13, 4), ['%', '', '.', '%'], [(4, 9), (5, 7), (6, 10)], [True, False, False, True], 86, False, [False, False, True, False], 214, 'North', (13, 5))
Element 8: (0, (13, 5), ['%', '', '.', '%'], [(3, 9), (4, 7), (6, 11)], [True, False, False, True], 84, False, [False, False, True, False], 253, 'North', (13, 6))
Element 9: (0, (13, 6), ['%', '', '.', '%'], [(3, 8), (4, 6), (7, 11)], [True, False, False, True], 82, False, [False, False, True, False], 292, 'North', (13, 7))
Element 10: (0, (13, 7), ['%', '', '.', '%'], [(3, 7), (4, 5), (8, 11)], [True, False, False, True], 80, False, [False, False, True, False], 331, 'North', (13, 8))
Element 11: (0, (13, 8), ['%', '', '.', '%'], [(3, 6), (3, 5), (9, 11)], [True, False, False, True], 78, False, [False, False, True, False], 370, 'North', (13, 9))
Element 12: (0, (13, 9), ['.', '', '.', '.'], [(4, 6), (3, 4), (10, 11)], [False, False, False, False], 76, False, [True, False, True, True], 399, 'East', (14, 9))
Element 13: (0, (14, 9), ['', '%', '%', '.'], [(5, 6), (3, 3), (11, 11)], [False, True, True, False], 74, False, [False, False, False, True], 428, 'East', (15, 9))
Element 14: (0, (15, 9), ['', '%', '.', '.'], [(6, 6), (3, 2), (12, 11)], [False, True, False, False], 72, False, [False, False, True, True], 1447, 'East', (16, 9))
Element 15: #1#
