Element 1: (1, (2, 11), ['', '%', '%', '.'], [(13, 8), (5, 4), (8, 3)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'East', (3, 11))
Element 2: (1, (3, 11), ['', '%', '%', '.'], [(13, 9), (6, 4), (9, 3)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (4, 11))
Element 3: (1, (4, 11), ['', '.', '%', '%'], [(14, 9), (6, 5), (10, 3)], [False, False, True, True], 94, False, [False, True, False, False], 87, 'South', (4, 10))
Element 4: (1, (4, 10), ['%', '.', '', '%'], [(15, 9), (6, 6), (11, 3)], [True, False, False, True], 92, False, [False, True, False, False], 126, 'South', (4, 9))
Element 5: (1, (4, 9), ['.', '%', '', '.'], [(16, 9), (6, 7), (12, 3)], [False, True, False, False], 90, False, [True, False, False, True], 165, 'East', (5, 9))
Element 6: (1, (5, 9), ['', '%', '%', '.'], [(16, 8), (6, 8), (13, 3)], [False, True, True, False], 88, False, [False, False, False, True], 204, 'East', (6, 9))
Element 7: (1, (6, 9), ['', '', '.', '.'], [(16, 7), (6, 7), (13, 4)], [False, False, False, False], 86, False, [False, False, True, True], 233, 'East', (7, 9))
Element 8: (1, (7, 9), ['', '%', '%', '%'], [(17, 7), (5, 7), (13, 5)], [False, True, True, True], 84, False, [False, False, False, False], 272, 'West', (6, 9))
Element 9: (1, (6, 9), ['', '', '.', ''], [(18, 7), (5, 6), (13, 6)], [False, False, False, False], 82, False, [False, False, True, False], 301, 'North', (6, 10))
Element 10: (1, (6, 10), ['%', '', '.', '%'], [(18, 8), (5, 5), (13, 7)], [True, False, False, True], 80, False, [False, False, True, False], 330, 'North', (6, 11))
Element 11: (1, (6, 11), ['%', '', '%', '.'], [(18, 9), (4, 5), (13, 8)], [True, False, True, False], 78, False, [False, False, False, True], 359, 'East', (7, 11))
Element 12: (1, (7, 11), ['', '%', '%', '.'], [(18, 10), (4, 6), (13, 9)], [False, True, True, False], 76, False, [False, False, False, True], 388, 'East', (8, 11))
Element 13: (1, (8, 11), ['', '%', '%', '.'], [(18, 11), (4, 7), (13, 10)], [False, True, True, False], 74, False, [False, False, False, True], 417, 'East', (9, 11))
Element 14: (1, (9, 11), ['', '.', '%', '.'], [(17, 11), (3, 7), (13, 11)], [False, False, True, False], 72, False, [False, True, False, True], 456, 'East', (10, 11))
Element 15: (1, (10, 11), ['', '.', '%', '.'], [(16, 11), (3, 8), (12, 11)], [False, False, True, False], 70, False, [False, True, False, True], 495, 'East', (11, 11))
Element 16: (1, (11, 11), ['', '%', '%', ''], [(15, 11), (3, 9), (13, 11)], [False, True, True, False], 68, False, [False, False, False, False], 524, 'East', (12, 11))
Element 17: (1, (12, 11), ['', '%', '%', ''], [(15, 10), (4, 9), (13, 10)], [False, True, True, False], 66, False, [False, False, False, False], 533, 'East', (13, 11))
Element 18: (1, (13, 11), ['', '', '%', '%'], [(15, 11), (5, 9), (13, 9)], [False, False, True, True], 64, False, [False, False, False, False], 532, 'South', (13, 10))
Element 19: (1, (13, 10), ['%', '', '', '%'], [(16, 11), (6, 9), (12, 9)], [True, False, False, True], 62, False, [False, False, False, False], 541, 'South', (13, 9))
Element 20: (1, (13, 9), ['G', '', '', ''], [(17, 11), (7, 9), (12, 9)], [False, False, False, False], 60, False, [False, False, False, False], 540, 'East', (14, 9))
Element 21: (1, (14, 9), ['G', '%', '%', ''], [(18, 11), (6, 9), (13, 9)], [False, True, True, False], 58, False, [False, False, False, False], 539, 'East', (15, 9))
Element 22: (1, (15, 9), ['', '%', '', ''], [(18, 10), (6, 10), (13, 9)], [False, True, False, False], 56, False, [False, False, False, False], 538, 'East', (16, 9))
Element 23: (1, (16, 9), ['', '', '%', '%'], [(18, 9), (6, 11), (13, 8)], [False, False, True, True], 54, False, [False, False, False, False], 537, 'South', (16, 8))
Element 24: (1, (16, 8), ['%', '', '', '%'], [(18, 8), (7, 11), (13, 7)], [True, False, False, True], 52, False, [False, False, False, False], 536, 'South', (16, 7))
Element 25: (1, (16, 7), ['.', '.', '', ''], [(18, 7), (8, 11), (13, 6)], [False, False, False, False], 50, False, [True, True, False, False], 535, 'South', (16, 6))
Element 26: (1, (16, 6), ['.', '.', '', '%'], [(18, 6), (9, 11), (13, 5)], [False, False, False, True], 48, False, [True, True, False, False], 554, 'South', (16, 5))
Element 27: (1, (16, 5), ['.', '.', '', '%'], [(18, 5), (9, 10), (13, 4)], [False, False, False, True], 46, False, [True, True, False, False], 583, 'South', (16, 4))
Element 28: (1, (16, 4), ['.', '.', '', '%'], [(18, 4), (10, 10), (13, 3)], [False, False, False, True], 44, False, [True, True, False, False], 612, 'South', (16, 3))
Element 29: (1, (16, 3), ['.', '%', '', '%'], [(18, 3), (10, 9), (13, 2)], [False, True, False, True], 42, False, [True, False, False, False], 651, 'West', (15, 3))
Element 30: (1, (15, 3), ['%', '.', '.', ''], [(18, 2), (9, 9), (13, 1)], [True, False, False, False], 40, False, [False, True, True, False], 690, 'North', (15, 4))
Element 31: (1, (15, 4), ['%', '', '.', ''], [(18, 1), (9, 8), (12, 1)], [True, False, False, False], 38, False, [False, False, True, False], 709, 'North', (15, 5))
Element 32: (1, (15, 5), ['%', '', '.', ''], [(17, 1), (9, 7), (11, 1)], [True, False, False, False], 36, False, [False, False, True, False], 748, 'North', (15, 6))
Element 33: (1, (15, 6), ['%', '', '.', ''], [(16, 1), (10, 7), (10, 1)], [True, False, False, False], 34, False, [False, False, True, False], 787, 'North', (15, 7))
Element 34: (1, (15, 7), ['%', '', '%', ''], [(15, 1), (11, 7), (9, 1)], [True, False, True, False], 32, False, [False, False, False, False], 826, 'South', (15, 6))
Element 35: (1, (15, 6), ['%', '', '', ''], [(15, 2), (10, 7), (8, 1)], [True, False, False, False], 30, False, [False, False, False, False], 845, 'South', (15, 5))
Element 36: (1, (15, 5), ['%', '', '', ''], [(15, 3), (10, 8), (7, 1)], [True, False, False, False], 28, False, [False, False, False, False], 854, 'South', (15, 4))
Element 37: (1, (15, 4), ['%', '', '', ''], [(16, 3), (10, 7), (6, 1)], [True, False, False, False], 26, False, [False, False, False, False], 863, 'South', (15, 3))
Element 38: (1, (15, 3), ['%', '', '', ''], [(16, 4), (9, 7), (6, 2)], [True, False, False, False], 24, False, [False, False, False, False], 872, 'South', (15, 2))
Element 39: (1, (15, 2), ['%', '', '', '%'], [(16, 5), (9, 8), (6, 3)], [True, False, False, True], 22, False, [False, False, False, False], 881, 'South', (15, 1))
Element 40: (1, (15, 1), ['%', '%', '', ''], [(16, 6), (10, 8), (7, 3)], [True, True, False, False], 20, False, [False, False, False, False], 890, 'East', (16, 1))
Element 41: (1, (16, 1), ['', '%', '%', ''], [(15, 6), (9, 8), (6, 3)], [False, True, True, False], 18, False, [False, False, False, False], 889, 'East', (17, 1))
Element 42: (1, (17, 1), ['', '%', '%', ''], [(15, 7), (9, 9), (5, 3)], [False, True, True, False], 16, False, [False, False, False, False], 898, 'East', (18, 1))
Element 43: (1, (18, 1), ['', '%', '', '%'], [(15, 6), (10, 9), (4, 3)], [False, True, False, True], 14, False, [False, False, False, False], 907, 'North', (18, 2))
Element 44: (1, (18, 2), ['%', '', '', '%'], [(15, 5), (10, 8), (4, 4)], [True, False, False, True], 12, False, [False, False, False, False], 916, 'North', (18, 3))
Element 45: (1, (18, 3), ['%', '', '', '%'], [(15, 4), (10, 9), (3, 4)], [True, False, False, True], 10, False, [False, False, False, False], 925, 'North', (18, 4))
Element 46: (1, (18, 4), ['%', '', '', '%'], [(15, 5), (10, 10), (3, 5)], [True, False, False, True], 8, False, [False, False, False, False], 934, 'North', (18, 5))
Element 47: (1, (18, 5), ['%', '', '', '%'], [(15, 6), (10, 11), (3, 6)], [True, False, False, True], 6, False, [False, False, False, False], 943, 'North', (18, 6))
Element 48: (1, (18, 6), ['%', '', '', '%'], [(16, 6), (11, 11), (4, 6)], [True, False, False, True], 4, False, [False, False, False, False], 942, 'North', (18, 7))
Element 49: (1, (18, 7), ['', '', '', '%'], [(16, 5), (12, 11), (5, 6)], [False, False, False, True], 2, False, [False, False, False, False], 941, 'North', (18, 8))
Element 50: (1, (18, 8), ['%', '', '', '%'], [(16, 5), (13, 11), (6, 6)], [True, False, False, True], 0, False, [False, False, False, False], 940, 'Stop', (18, 8))
Element 51: #0#
