Element 1: (2, (15, 5), ['%', '.', '.', '.'], [(6, 3), (1, 9), (16, 6)], [True, False, False, False], 98, False, [False, True, True, True], 19, 'East', (16, 5))
Element 2: (2, (16, 5), ['', '.', '', '%'], [(7, 3), (1, 10), (16, 7)], [False, False, False, True], 96, False, [False, True, False, False], 58, 'South', (16, 4))
Element 3: (2, (16, 4), ['.', '.', '', '%'], [(8, 3), (1, 11), (17, 7)], [False, False, False, True], 94, False, [True, True, False, False], 87, 'South', (16, 3))
Element 4: (2, (16, 3), ['.', '%', '', '%'], [(9, 3), (2, 11), (18, 7)], [False, True, False, True], 92, False, [True, False, False, False], 126, 'West', (15, 3))
Element 5: (2, (15, 3), ['%', '.', '.', ''], [(10, 3), (3, 11), (18, 8)], [True, False, False, False], 90, False, [False, True, True, False], 165, 'North', (15, 4))
Element 6: (2, (15, 4), ['%', '', '', ''], [(11, 3), (4, 11), (18, 9)], [True, False, False, False], 88, False, [False, False, False, False], 204, 'South', (15, 3))
Element 7: (2, (15, 3), ['%', '.', '', ''], [(12, 3), (4, 10), (18, 10)], [True, False, False, False], 86, False, [False, True, False, False], 233, 'South', (15, 2))
Element 8: (2, (15, 2), ['%', '.', '', '%'], [(13, 3), (4, 9), (18, 11)], [True, False, False, True], 84, False, [False, True, False, False], 262, 'South', (15, 1))
Element 9: (2, (15, 1), ['%', '%', '', '.'], [(13, 4), (5, 9), (17, 11)], [True, True, False, False], 82, False, [False, False, False, True], 301, 'East', (16, 1))
Element 10: (2, (16, 1), ['', '%', '%', '.'], [(13, 5), (6, 9), (16, 11)], [False, True, True, False], 80, False, [False, False, False, True], 340, 'East', (17, 1))
Element 11: (2, (17, 1), ['', '%', '%', ''], [(13, 6), (7, 9), (15, 11)], [False, True, True, False], 78, False, [False, False, False, False], 379, 'East', (18, 1))
Element 12: (2, (18, 1), ['', '%', '.', '%'], [(13, 7), (6, 9), (15, 10)], [False, True, False, True], 76, False, [False, False, True, False], 398, 'North', (18, 2))
Element 13: (2, (18, 2), ['%', '', '.', '%'], [(13, 8), (6, 10), (15, 9)], [True, False, False, True], 74, False, [False, False, True, False], 437, 'North', (18, 3))
Element 14: (2, (18, 3), ['%', '', '.', '%'], [(13, 9), (6, 11), (16, 9)], [True, False, False, True], 72, False, [False, False, True, False], 476, 'North', (18, 4))
Element 15: (2, (18, 4), ['%', '', '.', '%'], [(14, 9), (7, 11), (16, 8)], [True, False, False, True], 70, False, [False, False, True, False], 515, 'North', (18, 5))
Element 16: (2, (18, 5), ['%', '', '.', '%'], [(15, 9), (8, 11), (16, 9)], [True, False, False, True], 68, False, [False, False, True, False], 534, 'North', (18, 6))
Element 17: (2, (18, 6), ['%', '', '', '%'], [(16, 9), (9, 11), (16, 8)], [True, False, False, True], 66, False, [False, False, False, False], 553, 'North', (18, 7))
Element 18: (2, (18, 7), ['', '', '', '%'], [(16, 8), (10, 11), (16, 9)], [False, False, False, True], 64, False, [False, False, False, False], 562, 'North', (18, 8))
Element 19: (2, (18, 8), ['%', '', '', '%'], [(16, 7), (11, 11), (15, 9)], [True, False, False, True], 62, False, [False, False, False, False], 571, 'North', (18, 9))
Element 20: (2, (18, 9), ['%', '', '', '%'], [(15, 7), (12, 11), (15, 10)], [True, False, False, True], 60, False, [False, False, False, False], 590, 'North', (18, 10))
Element 21: (2, (18, 10), ['%', '', '', '%'], [(15, 6), (13, 11), (15, 11)], [True, False, False, True], 58, False, [False, False, False, False], 609, 'North', (18, 11))
Element 22: (2, (18, 11), ['', '', '%', '%'], [(16, 6), (13, 10), (16, 11)], [False, False, True, True], 56, False, [False, False, False, False], 618, 'West', (17, 11))
Element 23: (2, (17, 11), ['', '%', '%', ''], [(16, 5), (13, 9), (15, 11)], [False, True, True, False], 54, False, [False, False, False, False], 617, 'West', (16, 11))
Element 24: (2, (16, 11), ['', '%', '%', ''], [(16, 4), (12, 9), (16, 11)], [False, True, True, False], 52, False, [False, False, False, False], 626, 'West', (15, 11))
Element 25: (2, (15, 11), ['%', '', '%', 'G'], [(16, 3), (13, 9), (16, 11)], [True, False, True, False], 50, False, [False, False, False, False], 625, 'South', (15, 10))
Element 26: (2, (15, 10), ['%', '', '', '%'], [(15, 3), (14, 9), (16, 11)], [True, False, False, True], 48, False, [False, False, False, False], 624, 'South', (15, 9))
