Element 1: (1, (1, 10), ['%', '.', '', '%'], [(13, 9), (15, 5), (15, 7)], [True, False, False, True], 98, False, [False, True, False, False], 9, 'South', (1, 9))
Element 2: (1, (1, 9), ['%', '.', '', '%'], [(14, 9), (16, 5), (16, 7)], [True, False, False, True], 96, False, [False, True, False, False], 48, 'South', (1, 8))
Element 3: (1, (1, 8), ['%', '.', '', '%'], [(15, 9), (16, 6), (17, 7)], [True, False, False, True], 94, False, [False, True, False, False], 87, 'South', (1, 7))
Element 4: (1, (1, 7), ['%', '.', '', '.'], [(16, 9), (15, 6), (18, 7)], [True, False, False, False], 92, False, [False, True, False, True], 126, 'East', (2, 7))
Element 5: (1, (2, 7), ['', '%', '%', '.'], [(16, 8), (15, 7), (18, 8)], [False, True, True, False], 90, False, [False, False, False, True], 155, 'East', (3, 7))
Element 6: (1, (3, 7), ['', '.', '.', '.'], [(16, 9), (16, 7), (18, 9)], [False, False, False, False], 88, False, [False, True, True, True], 174, 'East', (4, 7))
Element 7: (1, (4, 7), ['', '.', '%', '.'], [(15, 9), (17, 7), (18, 10)], [False, False, True, False], 86, False, [False, True, False, True], 193, 'East', (5, 7))
Element 8: (1, (5, 7), ['', '.', '%', '.'], [(15, 10), (18, 7), (18, 11)], [False, False, True, False], 84, False, [False, True, False, True], 212, 'East', (6, 7))
Element 9: (1, (6, 7), ['', '.', '.', ''], [(15, 11), (18, 6), (17, 11)], [False, False, False, False], 82, False, [False, True, True, False], 251, 'North', (6, 8))
Element 10: (1, (6, 8), ['%', '', '.', '%'], [(15, 10), (18, 5), (16, 11)], [True, False, False, True], 80, False, [False, False, True, False], 280, 'North', (6, 9))
Element 11: (1, (6, 9), ['.', '', '.', '.'], [(15, 9), (18, 4), (15, 11)], [False, False, False, False], 78, False, [True, False, True, True], 299, 'East', (7, 9))
Element 12: (1, (7, 9), ['', '%', '%', '%'], [(14, 9), (18, 3), (15, 10)], [False, True, True, True], 76, False, [False, False, False, False], 318, 'West', (6, 9))
Element 13: (1, (6, 9), ['.', '', '.', ''], [(13, 9), (18, 2), (15, 9)], [False, False, False, False], 74, False, [True, False, True, False], 327, 'North', (6, 10))
Element 14: (1, (6, 10), ['%', '', '.', '%'], [(13, 10), (18, 1), (16, 9)], [True, False, False, True], 72, False, [False, False, True, False], 346, 'North', (6, 11))
Element 15: (1, (6, 11), ['%', '', '%', '.'], [(13, 11), (17, 1), (16, 8)], [True, False, True, False], 70, False, [False, False, False, True], 375, 'East', (7, 11))
Element 16: (1, (7, 11), ['', '%', '%', '.'], [(12, 11), (16, 1), (16, 9)], [False, True, True, False], 68, False, [False, False, False, True], 404, 'East', (8, 11))
Element 17: (1, (8, 11), ['', '%', '%', '.'], [(11, 11), (15, 1), (15, 9)], [False, True, True, False], 66, False, [False, False, False, True], 433, 'East', (9, 11))
Element 18: (1, (9, 11), ['', '.', '%', 'G'], [(10, 11), (15, 2), (14, 9)], [False, False, True, False], 64, False, [False, True, False, False], 462, 'South', (9, 10))
Element 19: (1, (9, 10), ['%', '.', '', 'G'], [(10, 10), (15, 3), (13, 9)], [True, False, False, False], 62, False, [False, True, False, False], 491, 'South', (9, 9))
Element 20: (1, (9, 9), ['%', '', '', 'G'], [(10, 9), (16, 3), (12, 9)], [True, False, False, False], 60, False, [False, False, False, False], 530, 'South', (9, 8))
Element 21: (1, (9, 8), ['%', '.', '', 'G'], [(10, 8), (16, 4), (13, 9)], [True, False, False, False], 58, False, [False, True, False, False], 539, 'South', (9, 7))
Element 22: (1, (9, 7), ['%', '%', '', 'G'], [(10, 7), (15, 4), (13, 10)], [True, True, False, False], 56, False, [False, False, False, False], 568, 'North', (9, 8))
Element 23: (1, (9, 8), ['%', '', '', ''], [(11, 7), (16, 4), (13, 11)], [True, False, False, False], 54, False, [False, False, False, False], 577, 'North', (9, 9))
Element 24: (1, (9, 9), ['%', '', '', ''], [(10, 7), (16, 3), (12, 11)], [True, False, False, False], 52, False, [False, False, False, False], 576, 'North', (9, 10))
Element 25: (1, (9, 10), ['%', '', '', ''], [(9, 7), (15, 3), (11, 11)], [True, False, False, False], 50, False, [False, False, False, False], 575, 'North', (9, 11))
Element 26: (1, (9, 11), ['', '', '%', 'G'], [(9, 8), (15, 4), (10, 11)], [False, False, True, False], 48, False, [False, False, False, False], 574, 'West', (8, 11))
Element 27: (1, (8, 11), ['', '%', '%', ''], [(9, 9), (15, 3), (10, 10)], [False, True, True, False], 46, False, [False, False, False, False], 573, 'West', (7, 11))
Element 28: (1, (7, 11), ['', '%', '%', ''], [(9, 10), (15, 2), (10, 9)], [False, True, True, False], 44, False, [False, False, False, False], 572, 'West', (6, 11))
Element 29: (1, (6, 11), ['%', '', '%', ''], [(9, 11), (15, 1), (10, 8)], [True, False, True, False], 42, False, [False, False, False, False], 571, 'South', (6, 10))
Element 30: (1, (6, 10), ['%', '', '', '%'], [(8, 11), (16, 1), (10, 7)], [True, False, False, True], 40, False, [False, False, False, False], 570, 'South', (6, 9))
Element 31: (1, (6, 9), ['.', '', '', ''], [(7, 11), (17, 1), (11, 7)], [False, False, False, False], 38, False, [True, False, False, False], 569, 'West', (5, 9))
Element 32: (1, (5, 9), ['.', '%', '%', ''], [(6, 11), (18, 1), (10, 7)], [False, True, True, False], 36, False, [True, False, False, False], 578, 'West', (4, 9))
Element 33: (1, (4, 9), ['.', '%', '.', ''], [(6, 10), (18, 2), (9, 7)], [False, True, False, False], 34, False, [True, False, True, False], 587, 'North', (4, 10))
Element 34: (1, (4, 10), ['%', '', '.', '%'], [(6, 9), (18, 3), (9, 8)], [True, False, False, True], 32, False, [False, False, True, False], 596, 'North', (4, 11))
Element 35: (1, (4, 11), ['.', '', '%', '%'], [(7, 9), (18, 4), (9, 9)], [False, False, True, True], 30, False, [True, False, False, False], 605, 'West', (3, 11))
Element 36: (1, (3, 11), ['.', '%', '%', ''], [(6, 9), (18, 5), (9, 10)], [False, True, True, False], 28, False, [True, False, False, False], 614, 'West', (2, 11))
Element 37: (1, (2, 11), ['', '%', '%', ''], [(6, 8), (18, 6), (9, 11)], [False, True, True, False], 26, False, [False, False, False, False], 623, 'West', (1, 11))
Element 38: (1, (1, 11), ['%', '', '%', ''], [(6, 7), (18, 7), (8, 11)], [True, False, True, False], 24, False, [False, False, False, False], 622, 'East', (2, 11))
Element 39: (1, (2, 11), ['', '%', '%', ''], [(6, 6), (18, 8), (7, 11)], [False, True, True, False], 22, False, [False, False, False, False], 631, 'East', (3, 11))
Element 40: (1, (3, 11), ['', '%', '%', ''], [(6, 5), (18, 9), (6, 11)], [False, True, True, False], 20, False, [False, False, False, False], 640, 'East', (4, 11))
Element 41: (1, (4, 11), ['', '', '%', '%'], [(6, 4), (18, 10), (6, 10)], [False, False, True, True], 18, False, [False, False, False, False], 649, 'South', (4, 10))
Element 42: (1, (4, 10), ['%', '', '', '%'], [(6, 3), (18, 11), (6, 9)], [True, False, False, True], 16, False, [False, False, False, False], 658, 'South', (4, 9))
Element 43: (1, (4, 9), ['.', '%', '', ''], [(7, 3), (17, 11), (7, 9)], [False, True, False, False], 14, False, [True, False, False, False], 667, 'West', (3, 9))
Element 44: (1, (3, 9), ['%', '.', '%', ''], [(8, 3), (16, 11), (6, 9)], [True, False, True, False], 12, False, [False, True, False, False], 686, 'South', (3, 8))
Element 45: (1, (3, 8), ['%', '', '', '%'], [(9, 3), (15, 11), (6, 8)], [True, False, False, True], 10, False, [False, False, False, False], 705, 'North', (3, 9))
Element 46: (1, (3, 9), ['%', '', '%', ''], [(10, 3), (15, 10), (6, 7)], [True, False, True, False], 8, False, [False, False, False, False], 714, 'East', (4, 9))
Element 47: (1, (4, 9), ['', '%', '', ''], [(11, 3), (15, 9), (7, 7)], [False, True, False, False], 6, False, [False, False, False, False], 723, 'East', (5, 9))
Element 48: (1, (5, 9), ['', '%', '%', ''], [(12, 3), (16, 9), (6, 7)], [False, True, True, False], 4, False, [False, False, False, False], 732, 'East', (6, 9))
Element 49: (1, (6, 9), ['', '', '', ''], [(13, 3), (16, 8), (6, 6)], [False, False, False, False], 2, False, [False, False, False, False], 741, 'South', (6, 8))
Element 50: (1, (6, 8), ['%', '', '', '%'], [(13, 3), (16, 9), (5, 6)], [True, False, False, True], 0, False, [False, False, False, False], 750, 'Stop', (6, 8))
Element 51: #0#
