Element 39: (1, (16, 4), ['G', '', '', '%'], [(15, 4), (16, 11), (15, 3)], [False, False, False, True], 22, False, [False, False, False, False], 611, 'North', (16, 5))
Element 40: (1, (16, 5), ['', '', '', '%'], [(15, 3), (15, 11), (16, 3)], [False, False, False, True], 20, False, [False, False, False, False], 610, 'North', (16, 6))
Element 41: (1, (16, 6), ['', '', '', '%'], [(15, 2), (15, 10), (16, 4)], [False, False, False, True], 18, False, [False, False, False, False], 609, 'West', (15, 6))
Element 42: (1, (15, 6), ['%', '', '', ''], [(15, 1), (15, 9), (16, 5)], [True, False, False, False], 16, False, [False, False, False, False], 608, 'North', (15, 7))
Element 43: (1, (15, 7), ['%', '', '%', ''], [(16, 1), (14, 9), (15, 5)], [True, False, True, False], 14, False, [False, False, False, False], 607, 'South', (15, 6))
Element 44: (1, (15, 6), ['%', '', '', ''], [(17, 1), (13, 9), (15, 4)], [True, False, False, False], 12, False, [False, False, False, False], 606, 'South', (15, 5))
Element 45: (1, (15, 5), ['%', '', '', ''], [(18, 1), (13, 10), (15, 3)], [True, False, False, False], 10, False, [False, False, False, False], 605, 'South', (15, 4))
Element 46: (1, (15, 4), ['%', '', '', ''], [(18, 2), (13, 11), (15, 4)], [True, False, False, False], 8, False, [False, False, False, False], 604, 'North', (15, 5))
Element 47: (1, (15, 5), ['%', '', '', ''], [(18, 3), (12, 11), (16, 4)], [True, False, False, False], 6, False, [False, False, False, False], 603, 'North', (15, 6))
Element 48: (1, (15, 6), ['%', '', '', ''], [(18, 4), (11, 11), (15, 4)], [True, False, False, False], 4, False, [False, False, False, False], 602, 'East', (16, 6))
Element 49: (1, (16, 6), ['', '', '', '%'], [(18, 5), (10, 11), (16, 4)], [False, False, False, True], 2, False, [False, False, False, False], 601, 'South', (16, 5))
Element 50: (1, (16, 5), ['', '', '', '%'], [(18, 5), (10, 10), (16, 3)], [False, False, False, True], 0, False, [False, False, False, False], 610, 'Stop', (16, 5))
Element 51: #0#
