Element 39: (3, (16, 5), ['', '', '', '%'], [(15, 11), (16, 11), (15, 2)], [False, False, False, True], 22, False, [False, False, False, False], 671, 'North', (16, 6))
Element 40: (3, (16, 6), ['', '', '', '%'], [(15, 10), (16, 11), (15, 3)], [False, False, False, True], 20, False, [False, False, False, False], 670, 'West', (15, 6))
Element 41: (3, (15, 6), ['%', '', '', ''], [(15, 11), (16, 11), (15, 4)], [True, False, False, False], 18, False, [False, False, False, False], 669, 'North', (15, 7))
Element 42: (3, (15, 7), ['%', '', '%', ''], [(15, 10), (16, 11), (15, 5)], [True, False, True, False], 16, False, [False, False, False, False], 668, 'South', (15, 6))
Element 43: (3, (15, 6), ['%', '', '', ''], [(15, 11), (16, 11), (15, 4)], [True, False, False, False], 14, False, [False, False, False, False], 667, 'South', (15, 5))
Element 44: (3, (15, 5), ['%', '', '', ''], [(16, 11), (16, 11), (15, 5)], [True, False, False, False], 12, False, [False, False, False, False], 666, 'South', (15, 4))
Element 45: (3, (15, 4), ['%', '', '', ''], [(16, 11), (16, 11), (15, 6)], [True, False, False, False], 10, False, [False, False, False, False], 665, 'North', (15, 5))
Element 46: (3, (15, 5), ['%', '', '', ''], [(16, 11), (16, 11), (15, 7)], [True, False, False, False], 8, False, [False, False, False, False], 664, 'North', (15, 6))
Element 47: (3, (15, 6), ['%', '', '', ''], [(16, 11), (16, 11), (16, 7)], [True, False, False, False], 6, False, [False, False, False, False], 663, 'East', (16, 6))
Element 48: (3, (16, 6), ['', '', '', '%'], [(16, 11), (15, 11), (17, 7)], [False, False, False, True], 4, False, [False, False, False, False], 662, 'South', (16, 5))
Element 49: (3, (16, 5), ['', '', '', '%'], [(16, 11), (15, 10), (18, 7)], [False, False, False, True], 2, False, [False, False, False, False], 661, 'West', (15, 5))
Element 50: (3, (15, 5), ['%', '', '', ''], [(16, 11), (15, 10), (18, 7)], [True, False, False, False], 0, False, [False, False, False, False], 660, 'Stop', (15, 5))
Element 51: #0#
