Element 1: (1, (2, 11), ['', '%', '%', '.'], [(13, 3), (11, 1), (16, 3)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'East', (3, 11))
Element 2: (1, (3, 11), ['', '%', '%', '.'], [(13, 4), (12, 1), (16, 4)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (4, 11))
Element 3: (1, (4, 11), ['', '.', '%', '%'], [(13, 5), (13, 1), (16, 5)], [False, False, True, True], 94, False, [False, True, False, False], 87, 'South', (4, 10))
Element 4: (1, (4, 10), ['%', '.', '', '%'], [(13, 6), (13, 2), (16, 6)], [True, False, False, True], 92, False, [False, True, False, False], 126, 'South', (4, 9))
Element 5: (1, (4, 9), ['.', '%', '', '.'], [(13, 7), (13, 3), (16, 7)], [False, True, False, False], 90, False, [True, False, False, True], 155, 'East', (5, 9))
Element 6: (1, (5, 9), ['', '%', '%', '.'], [(13, 8), (13, 4), (17, 7)], [False, True, True, False], 88, False, [False, False, False, True], 184, 'East', (6, 9))
Element 7: (1, (6, 9), ['', '.', '.', '.'], [(13, 9), (13, 5), (18, 7)], [False, False, False, False], 86, False, [False, True, True, True], 213, 'East', (7, 9))
Element 8: (1, (7, 9), ['', '%', '%', '%'], [(14, 9), (13, 6), (18, 8)], [False, True, True, True], 84, False, [False, False, False, False], 242, 'West', (6, 9))
Element 9: (1, (6, 9), ['', '.', '.', ''], [(15, 9), (13, 7), (18, 9)], [False, False, False, False], 82, False, [False, True, True, False], 261, 'North', (6, 10))
Element 10: (1, (6, 10), ['%', '', '.', '%'], [(16, 9), (13, 8), (18, 10)], [True, False, False, True], 80, False, [False, False, True, False], 290, 'North', (6, 11))
Element 11: (1, (6, 11), ['%', '', '%', '.'], [(16, 8), (13, 9), (18, 11)], [True, False, True, False], 78, False, [False, False, False, True], 309, 'East', (7, 11))
Element 12: (1, (7, 11), ['', '%', '%', '.'], [(16, 7), (13, 10), (17, 11)], [False, True, True, False], 76, False, [False, False, False, True], 338, 'East', (8, 11))
Element 13: (1, (8, 11), ['', '%', '%', '.'], [(15, 7), (13, 11), (16, 11)], [False, True, True, False], 74, False, [False, False, False, True], 377, 'East', (9, 11))
Element 14: (1, (9, 11), ['', '.', '%', '.'], [(15, 6), (12, 11), (15, 11)], [False, False, True, False], 72, False, [False, True, False, True], 416, 'East', (10, 11))
Element 15: (1, (10, 11), ['', '.', '%', 'G'], [(15, 5), (11, 11), (15, 10)], [False, False, True, False], 70, False, [False, True, False, False], 455, 'South', (10, 10))
Element 16: (1, (10, 10), ['.', '.', 'G', '%'], [(15, 4), (10, 11), (15, 9)], [False, False, False, True], 68, False, [True, True, False, False], 474, 'South', (10, 9))
Element 17: (1, (10, 9), ['.', '', 'G', '%'], [(15, 3), (10, 10), (16, 9)], [False, False, False, True], 66, False, [True, False, False, False], 493, 'West', (9, 9))
Element 18: (1, (9, 9), ['%', '', 'G', ''], [(15, 2), (9, 10), (16, 8)], [True, False, False, False], 64, False, [False, False, False, False], 522, 'South', (9, 8))
Element 19: (1, (9, 8), ['%', '.', '', ''], [(15, 1), (9, 11), (16, 9)], [True, False, False, False], 62, False, [False, True, False, False], 531, 'South', (9, 7))
Element 20: (1, (9, 7), ['%', '%', '', '.'], [(16, 1), (8, 11), (15, 9)], [True, True, False, False], 60, False, [False, False, False, True], 550, 'East', (10, 7))
Element 21: (1, (10, 7), ['', '%', '', '.'], [(17, 1), (7, 11), (14, 9)], [False, True, False, False], 58, False, [False, False, False, True], 569, 'East', (11, 7))
Element 22: (1, (11, 7), ['', '%', '%', '%'], [(18, 1), (6, 11), (13, 9)], [False, True, True, True], 56, False, [False, False, False, False], 578, 'West', (10, 7))
Element 23: (1, (10, 7), ['', '%', '', ''], [(18, 2), (6, 10), (12, 9)], [False, True, False, False], 54, False, [False, False, False, False], 597, 'North', (10, 8))
Element 24: (1, (10, 8), ['', '', '', '%'], [(18, 3), (6, 9), (13, 9)], [False, False, False, True], 52, False, [False, False, False, False], 606, 'South', (10, 7))
Element 25: (1, (10, 7), ['', '%', '', ''], [(18, 4), (6, 8), (13, 10)], [False, True, False, False], 50, False, [False, False, False, False], 625, 'West', (9, 7))
Element 26: (1, (9, 7), ['%', '%', '', ''], [(18, 5), (6, 7), (13, 11)], [True, True, False, False], 48, False, [False, False, False, False], 644, 'North', (9, 8))
Element 27: (1, (9, 8), ['%', '', '', ''], [(18, 6), (6, 6), (12, 11)], [True, False, False, False], 46, False, [False, False, False, False], 663, 'East', (10, 8))
Element 28: (1, (10, 8), ['', '', '', '%'], [(18, 7), (6, 5), (11, 11)], [False, False, False, True], 44, False, [False, False, False, False], 672, 'West', (9, 8))
Element 29: (1, (9, 8), ['%', '', '', ''], [(18, 8), (6, 4), (10, 11)], [True, False, False, False], 42, False, [False, False, False, False], 681, 'North', (9, 9))
Element 30: (1, (9, 9), ['%', '', '', ''], [(18, 9), (6, 3), (10, 10)], [True, False, False, False], 40, False, [False, False, False, False], 690, 'East', (10, 9))
Element 31: (1, (10, 9), ['', '', '', '%'], [(18, 10), (7, 3), (9, 10)], [False, False, False, True], 38, False, [False, False, False, False], 699, 'South', (10, 8))
Element 32: (1, (10, 8), ['', '', '', '%'], [(18, 11), (8, 3), (9, 11)], [False, False, False, True], 36, False, [False, False, False, False], 708, 'North', (10, 9))
Element 33: (1, (10, 9), ['', '', '', '%'], [(17, 11), (9, 3), (8, 11)], [False, False, False, True], 34, False, [False, False, False, False], 717, 'North', (10, 10))
Element 34: (1, (10, 10), ['', '', '', '%'], [(16, 11), (10, 3), (7, 11)], [False, False, False, True], 32, False, [False, False, False, False], 726, 'West', (9, 10))
Element 35: (1, (9, 10), ['%', '', '', ''], [(15, 11), (11, 3), (6, 11)], [True, False, False, False], 30, False, [False, False, False, False], 735, 'East', (10, 10))
Element 36: (1, (10, 10), ['', '', '', '%'], [(15, 10), (12, 3), (6, 10)], [False, False, False, True], 28, False, [False, False, False, False], 734, 'North', (10, 11))
Element 37: (1, (10, 11), ['', '', '%', ''], [(15, 11), (11, 3), (6, 9)], [False, False, True, False], 26, False, [False, False, False, False], 733, 'West', (9, 11))
Element 38: (1, (9, 11), ['', '', '%', ''], [(16, 11), (10, 3), (7, 9)], [False, False, True, False], 24, False, [False, False, False, False], 732, 'South', (9, 10))
Element 39: (1, (9, 10), ['%', '', '', ''], [(17, 11), (9, 3), (6, 9)], [True, False, False, False], 22, False, [False, False, False, False], 731, 'North', (9, 11))
Element 40: (1, (9, 11), ['', '', '%', ''], [(18, 11), (8, 3), (6, 8)], [False, False, True, False], 20, False, [False, False, False, False], 730, 'West', (8, 11))
Element 41: (1, (8, 11), ['', '%', '%', ''], [(18, 10), (8, 4), (6, 7)], [False, True, True, False], 18, False, [False, False, False, False], 729, 'West', (7, 11))
Element 42: (1, (7, 11), ['', '%', '%', ''], [(18, 9), (8, 5), (5, 7)], [False, True, True, False], 16, False, [False, False, False, False], 738, 'West', (6, 11))
Element 43: (1, (6, 11), ['%', '', '%', ''], [(18, 8), (9, 5), (5, 6)], [True, False, True, False], 14, False, [False, False, False, False], 747, 'South', (6, 10))
Element 44: (1, (6, 10), ['%', '', '', '%'], [(18, 7), (10, 5), (5, 5)], [True, False, False, True], 12, False, [False, False, False, False], 756, 'South', (6, 9))
Element 45: (1, (6, 9), ['', '', '', ''], [(17, 7), (11, 5), (5, 4)], [False, False, False, False], 10, False, [False, False, False, False], 765, 'South', (6, 8))
Element 46: (1, (6, 8), ['%', '', '', '%'], [(18, 7), (10, 5), (5, 3)], [True, False, False, True], 8, False, [False, False, False, False], 774, 'South', (6, 7))
Element 47: (1, (6, 7), ['', '', '', ''], [(18, 6), (9, 5), (4, 3)], [False, False, False, False], 6, False, [False, False, False, False], 783, 'East', (7, 7))
Element 48: (1, (7, 7), ['', '%', '%', '%'], [(18, 5), (8, 5), (4, 4)], [False, True, True, True], 4, False, [False, False, False, False], 792, 'West', (6, 7))
Element 49: (1, (6, 7), ['', '', '', ''], [(18, 4), (8, 4), (4, 5)], [False, False, False, False], 2, False, [False, False, False, False], 801, 'South', (6, 6))
Element 50: (1, (6, 6), ['', '', '', '%'], [(18, 4), (8, 3), (4, 6)], [False, False, False, True], 0, False, [False, False, False, False], 810, 'Stop', (6, 6))
Element 51: #0#
