Element 1: (3, (17, 1), ['.', '%', '%', ''], [(10, 10), (6, 5), (7, 11)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'West', (16, 1))
Element 2: (3, (16, 1), ['.', '%', '%', ''], [(10, 11), (6, 6), (8, 11)], [False, True, True, False], 96, False, [True, False, False, False], 68, 'West', (15, 1))
Element 3: (3, (15, 1), ['%', '%', '.', ''], [(11, 11), (6, 7), (9, 11)], [True, True, False, False], 94, False, [False, False, True, False], 107, 'North', (15, 2))
Element 4: (3, (15, 2), ['%', '', '.', '%'], [(12, 11), (6, 8), (9, 10)], [True, False, False, True], 92, False, [False, False, True, False], 146, 'North', (15, 3))
Element 5: (3, (15, 3), ['%', '', '.', '.'], [(13, 11), (6, 9), (9, 9)], [True, False, False, False], 90, False, [False, False, True, True], 185, 'East', (16, 3))
Element 6: (3, (16, 3), ['', '%', '.', '%'], [(13, 10), (7, 9), (10, 9)], [False, True, False, True], 88, False, [False, False, True, False], 214, 'North', (16, 4))
Element 7: (3, (16, 4), ['.', '', '.', '%'], [(13, 9), (6, 9), (10, 10)], [False, False, False, True], 86, False, [True, False, True, False], 233, 'North', (16, 5))
Element 8: (3, (16, 5), ['.', '', '.', '%'], [(14, 9), (6, 10), (10, 11)], [False, False, False, True], 84, False, [True, False, True, False], 262, 'North', (16, 6))
Element 9: (3, (16, 6), ['.', '', '.', '%'], [(15, 9), (6, 11), (11, 11)], [False, False, False, True], 82, False, [True, False, True, False], 281, 'North', (16, 7))
Element 10: (3, (16, 7), ['.', '', '.', '.'], [(16, 9), (7, 11), (12, 11)], [False, False, False, False], 80, False, [True, False, True, True], 300, 'East', (17, 7))
Element 11: (3, (17, 7), ['', '%', '%', '.'], [(16, 8), (8, 11), (13, 11)], [False, True, True, False], 78, False, [False, False, False, True], 319, 'East', (18, 7))
Element 12: (3, (18, 7), ['', '.', '.', '%'], [(16, 7), (9, 11), (13, 10)], [False, False, False, True], 76, False, [False, True, True, False], 328, 'North', (18, 8))
Element 13: (3, (18, 8), ['%', '', '.', '%'], [(15, 7), (10, 11), (13, 9)], [True, False, False, True], 74, False, [False, False, True, False], 347, 'North', (18, 9))
Element 14: (3, (18, 9), ['%', '', '.', '%'], [(15, 6), (11, 11), (13, 8)], [True, False, False, True], 72, False, [False, False, True, False], 376, 'North', (18, 10))
Element 15: (3, (18, 10), ['%', '', '', '%'], [(15, 5), (12, 11), (13, 7)], [True, False, False, True], 70, False, [False, False, False, False], 405, 'North', (18, 11))
Element 16: (3, (18, 11), ['.', '', '%', '%'], [(15, 4), (13, 11), (13, 6)], [False, False, True, True], 68, False, [True, False, False, False], 424, 'West', (17, 11))
Element 17: (3, (17, 11), ['.', '%', '%', ''], [(16, 4), (13, 10), (13, 5)], [False, True, True, False], 66, False, [True, False, False, False], 443, 'West', (16, 11))
Element 18: (3, (16, 11), ['.', '%', '%', ''], [(16, 5), (13, 9), (13, 4)], [False, True, True, False], 64, False, [True, False, False, False], 462, 'West', (15, 11))
Element 19: (3, (15, 11), ['%', '.', '%', ''], [(16, 6), (12, 9), (13, 3)], [True, False, True, False], 62, False, [False, True, False, False], 491, 'South', (15, 10))
