Element 39: (0, (18, 11), ['', '', '%', '%'], [(9, 10), (9, 7), (7, 11)], [False, False, True, True], 22, False, [False, False, False, False], 732, 'West', (17, 11))
Element 40: (0, (17, 11), ['', '%', '%', ''], [(9, 11), (9, 8), (6, 11)], [False, True, True, False], 20, False, [False, False, False, False], 731, 'West', (16, 11))
Element 41: (0, (16, 11), ['', '%', '%', ''], [(8, 11), (10, 8), (6, 10)], [False, True, True, False], 18, False, [False, False, False, False], 730, 'West', (15, 11))
Element 42: (0, (15, 11), ['%', '', '%', ''], [(7, 11), (10, 9), (6, 9)], [True, False, True, False], 16, False, [False, False, False, False], 729, 'South', (15, 10))
Element 43: (0, (15, 10), ['%', '', '', '%'], [(6, 11), (9, 9), (5, 9)], [True, False, False, True], 14, False, [False, False, False, False], 738, 'North', (15, 11))
Element 44: (0, (15, 11), ['%', '', '%', ''], [(6, 10), (10, 9), (4, 9)], [True, False, True, False], 12, False, [False, False, False, False], 747, 'East', (16, 11))
Element 45: (0, (16, 11), ['', '%', '%', ''], [(6, 9), (10, 10), (4, 10)], [False, True, True, False], 10, False, [False, False, False, False], 756, 'East', (17, 11))
Element 46: (0, (17, 11), ['', '%', '%', ''], [(7, 9), (9, 10), (4, 11)], [False, True, True, False], 8, False, [False, False, False, False], 765, 'East', (18, 11))
Element 47: (0, (18, 11), ['', '', '%', '%'], [(6, 9), (9, 9), (3, 11)], [False, False, True, True], 6, False, [False, False, False, False], 774, 'South', (18, 10))
Element 48: (0, (18, 10), ['%', '', '', '%'], [(6, 8), (9, 10), (2, 11)], [True, False, False, True], 4, False, [False, False, False, False], 783, 'South', (18, 9))
Element 49: (0, (18, 9), ['%', '', '', '%'], [(6, 7), (9, 11), (1, 11)], [True, False, False, True], 2, False, [False, False, False, False], 782, 'South', (18, 8))
Element 50: (0, (18, 8), ['%', '', '', '%'], [(5, 7), (10, 11), (1, 10)], [True, False, False, True], 0, False, [False, False, False, False], 801, 'Stop', (18, 8))
Element 51: #0#
