Element 1: (0, (13, 2), ['%', '.', '.', '%'], [(14, 9), (15, 6), (18, 5)], [True, False, False, True], 98, False, [False, True, True, False], 0, 'North', (13, 3))
Element 2: (0, (13, 3), ['.', '', '.', '%'], [(15, 9), (16, 6), (18, 6)], [False, False, False, True], 96, False, [True, False, True, False], 39, 'North', (13, 4))
Element 3: (0, (13, 4), ['%', '', '.', '%'], [(16, 9), (16, 7), (18, 7)], [True, False, False, True], 94, False, [False, False, True, False], 78, 'North', (13, 5))
Element 4: (0, (13, 5), ['%', '', '.', '%'], [(16, 8), (17, 7), (18, 8)], [True, False, False, True], 92, False, [False, False, True, False], 117, 'North', (13, 6))
Element 5: (0, (13, 6), ['%', '', '.', '%'], [(16, 7), (18, 7), (18, 9)], [True, False, False, True], 90, False, [False, False, True, False], 136, 'North', (13, 7))
Element 6: (0, (13, 7), ['%', '', '.', '%'], [(15, 7), (18, 8), (18, 10)], [True, False, False, True], 88, False, [False, False, True, False], 165, 'North', (13, 8))
Element 7: (0, (13, 8), ['%', '', '.', '%'], [(15, 6), (18, 9), (18, 11)], [True, False, False, True], 86, False, [False, False, True, False], 174, 'North', (13, 9))
Element 8: (0, (13, 9), ['.', '', '.', ''], [(15, 5), (18, 10), (17, 11)], [False, False, False, False], 84, False, [True, False, True, False], 203, 'North', (13, 10))
Element 9: (0, (13, 10), ['%', '', '.', '%'], [(16, 5), (18, 11), (16, 11)], [True, False, False, True], 82, False, [False, False, True, False], 232, 'North', (13, 11))
Element 10: (0, (13, 11), ['.', '', '%', '%'], [(16, 4), (17, 11), (15, 11)], [False, False, True, True], 80, False, [True, False, False, False], 261, 'West', (12, 11))
Element 11: (0, (12, 11), ['.', '%', '%', ''], [(16, 3), (16, 11), (15, 10)], [False, True, True, False], 78, False, [True, False, False, False], 290, 'West', (11, 11))
Element 12: (0, (11, 11), ['.', '%', '%', ''], [(15, 3), (15, 11), (15, 9)], [False, True, True, False], 76, False, [True, False, False, False], 309, 'West', (10, 11))
Element 13: (0, (10, 11), ['.', '.', '%', ''], [(15, 4), (15, 10), (16, 9)], [False, False, True, False], 74, False, [True, True, False, False], 328, 'South', (10, 10))
Element 14: (0, (10, 10), ['.', '.', '', '%'], [(15, 3), (15, 9), (16, 8)], [False, False, False, True], 72, False, [True, True, False, False], 337, 'South', (10, 9))
Element 15: (0, (10, 9), ['.', '', '', '%'], [(15, 2), (16, 9), (16, 7)], [False, False, False, True], 70, False, [True, False, False, False], 356, 'West', (9, 9))
Element 16: (0, (9, 9), ['%', '', '.', ''], [(15, 1), (16, 8), (17, 7)], [True, False, False, False], 68, False, [False, False, True, False], 375, 'North', (9, 10))
Element 17: (0, (9, 10), ['%', '', '.', ''], [(16, 1), (16, 9), (16, 7)], [True, False, False, False], 66, False, [False, False, True, False], 394, 'North', (9, 11))
Element 18: (0, (9, 11), ['.', '', '%', ''], [(17, 1), (15, 9), (16, 6)], [False, False, True, False], 64, False, [True, False, False, False], 413, 'West', (8, 11))
Element 19: (0, (8, 11), ['.', '%', '%', ''], [(18, 1), (14, 9), (16, 5)], [False, True, True, False], 62, False, [True, False, False, False], 422, 'West', (7, 11))
Element 20: (0, (7, 11), ['.', '%', '%', ''], [(18, 2), (13, 9), (16, 4)], [False, True, True, False], 60, False, [True, False, False, False], 441, 'West', (6, 11))
Element 21: (0, (6, 11), ['%', '.', '%', ''], [(18, 3), (12, 9), (16, 3)], [True, False, True, False], 58, False, [False, True, False, False], 470, 'South', (6, 10))
Element 22: (0, (6, 10), ['%', '.', '', '%'], [(18, 4), (13, 9), (15, 3)], [True, False, False, True], 56, False, [False, True, False, False], 489, 'South', (6, 9))
Element 23: (0, (6, 9), ['.', '.', '', '.'], [(18, 5), (13, 10), (15, 4)], [False, False, False, False], 54, False, [True, True, False, True], 498, 'East', (7, 9))
Element 24: (0, (7, 9), ['', '%', '%', '%'], [(18, 6), (13, 11), (15, 5)], [False, True, True, True], 52, False, [False, False, False, False], 507, 'West', (6, 9))
Element 25: (0, (6, 9), ['.', '.', '', ''], [(18, 7), (12, 11), (15, 6)], [False, False, False, False], 50, False, [True, True, False, False], 506, 'South', (6, 8))
Element 26: (0, (6, 8), ['%', '.', '', '%'], [(18, 8), (11, 11), (15, 7)], [True, False, False, True], 48, False, [False, True, False, False], 515, 'South', (6, 7))
Element 27: (0, (6, 7), ['.', '.', '', ''], [(18, 9), (10, 11), (15, 6)], [False, False, False, False], 46, False, [True, True, False, False], 524, 'South', (6, 6))
Element 28: (0, (6, 6), ['.', '.', '', '%'], [(18, 10), (10, 10), (15, 5)], [False, False, False, True], 44, False, [True, True, False, False], 533, 'South', (6, 5))
Element 29: (0, (6, 5), ['.', '.', '', '%'], [(18, 11), (10, 9), (15, 4)], [False, False, False, True], 42, False, [True, True, False, False], 542, 'South', (6, 4))
Element 30: (0, (6, 4), ['.', '.', '', '%'], [(17, 11), (10, 8), (15, 3)], [False, False, False, True], 40, False, [True, True, False, False], 551, 'South', (6, 3))
Element 31: (0, (6, 3), ['.', '.', '', '.'], [(16, 11), (10, 7), (15, 2)], [False, False, False, False], 38, False, [True, True, False, True], 570, 'East', (7, 3))
