Element 1: (2, (15, 2), ['%', '.', '.', '%'], [(16, 5), (13, 8), (16, 3)], [True, False, False, True], 98, False, [False, True, True, False], 19, 'North', (15, 3))
Element 2: (2, (15, 3), ['%', '', '.', ''], [(16, 6), (13, 9), (16, 4)], [True, False, False, False], 96, False, [False, False, True, False], 48, 'North', (15, 4))
Element 3: (2, (15, 4), ['%', '', '.', ''], [(16, 7), (14, 9), (16, 5)], [True, False, False, False], 94, False, [False, False, True, False], 77, 'North', (15, 5))
Element 4: (2, (15, 5), ['%', '', '.', ''], [(17, 7), (15, 9), (16, 6)], [True, False, False, False], 92, False, [False, False, True, False], 106, 'North', (15, 6))
Element 5: (2, (15, 6), ['%', '', '.', ''], [(18, 7), (16, 9), (16, 7)], [True, False, False, False], 90, False, [False, False, True, False], 135, 'North', (15, 7))
Element 6: (2, (15, 7), ['%', '', '%', ''], [(18, 8), (15, 9), (16, 8)], [True, False, True, False], 88, False, [False, False, False, False], 164, 'East', (16, 7))
Element 7: (2, (16, 7), ['', '', '', ''], [(18, 9), (15, 10), (16, 9)], [False, False, False, False], 86, False, [False, False, False, False], 183, 'East', (17, 7))
Element 8: (2, (17, 7), ['', '%', '%', ''], [(18, 10), (15, 11), (15, 9)], [False, True, True, False], 84, False, [False, False, False, False], 202, 'East', (18, 7))
Element 9: (2, (18, 7), ['', '.', '', '%'], [(18, 11), (16, 11), (15, 10)], [False, False, False, True], 82, False, [False, True, False, False], 211, 'South', (18, 6))
Element 10: (2, (18, 6), ['%', '.', '', '%'], [(17, 11), (16, 11), (15, 11)], [True, False, False, True], 80, False, [False, True, False, False], 230, 'South', (18, 5))
Element 11: (2, (18, 5), ['%', '.', '', '%'], [(18, 11), (15, 11), (15, 10)], [True, False, False, True], 78, False, [False, True, False, False], 239, 'South', (18, 4))
Element 12: (2, (18, 4), ['%', '.', '', '%'], [(18, 10), (15, 10), (15, 9)], [True, False, False, True], 76, False, [False, True, False, False], 248, 'South', (18, 3))
Element 13: (2, (18, 3), ['%', '.', '', '%'], [(18, 9), (15, 9), (14, 9)], [True, False, False, True], 74, False, [False, True, False, False], 257, 'South', (18, 2))
Element 14: (2, (18, 2), ['%', '', '', '%'], [(18, 8), (14, 9), (13, 9)], [True, False, False, True], 72, False, [False, False, False, False], 266, 'South', (18, 1))
Element 15: (2, (18, 1), ['.', '%', '', '%'], [(18, 7), (13, 9), (13, 10)], [False, True, False, True], 70, False, [True, False, False, False], 275, 'West', (17, 1))
Element 16: (2, (17, 1), ['.', '%', '%', ''], [(18, 6), (13, 9), (13, 11)], [False, True, True, False], 68, False, [True, False, False, False], 294, 'West', (16, 1))
Element 17: (2, (16, 1), ['.', '%', '%', ''], [(18, 5), (12, 9), (12, 11)], [False, True, True, False], 66, False, [True, False, False, False], 323, 'West', (15, 1))
Element 18: (2, (15, 1), ['%', '%', '', ''], [(18, 4), (13, 9), (11, 11)], [True, True, False, False], 64, False, [False, False, False, False], 342, 'East', (16, 1))
Element 19: (2, (16, 1), ['', '%', '%', ''], [(18, 3), (13, 8), (10, 11)], [False, True, True, False], 62, False, [False, False, False, False], 351, 'East', (17, 1))
Element 20: (2, (17, 1), ['', '%', '%', ''], [(18, 2), (13, 7), (10, 10)], [False, True, True, False], 60, False, [False, False, False, False], 360, 'East', (18, 1))
Element 21: (2, (18, 1), ['', '%', '', '%'], [(18, 3), (13, 6), (10, 9)], [False, True, False, True], 58, False, [False, False, False, False], 379, 'North', (18, 2))
Element 22: (2, (18, 2), ['%', '', '', '%'], [(18, 4), (13, 5), (9, 9)], [True, False, False, True], 56, False, [False, False, False, False], 398, 'North', (18, 3))
Element 23: (2, (18, 3), ['%', '', '', '%'], [(18, 5), (13, 4), (9, 10)], [True, False, False, True], 54, False, [False, False, False, False], 417, 'North', (18, 4))
Element 24: (2, (18, 4), ['%', '', '', '%'], [(18, 6), (13, 3), (9, 11)], [True, False, False, True], 52, False, [False, False, False, False], 436, 'North', (18, 5))
Element 25: (2, (18, 5), ['%', '', '', '%'], [(18, 7), (13, 2), (8, 11)], [True, False, False, True], 50, False, [False, False, False, False], 455, 'North', (18, 6))
Element 26: (2, (18, 6), ['%', '', '', '%'], [(17, 7), (13, 1), (7, 11)], [True, False, False, True], 48, False, [False, False, False, False], 474, 'North', (18, 7))
Element 27: (2, (18, 7), ['', '', '', '%'], [(16, 7), (12, 1), (6, 11)], [False, False, False, True], 46, False, [False, False, False, False], 493, 'North', (18, 8))
