Element 39: (1, (5, 6), ['.', '', '.', ''], [(16, 5), (12, 11), (15, 3)], [False, False, False, False], 22, False, [True, False, True, False], 791, 'North', (5, 7))
Element 40: (1, (5, 7), ['.', '', '%', ''], [(16, 6), (13, 11), (15, 2)], [False, False, True, False], 20, False, [True, False, False, False], 800, 'West', (4, 7))
Element 41: (1, (4, 7), ['.', '.', '%', ''], [(15, 6), (13, 10), (15, 3)], [False, False, True, False], 18, False, [True, True, False, False], 809, 'South', (4, 6))
Element 42: (1, (4, 6), ['.', '.', '', ''], [(15, 7), (13, 9), (15, 4)], [False, False, False, False], 16, False, [True, True, False, False], 818, 'South', (4, 5))
Element 43: (1, (4, 5), ['.', '.', '', ''], [(15, 6), (14, 9), (15, 5)], [False, False, False, False], 14, False, [True, True, False, False], 827, 'South', (4, 4))
Element 44: (1, (4, 4), ['.', '.', '', ''], [(15, 5), (15, 9), (15, 4)], [False, False, False, False], 12, False, [True, True, False, False], 836, 'South', (4, 3))
Element 45: (1, (4, 3), ['.', '.', '', ''], [(15, 4), (16, 9), (15, 5)], [False, False, False, False], 10, False, [True, True, False, False], 845, 'South', (4, 2))
Element 46: (1, (4, 2), ['F', '.', '', '%'], [(15, 5), (16, 8), (15, 6)], [False, False, False, True], 8, False, [False, True, False, False], 854, 'West', (3, 2))
Element 47: (1, (3, 2), ['F', '.', '.', ''], [(15, 6), (16, 7), (15, 7)], [False, False, False, False], 6, False, [False, True, True, False], 1853, 'West', (2, 2))
Element 48: #1#
