Element 1: (0, (12, 9), ['%', '%', '%', '.'], [(1, 5), (6, 8), (16, 6)], [True, True, True, False], 98, False, [False, False, False, True], 0, 'East', (13, 9))
Element 2: (0, (13, 9), ['', '.', '.', '.'], [(1, 6), (6, 9), (16, 7)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (14, 9))
Element 3: (0, (14, 9), ['', '%', '%', '.'], [(1, 7), (7, 9), (17, 7)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (15, 9))
Element 4: (0, (15, 9), ['', '%', '.', '.'], [(2, 7), (6, 9), (18, 7)], [False, True, False, False], 92, False, [False, False, True, True], 107, 'East', (16, 9))
Element 5: (0, (16, 9), ['', '.', '%', '%'], [(3, 7), (6, 10), (18, 8)], [False, False, True, True], 90, False, [False, True, False, False], 146, 'South', (16, 8))
Element 6: (0, (16, 8), ['%', '', '', '%'], [(4, 7), (6, 11), (18, 9)], [True, False, False, True], 88, False, [False, False, False, False], 185, 'South', (16, 7))
Element 7: (0, (16, 7), ['.', '', '', ''], [(5, 7), (7, 11), (18, 10)], [False, False, False, False], 86, False, [True, False, False, False], 214, 'West', (15, 7))
Element 8: (0, (15, 7), ['%', '.', '%', ''], [(6, 7), (8, 11), (18, 11)], [True, False, True, False], 84, False, [False, True, False, False], 243, 'South', (15, 6))
Element 9: (0, (15, 6), ['%', '.', '', ''], [(6, 6), (9, 11), (17, 11)], [True, False, False, False], 82, False, [False, True, False, False], 282, 'South', (15, 5))
Element 10: (0, (15, 5), ['%', '.', '', '.'], [(6, 5), (10, 11), (16, 11)], [True, False, False, False], 80, False, [False, True, False, True], 321, 'East', (16, 5))
Element 11: (0, (16, 5), ['', '.', '', '%'], [(6, 4), (11, 11), (15, 11)], [False, False, False, True], 78, False, [False, True, False, False], 360, 'South', (16, 4))
Element 12: (0, (16, 4), ['.', '.', '', '%'], [(6, 3), (12, 11), (15, 10)], [False, False, False, True], 76, False, [True, True, False, False], 399, 'South', (16, 3))
Element 13: (0, (16, 3), ['.', '%', '', '%'], [(7, 3), (13, 11), (15, 9)], [False, True, False, True], 74, False, [True, False, False, False], 428, 'West', (15, 3))
Element 14: (0, (15, 3), ['%', '.', '.', ''], [(8, 3), (13, 10), (16, 9)], [True, False, False, False], 72, False, [False, True, True, False], 457, 'North', (15, 4))
Element 15: (0, (15, 4), ['%', '', '', ''], [(9, 3), (13, 9), (16, 8)], [True, False, False, False], 70, False, [False, False, False, False], 476, 'South', (15, 3))
Element 16: (0, (15, 3), ['%', '.', '', ''], [(10, 3), (13, 8), (16, 9)], [True, False, False, False], 68, False, [False, True, False, False], 495, 'South', (15, 2))
Element 17: (0, (15, 2), ['%', '.', '', '%'], [(11, 3), (13, 7), (15, 9)], [True, False, False, True], 66, False, [False, True, False, False], 524, 'South', (15, 1))
Element 18: (0, (15, 1), ['%', '%', '', '.'], [(12, 3), (13, 6), (14, 9)], [True, True, False, False], 64, False, [False, False, False, True], 553, 'East', (16, 1))
Element 19: (0, (16, 1), ['', '%', '%', '.'], [(13, 3), (13, 5), (13, 9)], [False, True, True, False], 62, False, [False, False, False, True], 582, 'East', (17, 1))
Element 20: (0, (17, 1), ['', '%', '%', ''], [(13, 4), (13, 6), (13, 10)], [False, True, True, False], 60, False, [False, False, False, False], 601, 'East', (18, 1))
Element 21: (0, (18, 1), ['', '%', '.', '%'], [(13, 5), (13, 7), (13, 11)], [False, True, False, True], 58, False, [False, False, True, False], 600, 'North', (18, 2))
Element 22: (0, (18, 2), ['%', '', '.', '%'], [(13, 6), (13, 8), (12, 11)], [True, False, False, True], 56, False, [False, False, True, False], 609, 'North', (18, 3))
Element 23: (0, (18, 3), ['%', '', '.', '%'], [(13, 7), (13, 9), (11, 11)], [True, False, False, True], 54, False, [False, False, True, False], 618, 'North', (18, 4))
