Element 1: (3, (15, 7), ['%', '.', '%', '.'], [(1, 9), (4, 7), (10, 11)], [True, False, True, False], 98, False, [False, True, False, True], 29, 'East', (16, 7))
Element 2: (3, (16, 7), ['', '.', '.', '.'], [(1, 8), (5, 7), (11, 11)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (17, 7))
Element 3: (3, (17, 7), ['', '%', '%', '.'], [(1, 7), (6, 7), (12, 11)], [False, True, True, False], 94, False, [False, False, False, True], 107, 'East', (18, 7))
Element 4: (3, (18, 7), ['', '.', '.', '%'], [(2, 7), (6, 8), (13, 11)], [False, False, False, True], 92, False, [False, True, True, False], 146, 'North', (18, 8))
Element 5: (3, (18, 8), ['%', '', '.', '%'], [(3, 7), (6, 9), (13, 10)], [True, False, False, True], 90, False, [False, False, True, False], 175, 'North', (18, 9))
Element 6: (3, (18, 9), ['%', '', '.', '%'], [(3, 8), (7, 9), (13, 9)], [True, False, False, True], 88, False, [False, False, True, False], 214, 'North', (18, 10))
Element 7: (3, (18, 10), ['%', '', '', '%'], [(3, 9), (6, 9), (14, 9)], [True, False, False, True], 86, False, [False, False, False, False], 243, 'North', (18, 11))
Element 8: (3, (18, 11), ['.', '', '%', '%'], [(4, 9), (6, 10), (15, 9)], [False, False, True, True], 84, False, [True, False, False, False], 272, 'West', (17, 11))
Element 9: (3, (17, 11), ['.', '%', '%', ''], [(5, 9), (6, 11), (16, 9)], [False, True, True, False], 82, False, [True, False, False, False], 311, 'West', (16, 11))
Element 10: (3, (16, 11), ['.', '%', '%', ''], [(6, 9), (7, 11), (16, 8)], [False, True, True, False], 80, False, [True, False, False, False], 340, 'West', (15, 11))
Element 11: (3, (15, 11), ['%', '.', '%', ''], [(7, 9), (8, 11), (16, 7)], [True, False, True, False], 78, False, [False, True, False, False], 359, 'South', (15, 10))
Element 12: (3, (15, 10), ['%', '', '', '%'], [(6, 9), (9, 11), (16, 6)], [True, False, False, True], 76, False, [False, False, False, False], 378, 'South', (15, 9))
Element 13: (3, (15, 9), ['', '%', '', ''], [(6, 10), (9, 10), (16, 5)], [False, True, False, False], 74, False, [False, False, False, False], 397, 'East', (16, 9))
Element 14: (3, (16, 9), ['', '', '%', '%'], [(6, 11), (10, 10), (16, 4)], [False, False, True, True], 72, False, [False, False, False, False], 416, 'South', (16, 8))
Element 15: (3, (16, 8), ['%', '', '', '%'], [(7, 11), (10, 9), (16, 3)], [True, False, False, True], 70, False, [False, False, False, False], 435, 'North', (16, 9))
Element 16: (3, (16, 9), ['', '', '%', '%'], [(8, 11), (9, 9), (15, 3)], [False, False, True, True], 68, False, [False, False, False, False], 454, 'West', (15, 9))
Element 17: (3, (15, 9), ['', '%', '', ''], [(9, 11), (9, 8), (15, 4)], [False, True, False, False], 66, False, [False, False, False, False], 463, 'West', (14, 9))
Element 18: (3, (14, 9), ['', '%', '%', ''], [(10, 11), (9, 7), (15, 5)], [False, True, True, False], 64, False, [False, False, False, False], 482, 'West', (13, 9))
Element 19: (3, (13, 9), ['.', '.', '', ''], [(11, 11), (10, 7), (15, 6)], [False, False, False, False], 62, False, [True, True, False, False], 501, 'South', (13, 8))
Element 20: (3, (13, 8), ['%', '.', '', '%'], [(12, 11), (11, 7), (15, 7)], [True, False, False, True], 60, False, [False, True, False, False], 520, 'South', (13, 7))
Element 21: (3, (13, 7), ['%', '.', '', '%'], [(13, 11), (10, 7), (15, 6)], [True, False, False, True], 58, False, [False, True, False, False], 529, 'South', (13, 6))
Element 22: (3, (13, 6), ['%', '.', '', '%'], [(13, 10), (10, 8), (15, 5)], [True, False, False, True], 56, False, [False, True, False, False], 538, 'South', (13, 5))
Element 23: (3, (13, 5), ['%', '.', '', '%'], [(13, 9), (10, 7), (15, 4)], [True, False, False, True], 54, False, [False, True, False, False], 547, 'South', (13, 4))
Element 24: (3, (13, 4), ['%', '.', '', '%'], [(12, 9), (9, 7), (15, 3)], [True, False, False, True], 52, False, [False, True, False, False], 566, 'South', (13, 3))
Element 25: (3, (13, 3), ['.', '.', '', '%'], [(13, 9), (9, 8), (15, 2)], [False, False, False, True], 50, False, [True, True, False, False], 585, 'South', (13, 2))
Element 26: (3, (13, 2), ['%', '.', '', '%'], [(14, 9), (10, 8), (15, 1)], [True, False, False, True], 48, False, [False, True, False, False], 604, 'South', (13, 1))
Element 27: (3, (13, 1), ['.', '%', '', '%'], [(15, 9), (9, 8), (16, 1)], [False, True, False, True], 46, False, [True, False, False, False], 623, 'West', (12, 1))
Element 28: (3, (12, 1), ['.', '%', '%', ''], [(16, 9), (9, 9), (17, 1)], [False, True, True, False], 44, False, [True, False, False, False], 642, 'West', (11, 1))
Element 29: (3, (11, 1), ['.', '%', '%', ''], [(16, 8), (10, 9), (18, 1)], [False, True, True, False], 42, False, [True, False, False, False], 651, 'West', (10, 1))
Element 30: (3, (10, 1), ['.', '%', '%', ''], [(16, 7), (10, 8), (18, 2)], [False, True, True, False], 40, False, [True, False, False, False], 670, 'West', (9, 1))
Element 31: (3, (9, 1), ['.', '%', '%', ''], [(17, 7), (10, 9), (18, 3)], [False, True, True, False], 38, False, [True, False, False, False], 689, 'West', (8, 1))
Element 32: (3, (8, 1), ['.', '%', '%', ''], [(18, 7), (10, 10), (18, 4)], [False, True, True, False], 36, False, [True, False, False, False], 708, 'West', (7, 1))
Element 33: (3, (7, 1), ['.', '%', '%', ''], [(18, 6), (10, 11), (18, 5)], [False, True, True, False], 34, False, [True, False, False, False], 737, 'West', (6, 1))
Element 34: (3, (6, 1), ['%', '%', '.', ''], [(18, 7), (11, 11), (18, 6)], [True, True, False, False], 32, False, [False, False, True, False], 746, 'North', (6, 2))
Element 35: (3, (6, 2), ['%', '', '.', '%'], [(18, 8), (12, 11), (18, 7)], [True, False, False, True], 30, False, [False, False, True, False], 755, 'North', (6, 3))
Element 36: (3, (6, 3), ['.', '', '.', '.'], [(18, 9), (13, 11), (18, 8)], [False, False, False, False], 28, False, [True, False, True, True], 764, 'East', (7, 3))
Element 37: (3, (7, 3), ['', '%', '%', '.'], [(18, 10), (13, 10), (18, 9)], [False, True, True, False], 26, False, [False, False, False, True], 773, 'East', (8, 3))
Element 38: (3, (8, 3), ['', '%', '', '.'], [(18, 11), (13, 9), (18, 10)], [False, True, False, False], 24, False, [False, False, False, True], 782, 'East', (9, 3))
Element 39: (3, (9, 3), ['', '%', '%', '.'], [(17, 11), (14, 9), (18, 11)], [False, True, True, False], 22, False, [False, False, False, True], 791, 'East', (10, 3))
Element 40: (3, (10, 3), ['', '%', '%', '.'], [(16, 11), (15, 9), (17, 11)], [False, True, True, False], 20, False, [False, False, False, True], 800, 'East', (11, 3))
Element 41: (3, (11, 3), ['', '%', '%', '.'], [(15, 11), (16, 9), (16, 11)], [False, True, True, False], 18, False, [False, False, False, True], 809, 'East', (12, 3))
Element 42: (3, (12, 3), ['', '%', '%', ''], [(15, 10), (16, 8), (15, 11)], [False, True, True, False], 16, False, [False, False, False, False], 818, 'West', (11, 3))
Element 43: (3, (11, 3), ['', '%', '%', ''], [(15, 9), (16, 7), (15, 10)], [False, True, True, False], 14, False, [False, False, False, False], 817, 'West', (10, 3))
Element 44: (3, (10, 3), ['', '%', '%', ''], [(15, 10), (17, 7), (15, 11)], [False, True, True, False], 12, False, [False, False, False, False], 816, 'West', (9, 3))
Element 45: (3, (9, 3), ['', '%', '%', ''], [(15, 11), (18, 7), (16, 11)], [False, True, True, False], 10, False, [False, False, False, False], 815, 'West', (8, 3))
Element 46: (3, (8, 3), ['', '%', '', ''], [(16, 11), (18, 8), (17, 11)], [False, True, False, False], 8, False, [False, False, False, False], 814, 'North', (8, 4))
Element 47: (3, (8, 4), ['%', '', '', '%'], [(16, 11), (18, 9), (18, 11)], [True, False, False, True], 6, False, [False, False, False, False], 813, 'North', (8, 5))
Element 48: (3, (8, 5), ['%', '', '%', ''], [(15, 11), (18, 10), (17, 11)], [True, False, True, False], 4, False, [False, False, False, False], 812, 'East', (9, 5))
Element 49: (3, (9, 5), ['', '%', '%', ''], [(15, 10), (18, 11), (17, 11)], [False, True, True, False], 2, False, [False, False, False, False], 811, 'East', (10, 5))
Element 50: (3, (10, 5), ['', '%', '%', ''], [(15, 10), (18, 11), (17, 11)], [False, True, True, False], 0, False, [False, False, False, False], 810, 'Stop', (10, 5))
Element 51: #0#
