Element 1: (2, (11, 1), ['.', '%', '%', '.'], [(16, 4), (1, 5), (12, 9)], [False, True, True, False], 98, False, [True, False, False, True], 19, 'East', (12, 1))
Element 2: (2, (12, 1), ['', '%', '%', '.'], [(16, 5), (1, 6), (13, 9)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (13, 1))
Element 3: (2, (13, 1), ['', '%', '.', '%'], [(16, 6), (1, 7), (14, 9)], [False, True, False, True], 94, False, [False, False, True, False], 97, 'North', (13, 2))
Element 4: (2, (13, 2), ['%', '', '.', '%'], [(16, 7), (2, 7), (15, 9)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (13, 3))
Element 5: (2, (13, 3), ['.', '', '.', '%'], [(17, 7), (3, 7), (16, 9)], [False, False, False, True], 90, False, [True, False, True, False], 175, 'North', (13, 4))
Element 6: (2, (13, 4), ['%', '', '.', '%'], [(18, 7), (4, 7), (16, 8)], [True, False, False, True], 88, False, [False, False, True, False], 214, 'North', (13, 5))
Element 7: (2, (13, 5), ['%', '', '.', '%'], [(18, 8), (5, 7), (16, 7)], [True, False, False, True], 86, False, [False, False, True, False], 243, 'North', (13, 6))
Element 8: (2, (13, 6), ['%', '', '.', '%'], [(18, 9), (6, 7), (15, 7)], [True, False, False, True], 84, False, [False, False, True, False], 282, 'North', (13, 7))
Element 9: (2, (13, 7), ['%', '', '.', '%'], [(18, 10), (6, 8), (15, 6)], [True, False, False, True], 82, False, [False, False, True, False], 321, 'North', (13, 8))
Element 10: (2, (13, 8), ['%', '', '', '%'], [(18, 11), (6, 9), (15, 5)], [True, False, False, True], 80, False, [False, False, False, False], 350, 'North', (13, 9))
Element 11: (2, (13, 9), ['', '', '.', ''], [(17, 11), (7, 9), (16, 5)], [False, False, False, False], 78, False, [False, False, True, False], 369, 'North', (13, 10))
Element 12: (2, (13, 10), ['%', '', '.', '%'], [(16, 11), (6, 9), (16, 6)], [True, False, False, True], 76, False, [False, False, True, False], 388, 'North', (13, 11))
Element 13: (2, (13, 11), ['.', '', '%', '%'], [(15, 11), (6, 10), (16, 5)], [False, False, True, True], 74, False, [True, False, False, False], 417, 'West', (12, 11))
Element 14: (2, (12, 11), ['.', '%', '%', ''], [(15, 10), (6, 11), (16, 4)], [False, True, True, False], 72, False, [True, False, False, False], 446, 'West', (11, 11))
Element 15: (2, (11, 11), ['.', '%', '%', ''], [(15, 9), (7, 11), (16, 3)], [False, True, True, False], 70, False, [True, False, False, False], 475, 'West', (10, 11))
Element 16: (2, (10, 11), ['.', '.', '%', ''], [(16, 9), (8, 11), (15, 3)], [False, False, True, False], 68, False, [True, True, False, False], 504, 'South', (10, 10))
Element 17: (2, (10, 10), ['.', '.', '', '%'], [(16, 8), (9, 11), (15, 2)], [False, False, False, True], 66, False, [True, True, False, False], 533, 'South', (10, 9))
Element 18: (2, (10, 9), ['.', '', '', '%'], [(16, 9), (9, 10), (15, 1)], [False, False, False, True], 64, False, [True, False, False, False], 562, 'West', (9, 9))
Element 19: (2, (9, 9), ['%', '', '', ''], [(15, 9), (10, 10), (16, 1)], [True, False, False, False], 62, False, [False, False, False, False], 581, 'North', (9, 10))
Element 20: (2, (9, 10), ['%', '', '', ''], [(14, 9), (10, 11), (17, 1)], [True, False, False, False], 60, False, [False, False, False, False], 590, 'North', (9, 11))
Element 21: (2, (9, 11), ['', '', '%', ''], [(13, 9), (11, 11), (18, 1)], [False, False, True, False], 58, False, [False, False, False, False], 589, 'West', (8, 11))
Element 22: (2, (8, 11), ['', '%', '%', ''], [(13, 10), (12, 11), (18, 2)], [False, True, True, False], 56, False, [False, False, False, False], 598, 'West', (7, 11))
Element 23: (2, (7, 11), ['', '%', '%', ''], [(13, 11), (11, 11), (18, 3)], [False, True, True, False], 54, False, [False, False, False, False], 607, 'West', (6, 11))
Element 24: (2, (6, 11), ['%', '', '%', ''], [(12, 11), (10, 11), (18, 4)], [True, False, True, False], 52, False, [False, False, False, False], 616, 'South', (6, 10))
Element 25: (2, (6, 10), ['%', '', '', '%'], [(11, 11), (10, 10), (18, 5)], [True, False, False, True], 50, False, [False, False, False, False], 625, 'South', (6, 9))
Element 26: (2, (6, 9), ['.', '', '', ''], [(10, 11), (10, 9), (18, 6)], [False, False, False, False], 48, False, [True, False, False, False], 634, 'West', (5, 9))
Element 27: (2, (5, 9), ['.', '%', '%', ''], [(10, 10), (10, 8), (18, 7)], [False, True, True, False], 46, False, [True, False, False, False], 643, 'West', (4, 9))
Element 28: (2, (4, 9), ['.', '%', '.', ''], [(10, 9), (10, 7), (18, 8)], [False, True, False, False], 44, False, [True, False, True, False], 662, 'North', (4, 10))
Element 29: (2, (4, 10), ['%', '', '.', '%'], [(10, 8), (11, 7), (18, 9)], [True, False, False, True], 42, False, [False, False, True, False], 681, 'North', (4, 11))
Element 30: (2, (4, 11), ['.', '', '%', '%'], [(10, 7), (11, 7), (18, 10)], [False, False, True, True], 40, False, [True, False, False, False], 690, 'West', (3, 11))
Element 31: (2, (3, 11), ['.', '%', '%', ''], [(9, 7), (10, 7), (18, 11)], [False, True, True, False], 38, False, [True, False, False, False], 709, 'West', (2, 11))
Element 32: (2, (2, 11), ['', '%', '%', ''], [(9, 8), (10, 7), (17, 11)], [False, True, True, False], 36, False, [False, False, False, False], 718, 'West', (1, 11))
Element 33: (2, (1, 11), ['%', '.', '%', ''], [(9, 9), (10, 8), (16, 11)], [True, False, True, False], 34, False, [False, True, False, False], 717, 'South', (1, 10))
Element 34: (2, (1, 10), ['%', '.', '', '%'], [(9, 10), (9, 8), (15, 11)], [True, False, False, True], 32, False, [False, True, False, False], 726, 'South', (1, 9))
