Element 39: (2, (16, 7), ['', '', '', ''], [(18, 1), (6, 2), (16, 5)], [False, False, False, False], 22, False, [False, False, False, False], 691, 'North', (16, 8))
Element 40: (2, (16, 8), ['%', '', '', '%'], [(18, 2), (6, 1), (15, 5)], [True, False, False, True], 20, False, [False, False, False, False], 690, 'North', (16, 9))
Element 41: (2, (16, 9), ['', '', '%', '%'], [(18, 3), (7, 1), (16, 5)], [False, False, True, True], 18, False, [False, False, False, False], 689, 'West', (15, 9))
Element 42: (2, (15, 9), ['', '%', '', ''], [(18, 4), (8, 1), (16, 4)], [False, True, False, False], 16, False, [False, False, False, False], 688, 'North', (15, 10))
Element 43: (2, (15, 10), ['%', '', '', '%'], [(18, 5), (9, 1), (15, 4)], [True, False, False, True], 14, False, [False, False, False, False], 687, 'South', (15, 9))
Element 44: (2, (15, 9), ['', '%', '', ''], [(18, 6), (10, 1), (16, 4)], [False, True, False, False], 12, False, [False, False, False, False], 686, 'West', (14, 9))
Element 45: (2, (14, 9), ['', '%', '%', ''], [(18, 7), (11, 1), (16, 3)], [False, True, True, False], 10, False, [False, False, False, False], 685, 'West', (13, 9))
Element 46: (2, (13, 9), ['.', '', '', ''], [(18, 8), (12, 1), (15, 3)], [False, False, False, False], 8, False, [True, False, False, False], 684, 'West', (12, 9))
Element 47: (2, (12, 9), ['%', '%', '%', ''], [(18, 9), (13, 1), (15, 4)], [True, True, True, False], 6, False, [False, False, False, False], 693, 'East', (13, 9))
Element 48: (2, (13, 9), ['', '', '', ''], [(18, 10), (13, 2), (15, 3)], [False, False, False, False], 4, False, [False, False, False, False], 692, 'North', (13, 10))
Element 49: (2, (13, 10), ['%', '', '', '%'], [(18, 11), (13, 3), (15, 2)], [True, False, False, True], 2, False, [False, False, False, False], 691, 'North', (13, 11))
Element 50: (2, (13, 11), ['', '', '%', '%'], [(18, 11), (13, 3), (15, 1)], [False, False, True, True], 0, False, [False, False, False, False], 690, 'Stop', (13, 11))
Element 51: #0#
