Element 1: (3, (15, 9), ['.', '%', '.', '.'], [(13, 2), (6, 5), (13, 9)], [False, True, False, False], 98, False, [True, False, True, True], 29, 'East', (16, 9))
Element 2: (3, (16, 9), ['', '.', '%', '%'], [(13, 3), (6, 6), (14, 9)], [False, False, True, True], 96, False, [False, True, False, False], 68, 'South', (16, 8))
Element 3: (3, (16, 8), ['%', '.', '', '%'], [(13, 4), (6, 7), (15, 9)], [True, False, False, True], 94, False, [False, True, False, False], 97, 'South', (16, 7))
Element 4: (3, (16, 7), ['.', '.', '', '.'], [(13, 5), (6, 8), (15, 10)], [False, False, False, False], 92, False, [True, True, False, True], 136, 'East', (17, 7))
Element 5: (3, (17, 7), ['', '%', '%', '.'], [(13, 6), (6, 9), (15, 11)], [False, True, True, False], 90, False, [False, False, False, True], 175, 'East', (18, 7))
Element 6: (3, (18, 7), ['', '.', '.', '%'], [(13, 7), (7, 9), (16, 11)], [False, False, False, True], 88, False, [False, True, True, False], 214, 'North', (18, 8))
Element 7: (3, (18, 8), ['%', '', '.', '%'], [(13, 8), (6, 9), (17, 11)], [True, False, False, True], 86, False, [False, False, True, False], 233, 'North', (18, 9))
Element 8: (3, (18, 9), ['%', '', '.', '%'], [(13, 9), (6, 10), (18, 11)], [True, False, False, True], 84, False, [False, False, True, False], 252, 'North', (18, 10))
Element 9: (3, (18, 10), ['%', '', '', '%'], [(13, 10), (6, 11), (17, 11)], [True, False, False, True], 82, False, [False, False, False, False], 281, 'North', (18, 11))
Element 10: (3, (18, 11), ['', '', '%', '%'], [(13, 11), (7, 11), (16, 11)], [False, False, True, True], 80, False, [False, False, False, False], 300, 'West', (17, 11))
Element 11: (3, (17, 11), ['', '%', '%', ''], [(12, 11), (8, 11), (15, 11)], [False, True, True, False], 78, False, [False, False, False, False], 319, 'West', (16, 11))
Element 12: (3, (16, 11), ['', '%', '%', ''], [(11, 11), (9, 11), (15, 10)], [False, True, True, False], 76, False, [False, False, False, False], 338, 'West', (15, 11))
Element 13: (3, (15, 11), ['%', '', '%', ''], [(10, 11), (9, 10), (15, 9)], [True, False, True, False], 74, False, [False, False, False, False], 357, 'South', (15, 10))
Element 14: (3, (15, 10), ['%', '', '', '%'], [(10, 10), (9, 9), (16, 9)], [True, False, False, True], 72, False, [False, False, False, False], 376, 'North', (15, 11))
Element 15: (3, (15, 11), ['%', '', '%', ''], [(10, 9), (9, 8), (16, 8)], [True, False, True, False], 70, False, [False, False, False, False], 385, 'East', (16, 11))
Element 16: (3, (16, 11), ['', '%', '%', ''], [(10, 8), (9, 7), (16, 7)], [False, True, True, False], 68, False, [False, False, False, False], 394, 'East', (17, 11))
Element 17: (3, (17, 11), ['', '%', '%', ''], [(10, 7), (9, 8), (16, 6)], [False, True, True, False], 66, False, [False, False, False, False], 413, 'East', (18, 11))
Element 18: (3, (18, 11), ['', '', '%', '%'], [(11, 7), (9, 9), (16, 5)], [False, False, True, True], 64, False, [False, False, False, False], 432, 'South', (18, 10))
Element 19: (3, (18, 10), ['%', '', '', '%'], [(10, 7), (9, 10), (16, 4)], [True, False, False, True], 62, False, [False, False, False, False], 441, 'South', (18, 9))
Element 20: (3, (18, 9), ['%', '', '', '%'], [(9, 7), (9, 11), (16, 3)], [True, False, False, True], 60, False, [False, False, False, False], 450, 'South', (18, 8))
Element 21: (3, (18, 8), ['%', '', '', '%'], [(9, 8), (8, 11), (15, 3)], [True, False, False, True], 58, False, [False, False, False, False], 459, 'South', (18, 7))
Element 22: (3, (18, 7), ['', '.', '', '%'], [(9, 9), (7, 11), (15, 4)], [False, False, False, True], 56, False, [False, True, False, False], 468, 'South', (18, 6))
Element 23: (3, (18, 6), ['%', '.', '', '%'], [(9, 10), (6, 11), (15, 5)], [True, False, False, True], 54, False, [False, True, False, False], 487, 'South', (18, 5))
Element 24: (3, (18, 5), ['%', '.', '', '%'], [(9, 11), (6, 10), (15, 6)], [True, False, False, True], 52, False, [False, True, False, False], 506, 'South', (18, 4))
Element 25: (3, (18, 4), ['%', '.', '', '%'], [(8, 11), (6, 9), (15, 7)], [True, False, False, True], 50, False, [False, True, False, False], 525, 'South', (18, 3))
Element 26: (3, (18, 3), ['%', '.', '', '%'], [(7, 11), (5, 9), (15, 6)], [True, False, False, True], 48, False, [False, True, False, False], 544, 'South', (18, 2))
Element 27: (3, (18, 2), ['%', '', '', '%'], [(6, 11), (4, 9), (15, 5)], [True, False, False, True], 46, False, [False, False, False, False], 563, 'South', (18, 1))
Element 28: (3, (18, 1), ['.', '%', '', '%'], [(6, 10), (4, 10), (15, 4)], [False, True, False, True], 44, False, [True, False, False, False], 572, 'West', (17, 1))
Element 29: (3, (17, 1), ['.', '%', '%', ''], [(6, 9), (4, 11), (15, 3)], [False, True, True, False], 42, False, [True, False, False, False], 591, 'West', (16, 1))
Element 30: (3, (16, 1), ['.', '%', '%', ''], [(7, 9), (3, 11), (15, 2)], [False, True, True, False], 40, False, [True, False, False, False], 620, 'West', (15, 1))
Element 31: (3, (15, 1), ['%', '%', '', ''], [(6, 9), (2, 11), (15, 3)], [True, True, False, False], 38, False, [False, False, False, False], 639, 'North', (15, 2))
Element 32: (3, (15, 2), ['%', '', '', '%'], [(6, 8), (1, 11), (16, 3)], [True, False, False, True], 36, False, [False, False, False, False], 638, 'North', (15, 3))
Element 33: (3, (15, 3), ['%', '', '', ''], [(6, 7), (1, 10), (16, 4)], [True, False, False, False], 34, False, [False, False, False, False], 647, 'East', (16, 3))
Element 34: (3, (16, 3), ['', '%', '', '%'], [(5, 7), (1, 9), (15, 4)], [False, True, False, True], 32, False, [False, False, False, False], 666, 'North', (16, 4))
Element 35: (3, (16, 4), ['', '', '', '%'], [(5, 6), (1, 8), (15, 3)], [False, False, False, True], 30, False, [False, False, False, False], 685, 'North', (16, 5))
Element 36: (3, (16, 5), ['', '', '', '%'], [(5, 5), (1, 7), (15, 2)], [False, False, False, True], 28, False, [False, False, False, False], 704, 'North', (16, 6))
Element 37: (3, (16, 6), ['', '', '', '%'], [(5, 4), (2, 7), (15, 3)], [False, False, False, True], 26, False, [False, False, False, False], 723, 'West', (15, 6))
Element 38: (3, (15, 6), ['%', '', '', ''], [(5, 3), (3, 7), (15, 4)], [True, False, False, False], 24, False, [False, False, False, False], 742, 'North', (15, 7))
Element 39: (3, (15, 7), ['%', '', '%', ''], [(6, 3), (4, 7), (15, 5)], [True, False, True, False], 22, False, [False, False, False, False], 761, 'South', (15, 6))
