Element 1: (0, (18, 2), ['%', '', '.', '%'], [(1, 9), (15, 2), (15, 7)], [True, False, False, True], 98, False, [False, False, True, False], 0, 'North', (18, 3))
Element 2: (0, (18, 3), ['%', '', '.', '%'], [(1, 10), (15, 3), (16, 7)], [True, False, False, True], 96, False, [False, False, True, False], 39, 'North', (18, 4))
Element 3: (0, (18, 4), ['%', '', '.', '%'], [(1, 11), (16, 3), (17, 7)], [True, False, False, True], 94, False, [False, False, True, False], 68, 'North', (18, 5))
Element 4: (0, (18, 5), ['%', '', '.', '%'], [(2, 11), (16, 4), (18, 7)], [True, False, False, True], 92, False, [False, False, True, False], 107, 'North', (18, 6))
Element 5: (0, (18, 6), ['%', '', '', '%'], [(3, 11), (16, 5), (18, 8)], [True, False, False, True], 90, False, [False, False, False, False], 146, 'North', (18, 7))
Element 6: (0, (18, 7), ['', '', '', '%'], [(4, 11), (16, 6), (18, 9)], [False, False, False, True], 88, False, [False, False, False, False], 175, 'North', (18, 8))
Element 7: (0, (18, 8), ['%', '', '', '%'], [(4, 10), (15, 6), (18, 10)], [True, False, False, True], 86, False, [False, False, False, False], 204, 'North', (18, 9))
Element 8: (0, (18, 9), ['%', '', '', '%'], [(4, 9), (15, 5), (18, 11)], [True, False, False, True], 84, False, [False, False, False, False], 223, 'North', (18, 10))
Element 9: (0, (18, 10), ['%', '', '', '%'], [(5, 9), (15, 4), (17, 11)], [True, False, False, True], 82, False, [False, False, False, False], 252, 'North', (18, 11))
Element 10: (0, (18, 11), ['', '', '%', '%'], [(6, 9), (15, 5), (16, 11)], [False, False, True, True], 80, False, [False, False, False, False], 271, 'West', (17, 11))
Element 11: (0, (17, 11), ['', '%', '%', ''], [(7, 9), (15, 6), (15, 11)], [False, True, True, False], 78, False, [False, False, False, False], 290, 'West', (16, 11))
Element 12: (0, (16, 11), ['', '%', '%', ''], [(6, 9), (15, 7), (15, 10)], [False, True, True, False], 76, False, [False, False, False, False], 299, 'West', (15, 11))
Element 13: (0, (15, 11), ['%', '', '%', ''], [(6, 10), (16, 7), (15, 9)], [True, False, True, False], 74, False, [False, False, False, False], 318, 'South', (15, 10))
Element 14: (0, (15, 10), ['%', '', '', '%'], [(6, 11), (16, 8), (16, 9)], [True, False, False, True], 72, False, [False, False, False, False], 347, 'South', (15, 9))
Element 15: (0, (15, 9), ['.', '%', '', ''], [(7, 11), (16, 7), (16, 8)], [False, True, False, False], 70, False, [True, False, False, False], 356, 'West', (14, 9))
Element 16: (0, (14, 9), ['.', '%', '%', ''], [(8, 11), (17, 7), (16, 9)], [False, True, True, False], 68, False, [True, False, False, False], 375, 'West', (13, 9))
Element 17: (0, (13, 9), ['.', '.', '.', ''], [(9, 11), (18, 7), (15, 9)], [False, False, False, False], 66, False, [True, True, True, False], 394, 'North', (13, 10))
