Element 1: (0, (5, 6), ['.', '.', '.', '.'], [(1, 3), (4, 4), (13, 8)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (6, 6))
Element 2: (0, (6, 6), ['', '.', '.', '%'], [(1, 4), (5, 4), (13, 9)], [False, False, False, True], 96, False, [False, True, True, False], 39, 'North', (6, 7))
Element 3: (0, (6, 7), ['.', '', '.', ''], [(1, 5), (6, 4), (14, 9)], [False, False, False, False], 94, False, [True, False, True, False], 78, 'North', (6, 8))
Element 4: (0, (6, 8), ['%', '', '.', '%'], [(1, 6), (6, 5), (15, 9)], [True, False, False, True], 92, False, [False, False, True, False], 117, 'North', (6, 9))
Element 5: (0, (6, 9), ['.', '', '.', '.'], [(1, 7), (5, 5), (16, 9)], [False, False, False, False], 90, False, [True, False, True, True], 156, 'East', (7, 9))
Element 6: (0, (7, 9), ['', '%', '%', '%'], [(2, 7), (4, 5), (16, 8)], [False, True, True, True], 88, False, [False, False, False, False], 195, 'West', (6, 9))
Element 7: (0, (6, 9), ['.', '', '.', ''], [(3, 7), (4, 6), (16, 7)], [False, False, False, False], 86, False, [True, False, True, False], 224, 'North', (6, 10))
Element 8: (0, (6, 10), ['%', '', '.', '%'], [(4, 7), (3, 6), (17, 7)], [True, False, False, True], 84, False, [False, False, True, False], 263, 'North', (6, 11))
Element 9: (0, (6, 11), ['%', '', '%', '.'], [(5, 7), (3, 5), (18, 7)], [True, False, True, False], 82, False, [False, False, False, True], 302, 'East', (7, 11))
Element 10: (0, (7, 11), ['', '%', '%', '.'], [(6, 7), (3, 4), (18, 8)], [False, True, True, False], 80, False, [False, False, False, True], 331, 'East', (8, 11))
Element 11: (0, (8, 11), ['', '%', '%', '.'], [(7, 7), (3, 3), (18, 9)], [False, True, True, False], 78, False, [False, False, False, True], 360, 'East', (9, 11))
Element 12: (0, (9, 11), ['', '.', '%', '.'], [(6, 7), (3, 2), (18, 10)], [False, False, True, False], 76, False, [False, True, False, True], 1379, 'East', (10, 11))
Element 13: #1#
