Element 1: (3, (16, 3), ['.', '%', '.', '%'], [(13, 3), (3, 11), (12, 1)], [False, True, False, True], 98, False, [True, False, True, False], 29, 'North', (16, 4))
Element 2: (3, (16, 4), ['.', '', '.', '%'], [(13, 4), (4, 11), (13, 1)], [False, False, False, True], 96, False, [True, False, True, False], 68, 'North', (16, 5))
Element 3: (3, (16, 5), ['.', '', '.', '%'], [(13, 5), (4, 10), (13, 2)], [False, False, False, True], 94, False, [True, False, True, False], 107, 'North', (16, 6))
Element 4: (3, (16, 6), ['.', '', '.', '%'], [(13, 6), (4, 9), (13, 3)], [False, False, False, True], 92, False, [True, False, True, False], 136, 'North', (16, 7))
Element 5: (3, (16, 7), ['.', '', '.', '.'], [(13, 7), (5, 9), (13, 4)], [False, False, False, False], 90, False, [True, False, True, True], 165, 'East', (17, 7))
Element 6: (3, (17, 7), ['', '%', '%', '.'], [(13, 8), (6, 9), (13, 5)], [False, True, True, False], 88, False, [False, False, False, True], 194, 'East', (18, 7))
Element 7: (3, (18, 7), ['', '.', '.', '%'], [(13, 9), (7, 9), (13, 6)], [False, False, False, True], 86, False, [False, True, True, False], 223, 'North', (18, 8))
Element 8: (3, (18, 8), ['%', '', '.', '%'], [(14, 9), (6, 9), (13, 7)], [True, False, False, True], 84, False, [False, False, True, False], 242, 'North', (18, 9))
Element 9: (3, (18, 9), ['%', '', '.', '%'], [(15, 9), (6, 10), (13, 8)], [True, False, False, True], 82, False, [False, False, True, False], 271, 'North', (18, 10))
Element 10: (3, (18, 10), ['%', '', '', '%'], [(16, 9), (6, 11), (13, 9)], [True, False, False, True], 80, False, [False, False, False, False], 300, 'North', (18, 11))
Element 11: (3, (18, 11), ['.', '', '%', '%'], [(16, 8), (7, 11), (13, 10)], [False, False, True, True], 78, False, [True, False, False, False], 329, 'West', (17, 11))
Element 12: (3, (17, 11), ['.', '%', '%', ''], [(16, 7), (8, 11), (13, 11)], [False, True, True, False], 76, False, [True, False, False, False], 358, 'West', (16, 11))
Element 13: (3, (16, 11), ['.', '%', '%', ''], [(15, 7), (9, 11), (12, 11)], [False, True, True, False], 74, False, [True, False, False, False], 397, 'West', (15, 11))
Element 14: (3, (15, 11), ['%', '.', '%', ''], [(15, 6), (10, 11), (11, 11)], [True, False, True, False], 72, False, [False, True, False, False], 436, 'South', (15, 10))
Element 15: (3, (15, 10), ['%', '', '', '%'], [(15, 5), (10, 10), (10, 11)], [True, False, False, True], 70, False, [False, False, False, False], 465, 'South', (15, 9))
Element 16: (3, (15, 9), ['', '%', '', ''], [(15, 4), (10, 9), (10, 10)], [False, True, False, False], 68, False, [False, False, False, False], 484, 'East', (16, 9))
Element 17: (3, (16, 9), ['', '', '%', '%'], [(15, 3), (9, 9), (9, 10)], [False, False, True, True], 66, False, [False, False, False, False], 513, 'South', (16, 8))
Element 18: (3, (16, 8), ['%', '', '', '%'], [(15, 2), (9, 8), (9, 11)], [True, False, False, True], 64, False, [False, False, False, False], 522, 'North', (16, 9))
Element 19: (3, (16, 9), ['', '', '%', '%'], [(15, 1), (9, 7), (8, 11)], [False, False, True, True], 62, False, [False, False, False, False], 541, 'West', (15, 9))
Element 20: (3, (15, 9), ['', '%', '', ''], [(16, 1), (10, 7), (7, 11)], [False, True, False, False], 60, False, [False, False, False, False], 560, 'West', (14, 9))
