Element 1: (3, (18, 10), ['%', '.', '', '%'], [(16, 9), (6, 8), (14, 9)], [True, False, False, True], 98, False, [False, True, False, False], 29, 'South', (18, 9))
Element 2: (3, (18, 9), ['%', '.', '', '%'], [(15, 9), (6, 9), (13, 9)], [True, False, False, True], 96, False, [False, True, False, False], 58, 'South', (18, 8))
Element 3: (3, (18, 8), ['%', '.', '', '%'], [(15, 10), (7, 9), (13, 10)], [True, False, False, True], 94, False, [False, True, False, False], 97, 'South', (18, 7))
Element 4: (3, (18, 7), ['.', '.', '', '%'], [(15, 11), (6, 9), (13, 11)], [False, False, False, True], 92, False, [True, True, False, False], 126, 'South', (18, 6))
Element 5: (3, (18, 6), ['%', '.', '', '%'], [(16, 11), (6, 10), (12, 11)], [True, False, False, True], 90, False, [False, True, False, False], 165, 'South', (18, 5))
Element 6: (3, (18, 5), ['%', '.', '', '%'], [(17, 11), (6, 11), (11, 11)], [True, False, False, True], 88, False, [False, True, False, False], 204, 'South', (18, 4))
Element 7: (3, (18, 4), ['%', '.', '', '%'], [(18, 11), (7, 11), (10, 11)], [True, False, False, True], 86, False, [False, True, False, False], 233, 'South', (18, 3))
Element 8: (3, (18, 3), ['%', '.', '', '%'], [(18, 10), (8, 11), (10, 10)], [True, False, False, True], 84, False, [False, True, False, False], 262, 'South', (18, 2))
Element 9: (3, (18, 2), ['%', '', '', '%'], [(18, 9), (9, 11), (10, 9)], [True, False, False, True], 82, False, [False, False, False, False], 291, 'South', (18, 1))
Element 10: (3, (18, 1), ['.', '%', '', '%'], [(18, 8), (9, 10), (9, 9)], [False, True, False, True], 80, False, [True, False, False, False], 310, 'West', (17, 1))
Element 11: (3, (17, 1), ['.', '%', '%', ''], [(18, 7), (10, 10), (9, 10)], [False, True, True, False], 78, False, [True, False, False, False], 319, 'West', (16, 1))
Element 12: (3, (16, 1), ['.', '%', '%', ''], [(17, 7), (10, 11), (9, 11)], [False, True, True, False], 76, False, [True, False, False, False], 338, 'West', (15, 1))
Element 13: (3, (15, 1), ['%', '%', '.', ''], [(16, 7), (11, 11), (8, 11)], [True, True, False, False], 74, False, [False, False, True, False], 357, 'North', (15, 2))
Element 14: (3, (15, 2), ['%', '', '.', '%'], [(16, 6), (12, 11), (7, 11)], [True, False, False, True], 72, False, [False, False, True, False], 376, 'North', (15, 3))
Element 15: (3, (15, 3), ['%', '', '.', '.'], [(16, 5), (13, 11), (6, 11)], [True, False, False, False], 70, False, [False, False, True, True], 395, 'East', (16, 3))
Element 16: (3, (16, 3), ['', '%', 'G', '%'], [(16, 4), (13, 10), (6, 10)], [False, True, False, True], 68, False, [False, False, False, False], 414, 'West', (15, 3))
Element 17: (3, (15, 3), ['%', '', 'G', ''], [(15, 4), (13, 9), (6, 9)], [True, False, False, False], 66, False, [False, False, False, False], 423, 'South', (15, 2))
Element 18: (3, (15, 2), ['%', '', '', '%'], [(15, 5), (13, 8), (5, 9)], [True, False, False, True], 64, False, [False, False, False, False], 452, 'North', (15, 3))
Element 19: (3, (15, 3), ['%', '', '', ''], [(15, 6), (13, 7), (4, 9)], [True, False, False, False], 62, False, [False, False, False, False], 481, 'South', (15, 2))
Element 20: (3, (15, 2), ['%', '', '', '%'], [(15, 7), (13, 6), (4, 10)], [True, False, False, True], 60, False, [False, False, False, False], 510, 'South', (15, 1))
Element 21: (3, (15, 1), ['%', '%', '', ''], [(15, 6), (13, 5), (4, 11)], [True, True, False, False], 58, False, [False, False, False, False], 529, 'East', (16, 1))
Element 22: (3, (16, 1), ['', '%', '%', ''], [(15, 5), (13, 4), (3, 11)], [False, True, True, False], 56, False, [False, False, False, False], 548, 'East', (17, 1))
Element 23: (3, (17, 1), ['', '%', '%', ''], [(15, 4), (13, 3), (2, 11)], [False, True, True, False], 54, False, [False, False, False, False], 567, 'East', (18, 1))
Element 24: (3, (18, 1), ['', '%', '', '%'], [(15, 3), (13, 2), (1, 11)], [False, True, False, True], 52, False, [False, False, False, False], 576, 'North', (18, 2))
Element 25: (3, (18, 2), ['%', '', '', '%'], [(16, 3), (13, 1), (1, 10)], [True, False, False, True], 50, False, [False, False, False, False], 595, 'North', (18, 3))
Element 26: (3, (18, 3), ['%', '', '', '%'], [(15, 3), (12, 1), (1, 9)], [True, False, False, True], 48, False, [False, False, False, False], 614, 'North', (18, 4))
Element 27: (3, (18, 4), ['%', '', '', '%'], [(15, 2), (11, 1), (1, 8)], [True, False, False, True], 46, False, [False, False, False, False], 633, 'North', (18, 5))
Element 28: (3, (18, 5), ['%', '', '', '%'], [(15, 1), (10, 1), (1, 7)], [True, False, False, True], 44, False, [False, False, False, False], 652, 'North', (18, 6))
Element 29: (3, (18, 6), ['%', '', '', '%'], [(16, 1), (9, 1), (2, 7)], [True, False, False, True], 42, False, [False, False, False, False], 671, 'North', (18, 7))
Element 30: (3, (18, 7), ['', '', '', '%'], [(17, 1), (8, 1), (3, 7)], [False, False, False, True], 40, False, [False, False, False, False], 690, 'West', (17, 7))
Element 31: (3, (17, 7), ['', '%', '%', ''], [(18, 1), (7, 1), (4, 7)], [False, True, True, False], 38, False, [False, False, False, False], 709, 'West', (16, 7))
Element 32: (3, (16, 7), ['', '', '', ''], [(18, 2), (6, 1), (5, 7)], [False, False, False, False], 36, False, [False, False, False, False], 728, 'North', (16, 8))
Element 33: (3, (16, 8), ['%', '', '', '%'], [(18, 3), (6, 2), (5, 6)], [True, False, False, True], 34, False, [False, False, False, False], 747, 'North', (16, 9))
Element 34: (3, (16, 9), ['', '', '%', '%'], [(18, 4), (6, 3), (6, 6)], [False, False, True, True], 32, False, [False, False, False, False], 766, 'West', (15, 9))
Element 35: (3, (15, 9), ['', '%', '', ''], [(18, 5), (7, 3), (6, 5)], [False, True, False, False], 30, False, [False, False, False, False], 785, 'North', (15, 10))
Element 36: (3, (15, 10), ['%', '', '', '%'], [(18, 6), (8, 3), (6, 4)], [True, False, False, True], 28, False, [False, False, False, False], 804, 'North', (15, 11))
Element 37: (3, (15, 11), ['%', '', '%', ''], [(18, 5), (9, 3), (5, 4)], [True, False, True, False], 26, False, [False, False, False, False], 823, 'East', (16, 11))
Element 38: (3, (16, 11), ['', '%', '%', ''], [(18, 4), (10, 3), (5, 5)], [False, True, True, False], 24, False, [False, False, False, False], 842, 'East', (17, 11))
Element 39: (3, (17, 11), ['', '%', '%', ''], [(18, 3), (11, 3), (4, 5)], [False, True, True, False], 22, False, [False, False, False, False], 861, 'East', (18, 11))
Element 40: (3, (18, 11), ['', '', '%', '%'], [(18, 2), (12, 3), (4, 6)], [False, False, True, True], 20, False, [False, False, False, False], 880, 'West', (17, 11))
Element 41: (3, (17, 11), ['', '%', '%', ''], [(18, 1), (11, 3), (3, 6)], [False, True, True, False], 18, False, [False, False, False, False], 889, 'West', (16, 11))
Element 42: (3, (16, 11), ['', '%', '%', ''], [(17, 1), (10, 3), (3, 5)], [False, True, True, False], 16, False, [False, False, False, False], 898, 'West', (15, 11))
Element 43: (3, (15, 11), ['%', '', '%', ''], [(16, 1), (9, 3), (3, 4)], [True, False, True, False], 14, False, [False, False, False, False], 907, 'South', (15, 10))
Element 44: (3, (15, 10), ['%', '', '', '%'], [(15, 1), (8, 3), (4, 4)], [True, False, False, True], 12, False, [False, False, False, False], 916, 'South', (15, 9))
Element 45: (3, (15, 9), ['', '%', '', ''], [(15, 2), (8, 4), (4, 3)], [False, True, False, False], 10, False, [False, False, False, False], 925, 'West', (14, 9))
