Element 1: (0, (9, 11), ['.', '.', '%', '.'], [(11, 1), (13, 5), (18, 10)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (10, 11))
Element 2: (0, (10, 11), ['', '.', '%', '.'], [(12, 1), (13, 6), (18, 9)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (11, 11))
Element 3: (0, (11, 11), ['', '%', '%', '.'], [(13, 1), (13, 7), (18, 8)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (12, 11))
Element 4: (0, (12, 11), ['', '%', '%', '.'], [(13, 2), (13, 8), (18, 7)], [False, True, True, False], 92, False, [False, False, False, True], 117, 'East', (13, 11))
Element 5: (0, (13, 11), ['', '.', '%', '%'], [(13, 3), (13, 9), (18, 6)], [False, False, True, True], 90, False, [False, True, False, False], 156, 'South', (13, 10))
Element 6: (0, (13, 10), ['%', '', '', '%'], [(13, 4), (14, 9), (18, 5)], [True, False, False, True], 88, False, [False, False, False, False], 195, 'South', (13, 9))
Element 7: (0, (13, 9), ['.', '', '', ''], [(13, 5), (15, 9), (18, 4)], [False, False, False, False], 86, False, [True, False, False, False], 214, 'West', (12, 9))
Element 8: (0, (12, 9), ['%', '%', '%', ''], [(13, 6), (16, 9), (18, 3)], [True, True, True, False], 84, False, [False, False, False, False], 243, 'East', (13, 9))
Element 9: (0, (13, 9), ['', '', '', ''], [(13, 7), (16, 8), (18, 2)], [False, False, False, False], 82, False, [False, False, False, False], 262, 'East', (14, 9))
Element 10: (0, (14, 9), ['', '%', '%', ''], [(13, 8), (16, 7), (18, 1)], [False, True, True, False], 80, False, [False, False, False, False], 271, 'East', (15, 9))
Element 11: (0, (15, 9), ['', '%', '.', ''], [(13, 9), (17, 7), (17, 1)], [False, True, False, False], 78, False, [False, False, True, False], 290, 'North', (15, 10))
Element 12: (0, (15, 10), ['%', '', '.', '%'], [(14, 9), (18, 7), (16, 1)], [True, False, False, True], 76, False, [False, False, True, False], 309, 'North', (15, 11))
Element 13: (0, (15, 11), ['%', '', '%', '.'], [(15, 9), (18, 8), (15, 1)], [True, False, True, False], 74, False, [False, False, False, True], 328, 'East', (16, 11))
Element 14: (0, (16, 11), ['', '%', '%', '.'], [(16, 9), (18, 9), (15, 2)], [False, True, True, False], 72, False, [False, False, False, True], 347, 'East', (17, 11))
Element 15: (0, (17, 11), ['', '%', '%', ''], [(16, 8), (18, 10), (15, 3)], [False, True, True, False], 70, False, [False, False, False, False], 366, 'East', (18, 11))
Element 16: (0, (18, 11), ['', '', '%', '%'], [(16, 7), (18, 9), (16, 3)], [False, False, True, True], 68, False, [False, False, False, False], 375, 'South', (18, 10))
Element 17: (0, (18, 10), ['%', '', '', '%'], [(16, 6), (18, 8), (16, 4)], [True, False, False, True], 66, False, [False, False, False, False], 394, 'South', (18, 9))
Element 18: (0, (18, 9), ['%', '', '', '%'], [(16, 5), (18, 7), (15, 4)], [True, False, False, True], 64, False, [False, False, False, False], 413, 'South', (18, 8))
Element 19: (0, (18, 8), ['%', '', '', '%'], [(15, 5), (18, 6), (16, 4)], [True, False, False, True], 62, False, [False, False, False, False], 422, 'South', (18, 7))
Element 20: (0, (18, 7), ['', '', '', '%'], [(15, 6), (18, 5), (16, 3)], [False, False, False, True], 60, False, [False, False, False, False], 431, 'South', (18, 6))
Element 21: (0, (18, 6), ['%', '', '', '%'], [(15, 7), (18, 4), (15, 3)], [True, False, False, True], 58, False, [False, False, False, False], 440, 'South', (18, 5))
Element 22: (0, (18, 5), ['%', '', '', '%'], [(15, 6), (18, 3), (15, 4)], [True, False, False, True], 56, False, [False, False, False, False], 439, 'South', (18, 4))
Element 23: (0, (18, 4), ['%', '', '', '%'], [(15, 5), (18, 2), (15, 3)], [True, False, False, True], 54, False, [False, False, False, False], 438, 'South', (18, 3))
Element 24: (0, (18, 3), ['%', '', '', '%'], [(15, 4), (18, 1), (15, 2)], [True, False, False, True], 52, False, [False, False, False, False], 437, 'South', (18, 2))
Element 25: (0, (18, 2), ['%', '', '', '%'], [(16, 4), (17, 1), (15, 1)], [True, False, False, True], 50, False, [False, False, False, False], 436, 'South', (18, 1))
Element 26: (0, (18, 1), ['', '%', '', '%'], [(16, 3), (16, 1), (15, 2)], [False, True, False, True], 48, False, [False, False, False, False], 435, 'West', (17, 1))
Element 27: (0, (17, 1), ['', '%', '%', ''], [(15, 3), (15, 1), (15, 2)], [False, True, True, False], 46, False, [False, False, False, False], 434, 'West', (16, 1))
Element 28: (0, (16, 1), ['G', '%', '%', ''], [(16, 3), (15, 1), (15, 1)], [False, True, True, False], 44, False, [False, False, False, False], 433, 'East', (17, 1))
Element 29: (0, (17, 1), ['', '%', '%', ''], [(16, 4), (15, 2), (15, 2)], [False, True, True, False], 42, False, [False, False, False, False], 432, 'East', (18, 1))
Element 30: (0, (18, 1), ['', '%', '', '%'], [(15, 4), (15, 3), (15, 3)], [False, True, False, True], 40, False, [False, False, False, False], 431, 'North', (18, 2))
Element 31: (0, (18, 2), ['%', '', '', '%'], [(15, 5), (16, 3), (15, 4)], [True, False, False, True], 38, False, [False, False, False, False], 430, 'North', (18, 3))
Element 32: (0, (18, 3), ['%', '', '', '%'], [(15, 6), (16, 4), (15, 5)], [True, False, False, True], 36, False, [False, False, False, False], 429, 'North', (18, 4))
Element 33: (0, (18, 4), ['%', '', '', '%'], [(15, 7), (16, 5), (15, 6)], [True, False, False, True], 34, False, [False, False, False, False], 428, 'North', (18, 5))
Element 34: (0, (18, 5), ['%', '', '', '%'], [(16, 7), (16, 6), (15, 7)], [True, False, False, True], 32, False, [False, False, False, False], 427, 'North', (18, 6))
Element 35: (0, (18, 6), ['%', '', '', '%'], [(16, 6), (15, 6), (16, 7)], [True, False, False, True], 30, False, [False, False, False, False], 426, 'North', (18, 7))
Element 36: (0, (18, 7), ['G', '', '', '%'], [(16, 5), (15, 7), (17, 7)], [False, False, False, True], 28, False, [False, False, False, False], 425, 'South', (18, 6))
Element 37: (0, (18, 6), ['%', '', '', '%'], [(16, 6), (15, 6), (16, 7)], [True, False, False, True], 26, False, [False, False, False, False], 424, 'North', (18, 7))
Element 38: (0, (18, 7), ['', '', '', '%'], [(16, 5), (15, 5), (16, 8)], [False, False, False, True], 24, False, [False, False, False, False], 423, 'North', (18, 8))
Element 39: (0, (18, 8), ['%', '', '', '%'], [(16, 6), (15, 4), (16, 9)], [True, False, False, True], 22, False, [False, False, False, False], 422, 'North', (18, 9))
Element 40: (0, (18, 9), ['%', '', '', '%'], [(16, 7), (15, 5), (15, 9)], [True, False, False, True], 20, False, [False, False, False, False], 421, 'North', (18, 10))
Element 41: (0, (18, 10), ['%', '', '', '%'], [(15, 7), (15, 6), (15, 10)], [True, False, False, True], 18, False, [False, False, False, False], 420, 'North', (18, 11))
Element 42: (0, (18, 11), ['', '', '%', '%'], [(16, 7), (16, 6), (15, 11)], [False, False, True, True], 16, False, [False, False, False, False], 419, 'West', (17, 11))
Element 43: (0, (17, 11), ['G', '%', '%', ''], [(17, 7), (16, 5), (16, 11)], [False, True, True, False], 14, False, [False, False, False, False], 418, 'East', (18, 11))
Element 44: (0, (18, 11), ['G', '', '%', '%'], [(18, 7), (15, 5), (17, 11)], [False, False, True, True], 12, False, [False, False, False, False], 417, 'West', (17, 11))
Element 45: (0, (17, 11), ['', '%', '%', 'G'], [(18, 8), (16, 5), (18, 11)], [False, True, True, False], 10, False, [False, False, False, False], 416, 'Stop', (17, 11))
Element 46: (0, (17, 11), ['', '%', '%', ''], [(18, 9), (16, 4), (18, 10)], [False, True, True, False], 8, False, [False, False, False, False], 415, 'Stop', (17, 11))
Element 47: (0, (17, 11), ['', '%', '%', 'G'], [(18, 8), (15, 4), (18, 11)], [False, True, True, False], 6, False, [False, False, False, False], 414, 'Stop', (17, 11))
Element 48: (0, (17, 11), ['', '%', '%', ''], [(18, 7), (16, 4), (17, 11)], [False, True, True, False], 4, False, [False, False, False, False], 413, 'Stop', (17, 11))
Element 49: (0, (17, 11), ['', '%', '%', ''], [(18, 6), (16, 3), (17, 11)], [False, True, True, False], 2, False, [False, False, False, False], 412, 'Stop', (17, 11))
Element 50: (0, (17, 11), ['', '%', '%', ''], [(18, 5), (15, 3), (17, 11)], [False, True, True, False], 0, False, [False, False, False, False], 411, 'Stop', (17, 11))
Element 51: #0#
