Element 39: (2, (15, 1), ['%', '%', '', ''], [(16, 6), (10, 8), (4, 11)], [True, True, False, False], 22, False, [False, False, False, False], 801, 'East', (16, 1))
Element 40: (2, (16, 1), ['', '%', '%', ''], [(15, 6), (10, 9), (3, 11)], [False, True, True, False], 20, False, [False, False, False, False], 800, 'East', (17, 1))
Element 41: (2, (17, 1), ['', '%', '%', ''], [(15, 7), (9, 9), (2, 11)], [False, True, True, False], 18, False, [False, False, False, False], 799, 'East', (18, 1))
Element 42: (2, (18, 1), ['', '%', '', '%'], [(15, 6), (10, 9), (1, 11)], [False, True, False, True], 16, False, [False, False, False, False], 798, 'North', (18, 2))
Element 43: (2, (18, 2), ['%', '', '', '%'], [(15, 5), (10, 10), (1, 10)], [True, False, False, True], 14, False, [False, False, False, False], 807, 'North', (18, 3))
Element 44: (2, (18, 3), ['%', '', '', '%'], [(15, 4), (9, 10), (1, 9)], [True, False, False, True], 12, False, [False, False, False, False], 816, 'North', (18, 4))
Element 45: (2, (18, 4), ['%', '', '', '%'], [(15, 5), (10, 10), (1, 8)], [True, False, False, True], 10, False, [False, False, False, False], 825, 'North', (18, 5))
Element 46: (2, (18, 5), ['%', '', '', '%'], [(15, 6), (10, 11), (1, 7)], [True, False, False, True], 8, False, [False, False, False, False], 834, 'North', (18, 6))
Element 47: (2, (18, 6), ['%', '', '', '%'], [(16, 6), (9, 11), (2, 7)], [True, False, False, True], 6, False, [False, False, False, False], 843, 'North', (18, 7))
Element 48: (2, (18, 7), ['', '', '', '%'], [(16, 5), (9, 10), (1, 7)], [False, False, False, True], 4, False, [False, False, False, False], 842, 'North', (18, 8))
Element 49: (2, (18, 8), ['%', '', '', '%'], [(15, 5), (9, 11), (1, 6)], [True, False, False, True], 2, False, [False, False, False, False], 851, 'North', (18, 9))
Element 50: (2, (18, 9), ['%', '', '', '%'], [(15, 5), (9, 11), (1, 5)], [True, False, False, True], 0, False, [False, False, False, False], 860, 'Stop', (18, 9))
Element 51: #0#
