Element 1: (1, (10, 1), ['.', '%', '%', '.'], [(18, 8), (15, 6), (18, 10)], [False, True, True, False], 98, False, [True, False, False, True], 9, 'East', (11, 1))
Element 2: (1, (11, 1), ['', '%', '%', '.'], [(18, 7), (16, 6), (18, 9)], [False, True, True, False], 96, False, [False, False, False, True], 38, 'East', (12, 1))
Element 3: (1, (12, 1), ['', '%', '%', '.'], [(18, 6), (16, 7), (18, 8)], [False, True, True, False], 94, False, [False, False, False, True], 67, 'East', (13, 1))
Element 4: (1, (13, 1), ['', '%', '.', '%'], [(18, 5), (17, 7), (18, 7)], [False, True, False, True], 92, False, [False, False, True, False], 96, 'North', (13, 2))
Element 5: (1, (13, 2), ['%', '', '.', '%'], [(18, 4), (16, 7), (18, 6)], [True, False, False, True], 90, False, [False, False, True, False], 115, 'North', (13, 3))
Element 6: (1, (13, 3), ['.', '', '.', '%'], [(18, 3), (16, 8), (18, 5)], [False, False, False, True], 88, False, [True, False, True, False], 144, 'North', (13, 4))
Element 7: (1, (13, 4), ['%', '', '.', '%'], [(18, 2), (16, 9), (18, 4)], [True, False, False, True], 86, False, [False, False, True, False], 173, 'North', (13, 5))
Element 8: (1, (13, 5), ['%', '', '.', '%'], [(18, 1), (15, 9), (18, 3)], [True, False, False, True], 84, False, [False, False, True, False], 192, 'North', (13, 6))
Element 9: (1, (13, 6), ['%', '', '.', '%'], [(17, 1), (15, 10), (18, 2)], [True, False, False, True], 82, False, [False, False, True, False], 221, 'North', (13, 7))
Element 10: (1, (13, 7), ['%', '', '.', '%'], [(16, 1), (15, 11), (18, 1)], [True, False, False, True], 80, False, [False, False, True, False], 250, 'North', (13, 8))
Element 11: (1, (13, 8), ['%', '', '.', '%'], [(15, 1), (16, 11), (17, 1)], [True, False, False, True], 78, False, [False, False, True, False], 279, 'North', (13, 9))
Element 12: (1, (13, 9), ['.', '', '.', '.'], [(15, 2), (17, 11), (16, 1)], [False, False, False, False], 76, False, [True, False, True, True], 308, 'East', (14, 9))
Element 13: (1, (14, 9), ['', '%', '%', ''], [(15, 3), (18, 11), (15, 1)], [False, True, True, False], 74, False, [False, False, False, False], 327, 'East', (15, 9))
Element 14: (1, (15, 9), ['', '%', '', ''], [(16, 3), (18, 10), (15, 2)], [False, True, False, False], 72, False, [False, False, False, False], 336, 'East', (16, 9))
Element 15: (1, (16, 9), ['', '', '%', '%'], [(16, 4), (18, 9), (15, 3)], [False, False, True, True], 70, False, [False, False, False, False], 345, 'South', (16, 8))
Element 16: (1, (16, 8), ['%', '', '', '%'], [(16, 5), (18, 8), (15, 4)], [True, False, False, True], 68, False, [False, False, False, False], 364, 'South', (16, 7))
Element 17: (1, (16, 7), ['.', 'G', '', ''], [(16, 6), (18, 7), (15, 5)], [False, False, False, False], 66, False, [True, False, False, False], 373, 'West', (15, 7))
Element 18: (1, (15, 7), ['%', '', '%', 'G'], [(16, 7), (18, 6), (16, 5)], [True, False, True, False], 64, False, [False, False, False, False], 382, 'South', (15, 6))
Element 19: (1, (15, 6), ['%', '', '', 'G'], [(17, 7), (18, 5), (16, 6)], [True, False, False, False], 62, False, [False, False, False, False], 381, 'South', (15, 5))
Element 20: (1, (15, 5), ['%', '', '', ''], [(18, 7), (18, 4), (16, 7)], [True, False, False, False], 60, False, [False, False, False, False], 380, 'East', (16, 5))
Element 21: (1, (16, 5), ['', '', '', '%'], [(18, 8), (18, 3), (17, 7)], [False, False, False, True], 58, False, [False, False, False, False], 379, 'North', (16, 6))
Element 22: (1, (16, 6), ['', '', 'G', '%'], [(18, 7), (18, 2), (16, 7)], [False, False, False, True], 56, False, [False, False, False, False], 378, 'South', (16, 5))
Element 23: (1, (16, 5), ['', '', '', '%'], [(17, 7), (18, 1), (16, 8)], [False, False, False, True], 54, False, [False, False, False, False], 377, 'South', (16, 4))
Element 24: (1, (16, 4), ['', '', '', '%'], [(16, 7), (17, 1), (16, 9)], [False, False, False, True], 52, False, [False, False, False, False], 376, 'South', (16, 3))
Element 25: (1, (16, 3), ['', '%', '', '%'], [(16, 6), (16, 1), (15, 9)], [False, True, False, True], 50, False, [False, False, False, False], 375, 'West', (15, 3))
Element 26: (1, (15, 3), ['%', '', '', ''], [(15, 6), (15, 1), (15, 10)], [True, False, False, False], 48, False, [False, False, False, False], 374, 'North', (15, 4))
Element 27: (1, (15, 4), ['%', '', '', ''], [(15, 7), (15, 2), (15, 11)], [True, False, False, False], 46, False, [False, False, False, False], 373, 'South', (15, 3))
Element 28: (1, (15, 3), ['%', '', '', ''], [(15, 6), (15, 1), (16, 11)], [True, False, False, False], 44, False, [False, False, False, False], 372, 'South', (15, 2))
Element 29: (1, (15, 2), ['%', '', '', '%'], [(15, 5), (16, 1), (17, 11)], [True, False, False, True], 42, False, [False, False, False, False], 371, 'South', (15, 1))
Element 30: (1, (15, 1), ['%', '%', '', ''], [(15, 4), (17, 1), (18, 11)], [True, True, False, False], 40, False, [False, False, False, False], 370, 'East', (16, 1))
Element 31: (1, (16, 1), ['', '%', '%', ''], [(15, 5), (18, 1), (17, 11)], [False, True, True, False], 38, False, [False, False, False, False], 369, 'East', (17, 1))
Element 32: (1, (17, 1), ['', '%', '%', ''], [(15, 6), (18, 2), (16, 11)], [False, True, True, False], 36, False, [False, False, False, False], 368, 'East', (18, 1))
Element 33: (1, (18, 1), ['', '%', '', '%'], [(16, 6), (18, 3), (15, 11)], [False, True, False, True], 34, False, [False, False, False, False], 367, 'North', (18, 2))
Element 34: (1, (18, 2), ['%', '', '', '%'], [(16, 5), (18, 4), (15, 10)], [True, False, False, True], 32, False, [False, False, False, False], 366, 'North', (18, 3))
Element 35: (1, (18, 3), ['%', '', '', '%'], [(16, 4), (18, 5), (15, 9)], [True, False, False, True], 30, False, [False, False, False, False], 365, 'North', (18, 4))
Element 36: (1, (18, 4), ['%', '', '', '%'], [(16, 3), (18, 6), (14, 9)], [True, False, False, True], 28, False, [False, False, False, False], 364, 'North', (18, 5))
Element 37: (1, (18, 5), ['%', '', '', '%'], [(15, 3), (18, 7), (13, 9)], [True, False, False, True], 26, False, [False, False, False, False], 363, 'North', (18, 6))
Element 38: (1, (18, 6), ['%', '', '', '%'], [(15, 4), (18, 8), (13, 10)], [True, False, False, True], 24, False, [False, False, False, False], 372, 'North', (18, 7))
Element 39: (1, (18, 7), ['', '', '', '%'], [(15, 3), (18, 9), (13, 11)], [False, False, False, True], 22, False, [False, False, False, False], 381, 'North', (18, 8))
Element 40: (1, (18, 8), ['%', '', '', '%'], [(15, 2), (18, 10), (12, 11)], [True, False, False, True], 20, False, [False, False, False, False], 390, 'North', (18, 9))
