Element 39: (1, (9, 10), ['%', '', '', ''], [(15, 3), (1, 7), (18, 1)], [True, False, False, False], 22, False, [False, False, False, False], 621, 'East', (10, 10))
Element 40: (1, (10, 10), ['', '', '', '%'], [(16, 3), (2, 7), (18, 2)], [False, False, False, True], 20, False, [False, False, False, False], 630, 'North', (10, 11))
Element 41: (1, (10, 11), ['', '', '%', ''], [(16, 4), (3, 7), (18, 3)], [False, False, True, False], 18, False, [False, False, False, False], 639, 'West', (9, 11))
Element 42: (1, (9, 11), ['', '', '%', ''], [(15, 4), (4, 7), (18, 4)], [False, False, True, False], 16, False, [False, False, False, False], 648, 'South', (9, 10))
Element 43: (1, (9, 10), ['%', '', '', ''], [(16, 4), (5, 7), (18, 5)], [True, False, False, False], 14, False, [False, False, False, False], 657, 'North', (9, 11))
Element 44: (1, (9, 11), ['', '', '%', ''], [(16, 5), (5, 6), (18, 6)], [False, False, True, False], 12, False, [False, False, False, False], 666, 'West', (8, 11))
Element 45: (1, (8, 11), ['', '%', '%', ''], [(15, 5), (5, 5), (18, 7)], [False, True, True, False], 10, False, [False, False, False, False], 675, 'West', (7, 11))
Element 46: (1, (7, 11), ['', '%', '%', ''], [(16, 5), (4, 5), (17, 7)], [False, True, True, False], 8, False, [False, False, False, False], 684, 'West', (6, 11))
Element 47: (1, (6, 11), ['%', '', '%', ''], [(16, 6), (4, 6), (16, 7)], [True, False, True, False], 6, False, [False, False, False, False], 693, 'South', (6, 10))
Element 48: (1, (6, 10), ['%', '', '', '%'], [(15, 6), (3, 6), (16, 8)], [True, False, False, True], 4, False, [False, False, False, False], 702, 'South', (6, 9))
Element 49: (1, (6, 9), ['', '', '', ''], [(16, 6), (3, 5), (16, 7)], [False, False, False, False], 2, False, [False, False, False, False], 711, 'West', (5, 9))
Element 50: (1, (5, 9), ['', '%', '%', ''], [(16, 6), (3, 4), (15, 7)], [False, True, True, False], 0, False, [False, False, False, False], 710, 'Stop', (5, 9))
Element 51: #0#
