Element 1: (0, (13, 3), ['.', '.', '.', '%'], [(11, 11), (13, 1), (15, 3)], [False, False, False, True], 98, False, [True, True, True, False], 0, 'North', (13, 4))
Element 2: (0, (13, 4), ['%', '', '.', '%'], [(12, 11), (13, 2), (16, 3)], [True, False, False, True], 96, False, [False, False, True, False], 39, 'North', (13, 5))
Element 3: (0, (13, 5), ['%', '', '.', '%'], [(13, 11), (13, 3), (16, 4)], [True, False, False, True], 94, False, [False, False, True, False], 68, 'North', (13, 6))
Element 4: (0, (13, 6), ['%', '', '.', '%'], [(13, 10), (12, 3), (16, 5)], [True, False, False, True], 92, False, [False, False, True, False], 107, 'North', (13, 7))
Element 5: (0, (13, 7), ['%', '', '.', '%'], [(13, 9), (11, 3), (16, 6)], [True, False, False, True], 90, False, [False, False, True, False], 146, 'North', (13, 8))
Element 6: (0, (13, 8), ['%', '', '', '%'], [(14, 9), (10, 3), (16, 7)], [True, False, False, True], 88, False, [False, False, False, False], 185, 'North', (13, 9))
Element 7: (0, (13, 9), ['.', '', '', ''], [(15, 9), (9, 3), (17, 7)], [False, False, False, False], 86, False, [True, False, False, False], 214, 'West', (12, 9))
Element 8: (0, (12, 9), ['%', '%', '%', ''], [(16, 9), (8, 3), (18, 7)], [True, True, True, False], 84, False, [False, False, False, False], 253, 'East', (13, 9))
Element 9: (0, (13, 9), ['', '', '', ''], [(16, 8), (7, 3), (18, 8)], [False, False, False, False], 82, False, [False, False, False, False], 282, 'East', (14, 9))
Element 10: (0, (14, 9), ['', '%', '%', ''], [(16, 7), (6, 3), (18, 9)], [False, True, True, False], 80, False, [False, False, False, False], 301, 'East', (15, 9))
Element 11: (0, (15, 9), ['', '%', '.', ''], [(15, 7), (6, 4), (18, 10)], [False, True, False, False], 78, False, [False, False, True, False], 330, 'North', (15, 10))
Element 12: (0, (15, 10), ['%', '', '.', '%'], [(15, 6), (6, 5), (18, 11)], [True, False, False, True], 76, False, [False, False, True, False], 359, 'North', (15, 11))
Element 13: (0, (15, 11), ['%', '', '%', '.'], [(15, 5), (6, 6), (17, 11)], [True, False, True, False], 74, False, [False, False, False, True], 398, 'East', (16, 11))
Element 14: (0, (16, 11), ['', '%', '%', ''], [(15, 4), (6, 7), (18, 11)], [False, True, True, False], 72, False, [False, False, False, False], 427, 'East', (17, 11))
Element 15: (0, (17, 11), ['', '%', '%', ''], [(16, 4), (6, 8), (18, 10)], [False, True, True, False], 70, False, [False, False, False, False], 436, 'East', (18, 11))
Element 16: (0, (18, 11), ['', '', '%', '%'], [(16, 5), (6, 9), (18, 9)], [False, False, True, True], 68, False, [False, False, False, False], 445, 'South', (18, 10))
Element 17: (0, (18, 10), ['%', '', '', '%'], [(16, 6), (7, 9), (18, 8)], [True, False, False, True], 66, False, [False, False, False, False], 454, 'South', (18, 9))
Element 18: (0, (18, 9), ['%', '', '', '%'], [(16, 5), (6, 9), (18, 7)], [True, False, False, True], 64, False, [False, False, False, False], 453, 'South', (18, 8))
Element 19: (0, (18, 8), ['%', '', '', '%'], [(16, 4), (6, 10), (18, 6)], [True, False, False, True], 62, False, [False, False, False, False], 472, 'South', (18, 7))
Element 20: (0, (18, 7), ['', '', '', '%'], [(16, 3), (6, 11), (18, 5)], [False, False, False, True], 60, False, [False, False, False, False], 491, 'South', (18, 6))
Element 21: (0, (18, 6), ['%', '', '', '%'], [(15, 3), (7, 11), (18, 4)], [True, False, False, True], 58, False, [False, False, False, False], 510, 'South', (18, 5))
Element 22: (0, (18, 5), ['%', '', '', '%'], [(15, 2), (8, 11), (18, 3)], [True, False, False, True], 56, False, [False, False, False, False], 539, 'South', (18, 4))
Element 23: (0, (18, 4), ['%', '', '', '%'], [(15, 1), (9, 11), (18, 2)], [True, False, False, True], 54, False, [False, False, False, False], 568, 'South', (18, 3))
Element 24: (0, (18, 3), ['%', '', '', '%'], [(16, 1), (10, 11), (18, 1)], [True, False, False, True], 52, False, [False, False, False, False], 587, 'South', (18, 2))
Element 25: (0, (18, 2), ['%', 'G', '', '%'], [(17, 1), (10, 10), (18, 1)], [True, False, False, True], 50, False, [False, False, False, False], 606, 'North', (18, 3))
Element 26: (0, (18, 3), ['%', '', '', '%'], [(16, 1), (10, 9), (17, 1)], [True, False, False, True], 48, False, [False, False, False, False], 615, 'North', (18, 4))
Element 27: (0, (18, 4), ['%', '', '', '%'], [(15, 1), (9, 9), (16, 1)], [True, False, False, True], 46, False, [False, False, False, False], 624, 'North', (18, 5))
Element 28: (0, (18, 5), ['%', '', '', '%'], [(15, 2), (9, 10), (15, 1)], [True, False, False, True], 44, False, [False, False, False, False], 633, 'North', (18, 6))
Element 29: (0, (18, 6), ['%', '', '', '%'], [(15, 3), (9, 9), (15, 2)], [True, False, False, True], 42, False, [False, False, False, False], 632, 'North', (18, 7))
