Element 39: (0, (17, 1), ['', '%', '%', ''], [(18, 8), (10, 10), (16, 6)], [False, True, True, False], 22, False, [False, False, False, False], 502, 'West', (16, 1))
Element 40: (0, (16, 1), ['', '%', '%', ''], [(18, 7), (10, 9), (16, 5)], [False, True, True, False], 20, False, [False, False, False, False], 511, 'West', (15, 1))
Element 41: (0, (15, 1), ['%', '%', '', ''], [(18, 6), (9, 9), (15, 5)], [True, True, False, False], 18, False, [False, False, False, False], 520, 'North', (15, 2))
Element 42: (0, (15, 2), ['%', '', '', '%'], [(18, 5), (9, 10), (16, 5)], [True, False, False, True], 16, False, [False, False, False, False], 529, 'North', (15, 3))
Element 43: (0, (15, 3), ['%', '', '', ''], [(18, 4), (9, 11), (16, 4)], [True, False, False, False], 14, False, [False, False, False, False], 528, 'East', (16, 3))
Element 44: (0, (16, 3), ['', '%', '', '%'], [(18, 3), (8, 11), (15, 4)], [False, True, False, True], 12, False, [False, False, False, False], 527, 'North', (16, 4))
Element 45: (0, (16, 4), ['', '', '', '%'], [(18, 2), (7, 11), (15, 3)], [False, False, False, True], 10, False, [False, False, False, False], 526, 'West', (15, 4))
Element 46: (0, (15, 4), ['%', '', '', ''], [(18, 1), (6, 11), (16, 3)], [True, False, False, False], 8, False, [False, False, False, False], 525, 'South', (15, 3))
Element 47: (0, (15, 3), ['%', '', '', ''], [(17, 1), (6, 10), (16, 4)], [True, False, False, False], 6, False, [False, False, False, False], 524, 'North', (15, 4))
Element 48: (0, (15, 4), ['%', '', '', ''], [(16, 1), (6, 9), (16, 3)], [True, False, False, False], 4, False, [False, False, False, False], 523, 'North', (15, 5))
Element 49: (0, (15, 5), ['%', '', '', ''], [(15, 1), (5, 9), (15, 3)], [True, False, False, False], 2, False, [False, False, False, False], 532, 'East', (16, 5))
Element 50: (0, (16, 5), ['', '', '', '%'], [(15, 2), (4, 9), (15, 4)], [False, False, False, True], 0, False, [False, False, False, False], 541, 'Stop', (16, 5))
Element 51: #0#
