Element 26: (3, (10, 8), ['', '', '', '%'], [(18, 8), (16, 6), (3, 6)], [False, False, False, True], 48, False, [False, False, False, False], 684, 'West', (9, 8))
Element 27: (3, (9, 8), ['%', '', '', ''], [(18, 7), (16, 5), (4, 6)], [True, False, False, False], 46, False, [False, False, False, False], 703, 'North', (9, 9))
Element 28: (3, (9, 9), ['%', '', '', ''], [(18, 6), (16, 4), (4, 5)], [True, False, False, False], 44, False, [False, False, False, False], 722, 'East', (10, 9))
Element 29: (3, (10, 9), ['', '', '', '%'], [(18, 5), (16, 3), (4, 4)], [False, False, False, True], 42, False, [False, False, False, False], 751, 'South', (10, 8))
Element 30: (3, (10, 8), ['', '', '', '%'], [(18, 4), (15, 3), (5, 4)], [False, False, False, True], 40, False, [False, False, False, False], 780, 'North', (10, 9))
Element 31: (3, (10, 9), ['', '', '', '%'], [(18, 3), (15, 4), (5, 3)], [False, False, False, True], 38, False, [False, False, False, False], 809, 'North', (10, 10))
Element 32: (3, (10, 10), ['', '', '', '%'], [(18, 2), (15, 5), (4, 3)], [False, False, False, True], 36, False, [False, False, False, False], 838, 'West', (9, 10))
Element 33: (3, (9, 10), ['%', '', '', ''], [(18, 1), (15, 6), (4, 2)], [True, False, False, False], 34, False, [False, False, False, False], 857, 'East', (10, 10))
Element 34: (3, (10, 10), ['', '', '', '%'], [(17, 1), (15, 7), (3, 2)], [False, False, False, True], 32, False, [False, False, False, False], 1876, 'North', (10, 11))
Element 35: #1#
