Element 1: (3, (12, 9), ['%', '%', '%', '.'], [(16, 4), (1, 5), (12, 1)], [True, True, True, False], 98, False, [False, False, False, True], 29, 'East', (13, 9))
Element 2: (3, (13, 9), ['', '.', '.', '.'], [(16, 5), (1, 6), (13, 1)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (14, 9))
Element 3: (3, (14, 9), ['', '%', '%', '.'], [(16, 6), (1, 7), (13, 2)], [False, True, True, False], 94, False, [False, False, False, True], 107, 'East', (15, 9))
Element 4: (3, (15, 9), ['', '%', '.', '.'], [(16, 7), (2, 7), (13, 3)], [False, True, False, False], 92, False, [False, False, True, True], 146, 'East', (16, 9))
Element 5: (3, (16, 9), ['', '.', '%', '%'], [(17, 7), (3, 7), (13, 4)], [False, False, True, True], 90, False, [False, True, False, False], 185, 'South', (16, 8))
Element 6: (3, (16, 8), ['%', '', '', '%'], [(18, 7), (4, 7), (13, 5)], [True, False, False, True], 88, False, [False, False, False, False], 224, 'South', (16, 7))
Element 7: (3, (16, 7), ['.', '', '', ''], [(18, 8), (5, 7), (13, 6)], [False, False, False, False], 86, False, [True, False, False, False], 253, 'West', (15, 7))
Element 8: (3, (15, 7), ['%', '.', '%', ''], [(18, 9), (6, 7), (13, 7)], [True, False, True, False], 84, False, [False, True, False, False], 292, 'South', (15, 6))
Element 9: (3, (15, 6), ['%', '.', '', ''], [(18, 10), (6, 8), (13, 8)], [True, False, False, False], 82, False, [False, True, False, False], 331, 'South', (15, 5))
Element 10: (3, (15, 5), ['%', '', '', ''], [(18, 11), (6, 9), (13, 9)], [True, False, False, False], 80, False, [False, False, False, False], 350, 'East', (16, 5))
Element 11: (3, (16, 5), ['', '', '', '%'], [(17, 11), (7, 9), (13, 10)], [False, False, False, True], 78, False, [False, False, False, False], 379, 'North', (16, 6))
Element 12: (3, (16, 6), ['', '', '', '%'], [(16, 11), (6, 9), (13, 11)], [False, False, False, True], 76, False, [False, False, False, False], 398, 'South', (16, 5))
Element 13: (3, (16, 5), ['', '', '', '%'], [(15, 11), (6, 10), (12, 11)], [False, False, False, True], 74, False, [False, False, False, False], 427, 'South', (16, 4))
Element 14: (3, (16, 4), ['', '.', '', '%'], [(15, 10), (6, 11), (11, 11)], [False, False, False, True], 72, False, [False, True, False, False], 456, 'South', (16, 3))
Element 15: (3, (16, 3), ['.', '%', '', '%'], [(15, 9), (7, 11), (10, 11)], [False, True, False, True], 70, False, [True, False, False, False], 485, 'West', (15, 3))
Element 16: (3, (15, 3), ['%', '.', '', ''], [(16, 9), (8, 11), (10, 10)], [True, False, False, False], 68, False, [False, True, False, False], 514, 'South', (15, 2))
Element 17: (3, (15, 2), ['%', '.', '', '%'], [(16, 8), (9, 11), (10, 9)], [True, False, False, True], 66, False, [False, True, False, False], 543, 'South', (15, 1))
Element 18: (3, (15, 1), ['%', '%', '', '.'], [(16, 9), (9, 10), (9, 9)], [True, True, False, False], 64, False, [False, False, False, True], 572, 'East', (16, 1))
Element 19: (3, (16, 1), ['', '%', '%', '.'], [(15, 9), (10, 10), (9, 10)], [False, True, True, False], 62, False, [False, False, False, True], 581, 'East', (17, 1))
Element 20: (3, (17, 1), ['', '%', '%', ''], [(14, 9), (10, 11), (9, 11)], [False, True, True, False], 60, False, [False, False, False, False], 590, 'East', (18, 1))
