Element 1: (3, (17, 11), ['.', '%', '%', ''], [(1, 10), (6, 6), (16, 7)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'West', (16, 11))
Element 2: (3, (16, 11), ['.', '%', '%', ''], [(1, 11), (6, 7), (17, 7)], [False, True, True, False], 96, False, [True, False, False, False], 58, 'West', (15, 11))
Element 3: (3, (15, 11), ['%', '.', '%', ''], [(2, 11), (6, 8), (18, 7)], [True, False, True, False], 94, False, [False, True, False, False], 97, 'South', (15, 10))
Element 4: (3, (15, 10), ['%', '.', '', '%'], [(3, 11), (6, 9), (18, 8)], [True, False, False, True], 92, False, [False, True, False, False], 136, 'South', (15, 9))
Element 5: (3, (15, 9), ['.', '%', '', '.'], [(4, 11), (7, 9), (18, 9)], [False, True, False, False], 90, False, [True, False, False, True], 175, 'East', (16, 9))
Element 6: (3, (16, 9), ['', '.', '%', '%'], [(4, 10), (6, 9), (18, 10)], [False, False, True, True], 88, False, [False, True, False, False], 204, 'South', (16, 8))
Element 7: (3, (16, 8), ['%', '', '', '%'], [(4, 9), (6, 10), (18, 11)], [True, False, False, True], 86, False, [False, False, False, False], 233, 'South', (16, 7))
Element 8: (3, (16, 7), ['.', '', '', ''], [(5, 9), (6, 11), (17, 11)], [False, False, False, False], 84, False, [True, False, False, False], 252, 'West', (15, 7))
Element 9: (3, (15, 7), ['%', '.', '%', ''], [(6, 9), (7, 11), (16, 11)], [True, False, True, False], 82, False, [False, True, False, False], 271, 'South', (15, 6))
Element 10: (3, (15, 6), ['%', '.', '', ''], [(7, 9), (8, 11), (15, 11)], [True, False, False, False], 80, False, [False, True, False, False], 290, 'South', (15, 5))
Element 11: (3, (15, 5), ['%', '.', '', '.'], [(6, 9), (9, 11), (15, 10)], [True, False, False, False], 78, False, [False, True, False, True], 309, 'East', (16, 5))
Element 12: (3, (16, 5), ['', '.', '', '%'], [(6, 10), (10, 11), (15, 9)], [False, False, False, True], 76, False, [False, True, False, False], 328, 'South', (16, 4))
Element 13: (3, (16, 4), ['.', '.', '', '%'], [(6, 11), (11, 11), (14, 9)], [False, False, False, True], 74, False, [True, True, False, False], 357, 'South', (16, 3))
Element 14: (3, (16, 3), ['.', '%', '', '%'], [(7, 11), (12, 11), (13, 9)], [False, True, False, True], 72, False, [True, False, False, False], 386, 'West', (15, 3))
Element 15: (3, (15, 3), ['%', '.', '.', ''], [(8, 11), (13, 11), (13, 10)], [True, False, False, False], 70, False, [False, True, True, False], 415, 'North', (15, 4))
Element 16: (3, (15, 4), ['%', '', '', ''], [(9, 11), (12, 11), (13, 11)], [True, False, False, False], 68, False, [False, False, False, False], 424, 'South', (15, 3))
Element 17: (3, (15, 3), ['%', '.', '', ''], [(9, 10), (11, 11), (12, 11)], [True, False, False, False], 66, False, [False, True, False, False], 433, 'South', (15, 2))
Element 18: (3, (15, 2), ['%', '.', '', '%'], [(10, 10), (10, 11), (11, 11)], [True, False, False, True], 64, False, [False, True, False, False], 452, 'South', (15, 1))
Element 19: (3, (15, 1), ['%', '%', '', '.'], [(10, 9), (10, 10), (10, 11)], [True, True, False, False], 62, False, [False, False, False, True], 471, 'East', (16, 1))
Element 20: (3, (16, 1), ['', '%', '%', '.'], [(9, 9), (10, 9), (10, 10)], [False, True, True, False], 60, False, [False, False, False, True], 490, 'East', (17, 1))
Element 21: (3, (17, 1), ['', '%', '%', ''], [(9, 8), (10, 8), (10, 9)], [False, True, True, False], 58, False, [False, False, False, False], 499, 'East', (18, 1))
Element 22: (3, (18, 1), ['', '%', '.', '%'], [(9, 7), (10, 7), (10, 8)], [False, True, False, True], 56, False, [False, False, True, False], 518, 'North', (18, 2))
