Element 1: (0, (6, 11), ['%', '.', '%', '.'], [(3, 11), (16, 9), (17, 1)], [True, False, True, False], 98, False, [False, True, False, True], 0, 'East', (7, 11))
Element 2: (0, (7, 11), ['', '%', '%', '.'], [(4, 11), (16, 8), (16, 1)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (8, 11))
Element 3: (0, (8, 11), ['', '%', '%', '.'], [(4, 10), (16, 7), (15, 1)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (9, 11))
Element 4: (0, (9, 11), ['', '.', '%', '.'], [(4, 9), (17, 7), (15, 2)], [False, False, True, False], 92, False, [False, True, False, True], 117, 'East', (10, 11))
Element 5: (0, (10, 11), ['', '.', '%', '.'], [(5, 9), (18, 7), (15, 3)], [False, False, True, False], 90, False, [False, True, False, True], 156, 'East', (11, 11))
Element 6: (0, (11, 11), ['', '%', '%', '.'], [(6, 9), (18, 8), (16, 3)], [False, True, True, False], 88, False, [False, False, False, True], 195, 'East', (12, 11))
Element 7: (0, (12, 11), ['', '%', '%', '.'], [(7, 9), (18, 9), (16, 4)], [False, True, True, False], 86, False, [False, False, False, True], 234, 'East', (13, 11))
Element 8: (0, (13, 11), ['', '.', '%', '%'], [(6, 9), (18, 10), (16, 5)], [False, False, True, True], 84, False, [False, True, False, False], 263, 'South', (13, 10))
Element 9: (0, (13, 10), ['%', '.', '', '%'], [(6, 10), (18, 11), (16, 6)], [True, False, False, True], 82, False, [False, True, False, False], 292, 'South', (13, 9))
Element 10: (0, (13, 9), ['.', '.', '', '.'], [(6, 11), (17, 11), (15, 6)], [False, False, False, False], 80, False, [True, True, False, True], 321, 'East', (14, 9))
Element 11: (0, (14, 9), ['', '%', '%', '.'], [(7, 11), (16, 11), (15, 7)], [False, True, True, False], 78, False, [False, False, False, True], 350, 'East', (15, 9))
Element 12: (0, (15, 9), ['', '%', '.', ''], [(8, 11), (15, 11), (16, 7)], [False, True, False, False], 76, False, [False, False, True, False], 369, 'North', (15, 10))
Element 13: (0, (15, 10), ['%', '', '', '%'], [(9, 11), (16, 11), (17, 7)], [True, False, False, True], 74, False, [False, False, False, False], 378, 'North', (15, 11))
Element 14: (0, (15, 11), ['%', '', '%', ''], [(9, 10), (17, 11), (18, 7)], [True, False, True, False], 72, False, [False, False, False, False], 387, 'East', (16, 11))
Element 15: (0, (16, 11), ['', '%', '%', ''], [(10, 10), (18, 11), (18, 6)], [False, True, True, False], 70, False, [False, False, False, False], 406, 'East', (17, 11))
Element 16: (0, (17, 11), ['', '%', '%', ''], [(10, 9), (18, 10), (18, 5)], [False, True, True, False], 68, False, [False, False, False, False], 425, 'East', (18, 11))
Element 17: (0, (18, 11), ['', '', '%', '%'], [(9, 9), (18, 9), (18, 4)], [False, False, True, True], 66, False, [False, False, False, False], 444, 'South', (18, 10))
Element 18: (0, (18, 10), ['%', '', '', '%'], [(9, 8), (18, 8), (18, 3)], [True, False, False, True], 64, False, [False, False, False, False], 453, 'South', (18, 9))
Element 19: (0, (18, 9), ['%', '', '', '%'], [(9, 7), (18, 7), (18, 2)], [True, False, False, True], 62, False, [False, False, False, False], 472, 'South', (18, 8))
Element 20: (0, (18, 8), ['%', '', '', '%'], [(10, 7), (18, 6), (18, 1)], [True, False, False, True], 60, False, [False, False, False, False], 481, 'South', (18, 7))
Element 21: (0, (18, 7), ['', '', '', '%'], [(11, 7), (18, 5), (18, 2)], [False, False, False, True], 58, False, [False, False, False, False], 490, 'South', (18, 6))
