Element 39: (0, (15, 10), ['%', '', '', '%'], [(10, 11), (9, 3), (3, 7)], [True, False, False, True], 22, False, [False, False, False, False], 802, 'South', (15, 9))
Element 40: (0, (15, 9), ['', '%', '', ''], [(9, 11), (10, 3), (4, 7)], [False, True, False, False], 20, False, [False, False, False, False], 821, 'East', (16, 9))
Element 41: (0, (16, 9), ['', '', '%', '%'], [(9, 10), (11, 3), (5, 7)], [False, False, True, True], 18, False, [False, False, False, False], 840, 'South', (16, 8))
Element 42: (0, (16, 8), ['%', '', '', '%'], [(9, 11), (12, 3), (5, 6)], [True, False, False, True], 16, False, [False, False, False, False], 859, 'North', (16, 9))
Element 43: (0, (16, 9), ['', '', '%', '%'], [(8, 11), (11, 3), (5, 5)], [False, False, True, True], 14, False, [False, False, False, False], 868, 'West', (15, 9))
Element 44: (0, (15, 9), ['', '%', '', ''], [(7, 11), (10, 3), (5, 4)], [False, True, False, False], 12, False, [False, False, False, False], 877, 'West', (14, 9))
Element 45: (0, (14, 9), ['', '%', '%', ''], [(6, 11), (9, 3), (6, 4)], [False, True, True, False], 10, False, [False, False, False, False], 886, 'West', (13, 9))
Element 46: (0, (13, 9), ['.', '', '', ''], [(6, 10), (8, 3), (6, 5)], [False, False, False, False], 8, False, [True, False, False, False], 885, 'West', (12, 9))
Element 47: (0, (12, 9), ['%', '%', '%', ''], [(6, 9), (8, 4), (6, 6)], [True, True, True, False], 6, False, [False, False, False, False], 894, 'East', (13, 9))
Element 48: (0, (13, 9), ['', '', '', ''], [(5, 9), (8, 5), (6, 7)], [False, False, False, False], 4, False, [False, False, False, False], 893, 'North', (13, 10))
Element 49: (0, (13, 10), ['%', '', '', '%'], [(4, 9), (9, 5), (7, 7)], [True, False, False, True], 2, False, [False, False, False, False], 892, 'North', (13, 11))
Element 50: (0, (13, 11), ['', '', '%', '%'], [(3, 9), (10, 5), (6, 7)], [False, False, True, True], 0, False, [False, False, False, False], 901, 'Stop', (13, 11))
Element 51: #0#
