Element 1: (1, (10, 11), ['.', '.', '%', '.'], [(6, 11), (13, 5), (13, 9)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'East', (11, 11))
Element 2: (1, (11, 11), ['', '%', '%', '.'], [(7, 11), (13, 6), (14, 9)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (12, 11))
Element 3: (1, (12, 11), ['', '%', '%', '.'], [(8, 11), (13, 7), (15, 9)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (13, 11))
Element 4: (1, (13, 11), ['', '.', '%', '%'], [(9, 11), (13, 8), (16, 9)], [False, False, True, True], 92, False, [False, True, False, False], 126, 'South', (13, 10))
Element 5: (1, (13, 10), ['%', 'G', '', '%'], [(9, 10), (13, 9), (16, 8)], [True, False, False, True], 90, False, [False, False, False, False], 155, 'North', (13, 11))
Element 6: (1, (13, 11), ['', '', '%', '%'], [(10, 10), (12, 9), (16, 7)], [False, False, True, True], 88, False, [False, False, False, False], 184, 'West', (12, 11))
Element 7: (1, (12, 11), ['', '%', '%', ''], [(10, 9), (13, 9), (17, 7)], [False, True, True, False], 86, False, [False, False, False, False], 203, 'West', (11, 11))
Element 8: (1, (11, 11), ['', '%', '%', ''], [(9, 9), (14, 9), (18, 7)], [False, True, True, False], 84, False, [False, False, False, False], 222, 'West', (10, 11))
Element 9: (1, (10, 11), ['', '', '%', ''], [(9, 8), (15, 9), (18, 8)], [False, False, True, False], 82, False, [False, False, False, False], 231, 'South', (10, 10))
Element 10: (1, (10, 10), ['', '', '', '%'], [(9, 7), (15, 10), (18, 9)], [False, False, False, True], 80, False, [False, False, False, False], 260, 'South', (10, 9))
Element 11: (1, (10, 9), ['', '', '', '%'], [(10, 7), (15, 11), (18, 10)], [False, False, False, True], 78, False, [False, False, False, False], 289, 'South', (10, 8))
Element 12: (1, (10, 8), ['', '', '', '%'], [(11, 7), (16, 11), (18, 11)], [False, False, False, True], 76, False, [False, False, False, False], 308, 'South', (10, 7))
Element 13: (1, (10, 7), ['', '%', '', 'G'], [(11, 7), (17, 11), (18, 10)], [False, True, False, False], 74, False, [False, False, False, False], 317, 'West', (9, 7))
Element 14: (1, (9, 7), ['%', '%', '', 'G'], [(10, 7), (18, 11), (18, 9)], [True, True, False, False], 72, False, [False, False, False, False], 316, 'North', (9, 8))
Element 15: (1, (9, 8), ['%', 'G', '', ''], [(9, 7), (18, 10), (18, 8)], [True, False, False, False], 70, False, [False, False, False, False], 315, 'North', (9, 9))
