Element 1: (0, (15, 1), ['%', '%', '.', '.'], [(1, 3), (9, 11), (18, 3)], [True, True, False, False], 98, False, [False, False, True, True], 0, 'East', (16, 1))
Element 2: (0, (16, 1), ['', '%', '%', '.'], [(1, 4), (10, 11), (18, 4)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (17, 1))
Element 3: (0, (17, 1), ['', '%', '%', ''], [(1, 5), (11, 11), (18, 5)], [False, True, True, False], 94, False, [False, False, False, False], 78, 'East', (18, 1))
Element 4: (0, (18, 1), ['', '%', '.', '%'], [(1, 6), (12, 11), (18, 6)], [False, True, False, True], 92, False, [False, False, True, False], 107, 'North', (18, 2))
Element 5: (0, (18, 2), ['%', '', '', '%'], [(1, 7), (13, 11), (18, 7)], [True, False, False, True], 90, False, [False, False, False, False], 146, 'North', (18, 3))
Element 6: (0, (18, 3), ['%', '', '', '%'], [(2, 7), (13, 10), (18, 8)], [True, False, False, True], 88, False, [False, False, False, False], 175, 'North', (18, 4))
Element 7: (0, (18, 4), ['%', '', '', '%'], [(3, 7), (13, 9), (18, 9)], [True, False, False, True], 86, False, [False, False, False, False], 204, 'North', (18, 5))
Element 8: (0, (18, 5), ['%', '', '', '%'], [(4, 7), (14, 9), (18, 10)], [True, False, False, True], 84, False, [False, False, False, False], 233, 'North', (18, 6))
Element 9: (0, (18, 6), ['%', '', '', '%'], [(5, 7), (15, 9), (18, 11)], [True, False, False, True], 82, False, [False, False, False, False], 252, 'North', (18, 7))
Element 10: (0, (18, 7), ['.', '', '', '%'], [(6, 7), (16, 9), (17, 11)], [False, False, False, True], 80, False, [True, False, False, False], 281, 'West', (17, 7))
Element 11: (0, (17, 7), ['.', '%', '%', ''], [(6, 8), (16, 8), (16, 11)], [False, True, True, False], 78, False, [True, False, False, False], 320, 'West', (16, 7))
Element 12: (0, (16, 7), ['.', '.', '', ''], [(6, 9), (16, 9), (15, 11)], [False, False, False, False], 76, False, [True, True, False, False], 349, 'South', (16, 6))
Element 13: (0, (16, 6), ['.', '.', '', '%'], [(7, 9), (15, 9), (15, 10)], [False, False, False, True], 74, False, [True, True, False, False], 378, 'South', (16, 5))
Element 14: (0, (16, 5), ['.', '.', '', '%'], [(6, 9), (14, 9), (15, 9)], [False, False, False, True], 72, False, [True, True, False, False], 387, 'South', (16, 4))
Element 15: (0, (16, 4), ['.', '.', '', '%'], [(6, 10), (13, 9), (16, 9)], [False, False, False, True], 70, False, [True, True, False, False], 406, 'South', (16, 3))
Element 16: (0, (16, 3), ['.', '%', '', '%'], [(6, 11), (14, 9), (16, 8)], [False, True, False, True], 68, False, [True, False, False, False], 425, 'West', (15, 3))
Element 17: (0, (15, 3), ['%', '.', '.', ''], [(7, 11), (13, 9), (16, 7)], [True, False, False, False], 66, False, [False, True, True, False], 444, 'North', (15, 4))
Element 18: (0, (15, 4), ['%', '', '.', ''], [(8, 11), (13, 8), (15, 7)], [True, False, False, False], 64, False, [False, False, True, False], 483, 'North', (15, 5))
Element 19: (0, (15, 5), ['%', '', 'G', ''], [(9, 11), (13, 7), (15, 6)], [True, False, False, False], 62, False, [False, False, False, False], 512, 'South', (15, 4))
Element 20: (0, (15, 4), ['%', '', '', ''], [(9, 10), (13, 6), (16, 6)], [True, False, False, False], 60, False, [False, False, False, False], 531, 'South', (15, 3))
Element 21: (0, (15, 3), ['%', '.', '', ''], [(10, 10), (13, 5), (16, 5)], [True, False, False, False], 58, False, [False, True, False, False], 550, 'South', (15, 2))
Element 22: (0, (15, 2), ['%', '', '', '%'], [(10, 9), (13, 4), (16, 4)], [True, False, False, True], 56, False, [False, False, False, False], 579, 'North', (15, 3))
Element 23: (0, (15, 3), ['%', '', '', 'G'], [(9, 9), (13, 3), (16, 3)], [True, False, False, False], 54, False, [False, False, False, False], 598, 'South', (15, 2))
Element 24: (0, (15, 2), ['%', '', 'G', '%'], [(9, 8), (13, 2), (15, 3)], [True, False, False, True], 52, False, [False, False, False, False], 607, 'North', (15, 3))
Element 25: (0, (15, 3), ['%', '', 'G', ''], [(9, 7), (13, 1), (15, 4)], [True, False, False, False], 50, False, [False, False, False, False], 626, 'South', (15, 2))
Element 26: (0, (15, 2), ['%', '', '', '%'], [(10, 7), (12, 1), (15, 5)], [True, False, False, True], 48, False, [False, False, False, False], 645, 'North', (15, 3))
Element 27: (0, (15, 3), ['%', '', 'G', ''], [(11, 7), (11, 1), (15, 4)], [True, False, False, False], 46, False, [False, False, False, False], 664, 'North', (15, 4))
Element 28: (0, (15, 4), ['%', 'G', '', ''], [(10, 7), (10, 1), (15, 3)], [True, False, False, False], 44, False, [False, False, False, False], 673, 'North', (15, 5))
Element 29: (0, (15, 5), ['%', '', '', ''], [(10, 8), (9, 1), (15, 2)], [True, False, False, False], 42, False, [False, False, False, False], 682, 'East', (16, 5))
Element 30: (0, (16, 5), ['', '', '', '%'], [(10, 7), (8, 1), (15, 1)], [False, False, False, True], 40, False, [False, False, False, False], 691, 'North', (16, 6))
Element 31: (0, (16, 6), ['', '', '', '%'], [(9, 7), (7, 1), (16, 1)], [False, False, False, True], 38, False, [False, False, False, False], 700, 'West', (15, 6))
Element 32: (0, (15, 6), ['%', '', '', ''], [(9, 8), (6, 1), (17, 1)], [True, False, False, False], 36, False, [False, False, False, False], 709, 'North', (15, 7))
Element 33: (0, (15, 7), ['%', '', '%', ''], [(10, 8), (6, 2), (18, 1)], [True, False, True, False], 34, False, [False, False, False, False], 718, 'South', (15, 6))
Element 34: (0, (15, 6), ['%', '', '', ''], [(9, 8), (6, 3), (18, 2)], [True, False, False, False], 32, False, [False, False, False, False], 727, 'East', (16, 6))
Element 35: (0, (16, 6), ['', '', '', '%'], [(9, 9), (7, 3), (18, 1)], [False, False, False, True], 30, False, [False, False, False, False], 736, 'North', (16, 7))
Element 36: (0, (16, 7), ['', '', '', ''], [(10, 9), (8, 3), (17, 1)], [False, False, False, False], 28, False, [False, False, False, False], 745, 'West', (15, 7))
Element 37: (0, (15, 7), ['%', '', '%', ''], [(10, 8), (9, 3), (16, 1)], [True, False, True, False], 26, False, [False, False, False, False], 754, 'East', (16, 7))
Element 38: (0, (16, 7), ['', '', '', ''], [(10, 9), (10, 3), (15, 1)], [False, False, False, False], 24, False, [False, False, False, False], 763, 'North', (16, 8))
Element 39: (0, (16, 8), ['%', '', '', '%'], [(10, 10), (11, 3), (15, 2)], [True, False, False, True], 22, False, [False, False, False, False], 772, 'North', (16, 9))
