Element 1: (2, (3, 4), ['%', '.', '.', '.'], [(12, 3), (1, 9), (15, 9)], [True, False, False, False], 98, False, [False, True, True, True], 19, 'East', (4, 4))
Element 2: (2, (4, 4), ['', '.', '.', '.'], [(13, 3), (1, 8), (16, 9)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (5, 4))
Element 3: (2, (5, 4), ['', '.', '.', '.'], [(13, 4), (1, 7), (16, 8)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (6, 4))
Element 4: (2, (6, 4), ['', '.', '.', '%'], [(13, 5), (2, 7), (16, 7)], [False, False, False, True], 92, False, [False, True, True, False], 136, 'North', (6, 5))
Element 5: (2, (6, 5), ['.', '', '.', '%'], [(13, 6), (3, 7), (17, 7)], [False, False, False, True], 90, False, [True, False, True, False], 175, 'North', (6, 6))
Element 6: (2, (6, 6), ['.', '', '.', '%'], [(13, 7), (4, 7), (18, 7)], [False, False, False, True], 88, False, [True, False, True, False], 214, 'North', (6, 7))
Element 7: (2, (6, 7), ['G', '', '.', ''], [(13, 8), (5, 7), (18, 8)], [False, False, False, False], 86, False, [False, False, True, False], 253, 'North', (6, 8))
Element 8: (2, (6, 8), ['%', '', '.', '%'], [(13, 9), (5, 6), (18, 9)], [True, False, False, True], 84, False, [False, False, True, False], 292, 'North', (6, 9))
Element 9: (2, (6, 9), ['.', '', '.', '.'], [(14, 9), (5, 5), (18, 10)], [False, False, False, False], 82, False, [True, False, True, True], 331, 'East', (7, 9))
Element 10: (2, (7, 9), ['', '%', '%', '%'], [(15, 9), (4, 5), (18, 11)], [False, True, True, True], 80, False, [False, False, False, False], 350, 'West', (6, 9))
Element 11: (2, (6, 9), ['.', '', '.', ''], [(15, 10), (4, 6), (17, 11)], [False, False, False, False], 78, False, [True, False, True, False], 379, 'North', (6, 10))
Element 12: (2, (6, 10), ['%', '', '.', '%'], [(15, 11), (3, 6), (16, 11)], [True, False, False, True], 76, False, [False, False, True, False], 418, 'North', (6, 11))
Element 13: (2, (6, 11), ['%', '', '%', '.'], [(16, 11), (3, 5), (17, 11)], [True, False, True, False], 74, False, [False, False, False, True], 437, 'East', (7, 11))
Element 14: (2, (7, 11), ['', '%', '%', '.'], [(17, 11), (3, 4), (18, 11)], [False, True, True, False], 72, False, [False, False, False, True], 446, 'East', (8, 11))
Element 15: (2, (8, 11), ['', '%', '%', '.'], [(18, 11), (3, 3), (18, 10)], [False, True, True, False], 70, False, [False, False, False, True], 465, 'East', (9, 11))
Element 16: (2, (9, 11), ['', '.', '%', '.'], [(18, 10), (3, 2), (18, 9)], [False, False, True, False], 68, False, [False, True, False, True], 1474, 'East', (10, 11))
Element 17: #1#
