Element 39: (1, (10, 5), ['', '%', '%', ''], [(18, 10), (4, 6), (18, 1)], [False, True, True, False], 22, False, [False, False, False, False], 791, 'East', (11, 5))
Element 40: (1, (11, 5), ['', '%', '%', '%'], [(18, 11), (4, 5), (17, 1)], [False, True, True, True], 20, False, [False, False, False, False], 800, 'West', (10, 5))
Element 41: (1, (10, 5), ['', '%', '%', ''], [(17, 11), (4, 4), (16, 1)], [False, True, True, False], 18, False, [False, False, False, False], 809, 'West', (9, 5))
Element 42: (1, (9, 5), ['', '%', '%', ''], [(16, 11), (4, 3), (15, 1)], [False, True, True, False], 16, False, [False, False, False, False], 818, 'West', (8, 5))
Element 43: (1, (8, 5), ['%', '', '%', ''], [(15, 11), (5, 3), (15, 2)], [True, False, True, False], 14, False, [False, False, False, False], 827, 'South', (8, 4))
Element 44: (1, (8, 4), ['%', '', '', '%'], [(15, 10), (6, 3), (15, 3)], [True, False, False, True], 12, False, [False, False, False, False], 826, 'South', (8, 3))
Element 45: (1, (8, 3), ['G', '%', '', ''], [(15, 11), (7, 3), (16, 3)], [False, True, False, False], 10, False, [False, False, False, False], 825, 'North', (8, 4))
Element 46: (1, (8, 4), ['%', 'G', '', '%'], [(16, 11), (8, 3), (16, 4)], [True, False, False, True], 8, False, [False, False, False, False], 824, 'South', (8, 3))
Element 47: (1, (8, 3), ['', '%', '', 'G'], [(17, 11), (9, 3), (15, 4)], [False, True, False, False], 6, False, [False, False, False, False], 823, 'North', (8, 4))
Element 48: (1, (8, 4), ['%', '', '', '%'], [(18, 11), (10, 3), (16, 4)], [True, False, False, True], 4, False, [False, False, False, False], 822, 'South', (8, 3))
Element 49: (1, (8, 3), ['', '%', '', ''], [(18, 10), (11, 3), (16, 5)], [False, True, False, False], 2, False, [False, False, False, False], 821, 'West', (7, 3))
Element 50: (1, (7, 3), ['', '%', '%', ''], [(18, 10), (12, 3), (15, 5)], [False, True, True, False], 0, False, [False, False, False, False], 820, 'Stop', (7, 3))
Element 51: #0#
