Element 1: (2, (7, 9), ['.', '%', '%', '%'], [(8, 11), (6, 3), (15, 9)], [False, True, True, True], 98, False, [True, False, False, False], 19, 'West', (6, 9))
Element 2: (2, (6, 9), ['.', '.', '.', ''], [(9, 11), (7, 3), (16, 9)], [False, False, False, False], 96, False, [True, True, True, False], 58, 'North', (6, 10))
Element 3: (2, (6, 10), ['%', '', '.', '%'], [(10, 11), (8, 3), (16, 8)], [True, False, False, True], 94, False, [False, False, True, False], 97, 'North', (6, 11))
Element 4: (2, (6, 11), ['%', '', '%', ''], [(11, 11), (9, 3), (16, 7)], [True, False, True, False], 92, False, [False, False, False, False], 136, 'East', (7, 11))
Element 5: (2, (7, 11), ['', '%', '%', ''], [(12, 11), (10, 3), (17, 7)], [False, True, True, False], 90, False, [False, False, False, False], 165, 'East', (8, 11))
Element 6: (2, (8, 11), ['', '%', '%', ''], [(13, 11), (11, 3), (18, 7)], [False, True, True, False], 88, False, [False, False, False, False], 194, 'East', (9, 11))
Element 7: (2, (9, 11), ['', '.', '%', ''], [(13, 10), (12, 3), (18, 8)], [False, False, True, False], 86, False, [False, True, False, False], 223, 'South', (9, 10))
Element 8: (2, (9, 10), ['%', '.', '', '.'], [(13, 9), (13, 3), (18, 9)], [True, False, False, False], 84, False, [False, True, False, True], 262, 'East', (10, 10))
Element 9: (2, (10, 10), ['', '.', '', '%'], [(14, 9), (13, 4), (18, 10)], [False, False, False, True], 82, False, [False, True, False, False], 301, 'South', (10, 9))
Element 10: (2, (10, 9), ['.', '', '', '%'], [(15, 9), (13, 5), (18, 11)], [False, False, False, True], 80, False, [True, False, False, False], 320, 'West', (9, 9))
Element 11: (2, (9, 9), ['%', '', '', ''], [(15, 10), (13, 6), (17, 11)], [True, False, False, False], 78, False, [False, False, False, False], 359, 'South', (9, 8))
Element 12: (2, (9, 8), ['%', '.', '', ''], [(15, 11), (13, 7), (16, 11)], [True, False, False, False], 76, False, [False, True, False, False], 388, 'South', (9, 7))
Element 13: (2, (9, 7), ['%', '%', '', '.'], [(16, 11), (13, 8), (17, 11)], [True, True, False, False], 74, False, [False, False, False, True], 407, 'East', (10, 7))
Element 14: (2, (10, 7), ['', '%', '', '.'], [(17, 11), (13, 9), (18, 11)], [False, True, False, False], 72, False, [False, False, False, True], 416, 'East', (11, 7))
Element 15: (2, (11, 7), ['', '%', '%', '%'], [(18, 11), (12, 9), (18, 10)], [False, True, True, True], 70, False, [False, False, False, False], 435, 'West', (10, 7))
Element 16: (2, (10, 7), ['', '%', '', ''], [(18, 10), (13, 9), (18, 9)], [False, True, False, False], 68, False, [False, False, False, False], 434, 'North', (10, 8))
Element 17: (2, (10, 8), ['', '', '', '%'], [(18, 9), (14, 9), (18, 8)], [False, False, False, True], 66, False, [False, False, False, False], 433, 'South', (10, 7))
Element 18: (2, (10, 7), ['', '%', '', ''], [(18, 8), (15, 9), (18, 7)], [False, True, False, False], 64, False, [False, False, False, False], 432, 'West', (9, 7))
Element 19: (2, (9, 7), ['%', '%', '', ''], [(18, 7), (16, 9), (18, 6)], [True, True, False, False], 62, False, [False, False, False, False], 441, 'North', (9, 8))
Element 20: (2, (9, 8), ['%', '', '', ''], [(18, 6), (16, 8), (18, 5)], [True, False, False, False], 60, False, [False, False, False, False], 450, 'East', (10, 8))
Element 21: (2, (10, 8), ['', '', '', '%'], [(18, 5), (16, 7), (18, 4)], [False, False, False, True], 58, False, [False, False, False, False], 459, 'West', (9, 8))
Element 22: (2, (9, 8), ['%', '', '', ''], [(18, 4), (16, 6), (18, 3)], [True, False, False, False], 56, False, [False, False, False, False], 478, 'North', (9, 9))
Element 23: (2, (9, 9), ['%', '', '', ''], [(18, 3), (16, 5), (18, 2)], [True, False, False, False], 54, False, [False, False, False, False], 497, 'East', (10, 9))
Element 24: (2, (10, 9), ['', '', '', '%'], [(18, 2), (16, 4), (18, 1)], [False, False, False, True], 52, False, [False, False, False, False], 506, 'South', (10, 8))
Element 25: (2, (10, 8), ['', '', '', '%'], [(18, 1), (16, 3), (17, 1)], [False, False, False, True], 50, False, [False, False, False, False], 525, 'North', (10, 9))
Element 26: (2, (10, 9), ['', '', '', '%'], [(17, 1), (15, 3), (16, 1)], [False, False, False, True], 48, False, [False, False, False, False], 544, 'North', (10, 10))
Element 27: (2, (10, 10), ['', '', '', '%'], [(16, 1), (15, 4), (15, 1)], [False, False, False, True], 46, False, [False, False, False, False], 563, 'North', (10, 11))
Element 28: (2, (10, 11), ['', '', '%', ''], [(15, 1), (15, 5), (15, 2)], [False, False, True, False], 44, False, [False, False, False, False], 582, 'East', (11, 11))
Element 29: (2, (11, 11), ['', '%', '%', ''], [(15, 2), (15, 6), (15, 3)], [False, True, True, False], 42, False, [False, False, False, False], 591, 'East', (12, 11))
Element 30: (2, (12, 11), ['', '%', '%', ''], [(15, 3), (15, 7), (16, 3)], [False, True, True, False], 40, False, [False, False, False, False], 600, 'East', (13, 11))
Element 31: (2, (13, 11), ['', '', '%', '%'], [(16, 3), (15, 6), (16, 4)], [False, False, True, True], 38, False, [False, False, False, False], 599, 'South', (13, 10))
Element 32: (2, (13, 10), ['%', '', '', '%'], [(16, 4), (15, 5), (16, 5)], [True, False, False, True], 36, False, [False, False, False, False], 598, 'South', (13, 9))
Element 33: (2, (13, 9), ['', '', '', ''], [(16, 5), (15, 4), (16, 6)], [False, False, False, False], 34, False, [False, False, False, False], 597, 'East', (14, 9))
Element 34: (2, (14, 9), ['', '%', '%', ''], [(16, 6), (15, 3), (15, 6)], [False, True, True, False], 32, False, [False, False, False, False], 596, 'East', (15, 9))
Element 35: (2, (15, 9), ['', '%', '', ''], [(16, 7), (15, 2), (15, 7)], [False, True, False, False], 30, False, [False, False, False, False], 595, 'East', (16, 9))
Element 36: (2, (16, 9), ['', '', '%', '%'], [(17, 7), (15, 1), (15, 6)], [False, False, True, True], 28, False, [False, False, False, False], 594, 'South', (16, 8))
Element 37: (2, (16, 8), ['%', 'G', '', '%'], [(16, 7), (16, 1), (15, 5)], [True, False, False, True], 26, False, [False, False, False, False], 593, 'North', (16, 9))
Element 38: (2, (16, 9), ['', 'G', '%', '%'], [(16, 8), (17, 1), (15, 4)], [False, False, True, True], 24, False, [False, False, False, False], 592, 'West', (15, 9))
Element 39: (2, (15, 9), ['', '%', '', 'G'], [(16, 9), (18, 1), (15, 5)], [False, True, False, False], 22, False, [False, False, False, False], 591, 'North', (15, 10))
Element 40: (2, (15, 10), ['%', '', '', '%'], [(16, 8), (18, 2), (15, 6)], [True, False, False, True], 20, False, [False, False, False, False], 590, 'North', (15, 11))
Element 41: (2, (15, 11), ['%', '', '%', ''], [(16, 7), (18, 3), (16, 6)], [True, False, True, False], 18, False, [False, False, False, False], 589, 'East', (16, 11))
Element 42: (2, (16, 11), ['', '%', '%', ''], [(15, 7), (18, 4), (16, 5)], [False, True, True, False], 16, False, [False, False, False, False], 588, 'East', (17, 11))
Element 43: (2, (17, 11), ['', '%', '%', ''], [(15, 6), (18, 5), (16, 4)], [False, True, True, False], 14, False, [False, False, False, False], 587, 'East', (18, 11))
Element 44: (2, (18, 11), ['', '', '%', '%'], [(15, 5), (18, 6), (15, 4)], [False, False, True, True], 12, False, [False, False, False, False], 586, 'South', (18, 10))
Element 45: (2, (18, 10), ['%', '', '', '%'], [(15, 4), (18, 7), (16, 4)], [True, False, False, True], 10, False, [False, False, False, False], 585, 'South', (18, 9))
Element 46: (2, (18, 9), ['%', 'G', '', '%'], [(15, 5), (18, 8), (16, 3)], [True, False, False, True], 8, False, [False, False, False, False], 584, 'North', (18, 10))
Element 47: (2, (18, 10), ['%', 'G', '', '%'], [(15, 6), (18, 9), (15, 3)], [True, False, False, True], 6, False, [False, False, False, False], 583, 'North', (18, 11))
Element 48: (2, (18, 11), ['', 'G', '%', '%'], [(15, 7), (18, 10), (15, 4)], [False, False, True, True], 4, False, [False, False, False, False], 582, 'West', (17, 11))
Element 49: (2, (17, 11), ['', '%', '%', 'G'], [(16, 7), (18, 11), (15, 3)], [False, True, True, False], 2, False, [False, False, False, False], 581, 'West', (16, 11))
Element 50: (2, (16, 11), ['', '%', '%', ''], [(16, 7), (18, 11), (15, 2)], [False, True, True, False], 0, False, [False, False, False, False], 580, 'Stop', (16, 11))
Element 51: #0#
