Element 1: (1, (10, 10), ['G', '%', '.', '.'], [(9, 10), (14, 12), (17, 3)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'East', (11, 10))
Element 2: (1, (11, 10), ['', '.', '.', '.'], [(9, 11), (15, 12), (17, 4)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (12, 10))
Element 3: (1, (12, 10), ['', '.', '.', '.'], [(10, 11), (16, 12), (18, 4)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (13, 10))
Element 4: (1, (13, 10), ['', '.', '.', '.'], [(11, 11), (16, 13), (18, 5)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (14, 10))
Element 5: (1, (14, 10), ['', '%', '.', '.'], [(12, 11), (17, 13), (18, 6)], [False, True, False, False], 90, False, [False, False, True, True], 165, 'East', (15, 10))
Element 6: (1, (15, 10), ['', '.', '.', '.'], [(13, 11), (18, 13), (17, 6)], [False, False, False, False], 88, False, [False, True, True, True], 204, 'East', (16, 10))
Element 7: (1, (16, 10), ['', '.', '.', '.'], [(14, 11), (17, 13), (17, 5)], [False, False, False, False], 86, False, [False, True, True, True], 233, 'East', (17, 10))
Element 8: (1, (17, 10), ['', '.', '.', '.'], [(15, 11), (16, 13), (17, 6)], [False, False, False, False], 84, False, [False, True, True, True], 252, 'East', (18, 10))
Element 9: (1, (18, 10), ['', '.', '.', '%'], [(16, 11), (16, 12), (16, 6)], [False, False, False, True], 82, False, [False, True, True, False], 281, 'North', (18, 11))
Element 10: (1, (18, 11), ['G', '', '%', '%'], [(17, 11), (15, 12), (16, 7)], [False, False, True, True], 80, False, [False, False, False, False], 310, 'South', (18, 10))
Element 11: (1, (18, 10), ['', '.', 'G', '%'], [(18, 11), (16, 12), (16, 8)], [False, False, False, True], 78, False, [False, True, False, False], 319, 'South', (18, 9))
Element 12: (1, (18, 9), ['.', '.', 'G', '%'], [(18, 10), (15, 12), (17, 8)], [False, False, False, True], 76, False, [True, True, False, False], 338, 'South', (18, 8))
Element 13: (1, (18, 8), ['', '%', 'G', '%'], [(18, 9), (15, 11), (17, 9)], [False, True, False, True], 74, False, [False, False, False, False], 357, 'West', (17, 8))
Element 14: (1, (17, 8), ['', '%', '', 'G'], [(18, 8), (16, 11), (16, 9)], [False, True, False, False], 72, False, [False, False, False, False], 366, 'North', (17, 9))
Element 15: (1, (17, 9), ['', 'G', '', ''], [(17, 8), (17, 11), (15, 9)], [False, False, False, False], 70, False, [False, False, False, False], 375, 'West', (16, 9))
