Element 1: (1, (4, 1), ['.', '%', '.', '%'], [(8, 2), (16, 6), (16, 13)], [False, True, False, True], 98, False, [True, False, True, False], 9, 'North', (4, 2))
Element 2: (1, (4, 2), ['.', '', '%', '.'], [(9, 2), (17, 6), (17, 13)], [False, False, True, False], 96, False, [True, False, False, True], 48, 'East', (5, 2))
Element 3: (1, (5, 2), ['', '%', '.', '.'], [(9, 1), (18, 6), (18, 13)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (6, 2))
Element 4: (1, (6, 2), ['', '%', '.', ''], [(10, 1), (18, 5), (17, 13)], [False, True, False, False], 92, False, [False, False, True, False], 1106, 'North', (6, 3))
Element 5: (1, (6, 3), ['.', '', '.', '.'], [(11, 1), (18, 4), (16, 13)], [False, False, False, False], 90, False, [True, False, True, True], 1135, 'East', (7, 3))
Element 6: (1, (7, 3), ['', '', '.', '%'], [(12, 1), (17, 4), (16, 12)], [False, False, False, True], 88, False, [False, False, True, False], 1174, 'North', (7, 4))
Element 7: (1, (7, 4), ['.', '', '.', '.'], [(13, 1), (17, 5), (16, 11)], [False, False, False, False], 86, False, [True, False, True, True], 1213, 'East', (8, 4))
Element 8: (1, (8, 4), ['', '%', '%', '.'], [(14, 1), (17, 4), (17, 11)], [False, True, True, False], 84, False, [False, False, False, True], 1242, 'East', (9, 4))
Element 9: (1, (9, 4), ['', '%', '.', '.'], [(14, 2), (17, 3), (18, 11)], [False, True, False, False], 82, False, [False, False, True, True], 1281, 'East', (10, 4))
Element 10: (1, (10, 4), ['', '.', '.', '%'], [(15, 2), (16, 3), (18, 10)], [False, False, False, True], 80, False, [False, True, True, False], 1320, 'North', (10, 5))
Element 11: (1, (10, 5), ['.', '', '.', '%'], [(16, 2), (16, 4), (18, 9)], [False, False, False, True], 78, False, [True, False, True, False], 1359, 'North', (10, 6))
Element 12: (1, (10, 6), ['.', '', 'F', '%'], [(16, 3), (15, 4), (18, 8)], [False, False, False, True], 76, False, [True, False, False, False], 1388, 'North', (10, 7))
Element 13: (1, (10, 7), ['F', '', '.', '%'], [(17, 3), (15, 5), (17, 8)], [False, False, False, True], 74, False, [False, False, True, False], 2407, 'West', (9, 7))
