Element 38: (2, (17, 6), ['.', '', '%', ''], [(6, 11), (17, 10), (12, 12)], [False, False, True, False], 24, False, [True, False, False, False], 8912, 'West', (16, 6))
Element 39: (2, (16, 6), ['.', '%', '', ''], [(5, 11), (16, 10), (12, 13)], [False, True, False, False], 22, False, [True, False, False, False], 8931, 'West', (15, 6))
Element 40: (2, (15, 6), ['.', '.', '', ''], [(5, 10), (16, 9), (11, 13)], [False, False, False, False], 20, False, [True, True, False, False], 8950, 'South', (15, 5))
Element 41: (2, (15, 5), ['.', '.', '', '%'], [(5, 9), (16, 8), (10, 13)], [False, False, False, True], 18, False, [True, True, False, False], 8969, 'South', (15, 4))
Element 42: (2, (15, 4), ['%', '%', '', '.'], [(4, 9), (16, 7), (10, 12)], [True, True, False, False], 16, False, [False, False, False, True], 8988, 'East', (16, 4))
Element 43: (2, (16, 4), ['', '', '%', ''], [(4, 10), (16, 6), (10, 11)], [False, False, True, False], 14, False, [False, False, False, False], 9007, 'West', (15, 4))
Element 44: (2, (15, 4), ['%', '%', '', ''], [(3, 10), (17, 6), (11, 11)], [True, True, False, False], 12, False, [False, False, False, False], 9016, 'North', (15, 5))
Element 45: (2, (15, 5), ['.', '', '', '%'], [(3, 11), (18, 6), (12, 11)], [False, False, False, True], 10, False, [True, False, False, False], 9025, 'West', (14, 5))
Element 46: (2, (14, 5), ['.', '%', '.', ''], [(3, 12), (18, 5), (12, 10)], [False, True, False, False], 8, False, [True, False, True, False], 9044, 'North', (14, 6))
Element 47: (2, (14, 6), ['.', '', '', ''], [(3, 13), (18, 4), (12, 9)], [False, False, False, False], 6, False, [True, False, False, False], 9063, 'West', (13, 6))
Element 48: (2, (13, 6), ['.', '.', '.', ''], [(4, 13), (17, 4), (13, 9)], [False, False, False, False], 4, False, [True, True, True, False], 10072, 'North', (13, 7))
Element 49: (2, (13, 7), ['.', '', 'G', ''], [(5, 13), (17, 5), (13, 8)], [False, False, False, False], 2, False, [True, False, False, False], 11081, 'West', (12, 7))
Element 50: (2, (12, 7), ['%', '.', '%', ''], [(5, 13), (17, 5), (14, 8)], [True, False, True, False], 0, False, [False, True, False, False], 11090, 'Stop', (12, 7))
Element 51: #0#
