Element 1: (2, (10, 6), ['.', '.', 'F', '%'], [(16, 4), (6, 7), (17, 5)], [False, False, False, True], 98, False, [True, True, False, False], 19, 'North', (10, 7))
Element 2: (2, (10, 7), ['F', '', '.', '%'], [(17, 4), (6, 6), (18, 5)], [False, False, False, True], 96, False, [False, False, True, False], 1048, 'West', (9, 7))
Element 3: (2, (9, 7), ['%', '.', '.', ''], [(18, 4), (6, 5), (18, 6)], [True, False, False, False], 94, False, [False, True, True, False], 2077, 'North', (9, 8))
Element 4: (2, (9, 8), ['.', '', '.', '.'], [(18, 5), (7, 5), (17, 6)], [False, False, False, False], 92, False, [True, False, True, True], 2106, 'East', (10, 8))
Element 5: (2, (10, 8), ['', '', '%', '.'], [(18, 6), (7, 4), (16, 6)], [False, False, True, False], 90, False, [False, False, False, True], 2135, 'East', (11, 8))
Element 6: (2, (11, 8), ['', '%', '.', '%'], [(17, 6), (8, 4), (16, 7)], [False, True, False, True], 88, False, [False, False, True, False], 2164, 'North', (11, 9))
Element 7: (2, (11, 9), ['%', '', '.', '.'], [(17, 5), (9, 4), (16, 8)], [True, False, False, False], 86, False, [False, False, True, True], 2193, 'East', (12, 9))
Element 8: (2, (12, 9), ['', '%', '.', '.'], [(17, 6), (10, 4), (17, 8)], [False, True, False, False], 84, False, [False, False, True, True], 2222, 'East', (13, 9))
Element 9: (2, (13, 9), ['', '.', '.', '%'], [(16, 6), (10, 5), (18, 8)], [False, False, False, True], 82, False, [False, True, True, False], 2251, 'North', (13, 10))
Element 10: (2, (13, 10), ['.', '', '.', '.'], [(15, 6), (9, 5), (18, 9)], [False, False, False, False], 80, False, [True, False, True, True], 2290, 'East', (14, 10))
Element 11: (2, (14, 10), ['', '%', '.', '.'], [(15, 7), (9, 6), (18, 10)], [False, True, False, False], 78, False, [False, False, True, True], 2329, 'East', (15, 10))
Element 12: (2, (15, 10), ['', '.', '.', '.'], [(15, 8), (10, 6), (18, 11)], [False, False, False, False], 76, False, [False, True, True, True], 2358, 'East', (16, 10))
Element 13: (2, (16, 10), ['', '.', '.', '.'], [(15, 9), (10, 7), (17, 11)], [False, False, False, False], 74, False, [False, True, True, True], 2387, 'East', (17, 10))
Element 14: (2, (17, 10), ['', '.', '', ''], [(16, 9), (10, 8), (16, 11)], [False, False, False, False], 72, False, [False, True, False, False], 2416, 'South', (17, 9))
Element 15: (2, (17, 9), ['', '', '', ''], [(16, 10), (11, 8), (16, 12)], [False, False, False, False], 70, False, [False, False, False, False], 2435, 'East', (18, 9))
Element 16: (2, (18, 9), ['', '', '', '%'], [(17, 10), (11, 9), (16, 13)], [False, False, False, True], 68, False, [False, False, False, False], 2444, 'North', (18, 10))
Element 17: (2, (18, 10), ['', '', '', '%'], [(17, 11), (11, 10), (17, 13)], [False, False, False, True], 66, False, [False, False, False, False], 2463, 'North', (18, 11))
Element 18: (2, (18, 11), ['', '', '%', '%'], [(16, 11), (12, 10), (18, 13)], [False, False, True, True], 64, False, [False, False, False, False], 2482, 'West', (17, 11))
Element 19: (2, (17, 11), ['', '', '%', ''], [(15, 11), (12, 11), (17, 13)], [False, False, True, False], 62, False, [False, False, False, False], 2501, 'West', (16, 11))
Element 20: (2, (16, 11), ['', '', '', ''], [(15, 12), (13, 11), (16, 13)], [False, False, False, False], 60, False, [False, False, False, False], 2520, 'North', (16, 12))
Element 21: (2, (16, 12), ['', '', '', '%'], [(14, 12), (14, 11), (17, 13)], [False, False, False, True], 58, False, [False, False, False, False], 2539, 'North', (16, 13))
Element 22: (2, (16, 13), ['%', '', '%', 'G'], [(13, 12), (15, 11), (17, 13)], [True, False, True, False], 56, False, [False, False, False, False], 2548, 'South', (16, 12))
Element 23: (2, (16, 12), ['', 'G', 'G', '%'], [(12, 12), (16, 11), (16, 13)], [False, False, False, True], 54, False, [False, False, False, False], 2557, 'West', (15, 12))
Element 24: (2, (15, 12), ['', '', '%', 'G'], [(12, 13), (17, 11), (16, 12)], [False, False, True, False], 52, False, [False, False, False, False], 3556, 'South', (15, 11))
Element 25: (2, (15, 11), ['', '', 'G', ''], [(11, 13), (18, 11), (15, 12)], [False, False, False, False], 50, False, [False, False, False, False], 3565, 'West', (14, 11))
Element 26: (2, (14, 11), ['', '', '', 'G'], [(10, 13), (18, 10), (15, 11)], [False, False, False, False], 48, False, [False, False, False, False], 3574, 'North', (14, 12))
Element 27: (2, (14, 12), ['', '', '%', ''], [(10, 12), (18, 9), (15, 10)], [False, False, True, False], 46, False, [False, False, False, False], 3583, 'West', (13, 12))
Element 28: (2, (13, 12), ['', '', '%', ''], [(10, 11), (18, 8), (16, 10)], [False, False, True, False], 44, False, [False, False, False, False], 3592, 'South', (13, 11))
Element 29: (2, (13, 11), ['', '', '', ''], [(11, 11), (17, 8), (17, 10)], [False, False, False, False], 42, False, [False, False, False, False], 3601, 'West', (12, 11))
Element 30: (2, (12, 11), ['', '', '', ''], [(11, 10), (16, 8), (17, 9)], [False, False, False, False], 40, False, [False, False, False, False], 3600, 'North', (12, 12))
Element 31: (2, (12, 12), ['%', '', '', ''], [(10, 10), (16, 7), (16, 9)], [True, False, False, False], 38, False, [False, False, False, False], 3609, 'North', (12, 13))
Element 32: (2, (12, 13), ['', '', '%', '%'], [(9, 10), (16, 6), (15, 9)], [False, False, True, True], 36, False, [False, False, False, False], 3618, 'West', (11, 13))
Element 33: (2, (11, 13), ['', '%', '%', ''], [(9, 11), (17, 6), (15, 8)], [False, True, True, False], 34, False, [False, False, False, False], 3627, 'West', (10, 13))
Element 34: (2, (10, 13), ['%', '', '%', ''], [(9, 12), (18, 6), (14, 8)], [True, False, True, False], 32, False, [False, False, False, False], 3646, 'South', (10, 12))
Element 35: (2, (10, 12), ['', '', '', '%'], [(9, 11), (18, 5), (14, 7)], [False, False, False, True], 30, False, [False, False, False, False], 3655, 'South', (10, 11))
Element 36: (2, (10, 11), ['', '', '', ''], [(8, 11), (18, 4), (14, 6)], [False, False, False, False], 28, False, [False, False, False, False], 3674, 'East', (11, 11))
Element 37: (2, (11, 11), ['', '', '%', ''], [(7, 11), (17, 4), (14, 5)], [False, False, True, False], 26, False, [False, False, False, False], 4683, 'South', (11, 10))
Element 38: (2, (11, 10), ['', '', '', ''], [(7, 10), (17, 3), (15, 5)], [False, False, False, False], 24, False, [False, False, False, False], 4712, 'East', (12, 10))
Element 39: (2, (12, 10), ['', '', '', ''], [(7, 9), (16, 3), (15, 6)], [False, False, False, False], 22, False, [False, False, False, False], 5721, 'West', (11, 10))
Element 40: (2, (11, 10), ['', '', '', ''], [(6, 9), (16, 2), (15, 7)], [False, False, False, False], 20, False, [False, False, False, False], 6730, 'West', (10, 10))
Element 41: (2, (10, 10), ['', '%', '', ''], [(6, 10), (15, 2), (15, 6)], [False, True, False, False], 18, False, [False, False, False, False], 6749, 'West', (9, 10))
