Element 1: (1, (6, 10), ['.', 'F', '.', '.'], [(15, 6), (12, 9), (14, 3)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'South', (6, 9))
Element 2: (1, (6, 9), ['.', '%', '', 'F'], [(16, 6), (13, 9), (14, 2)], [False, True, False, False], 96, False, [True, False, False, False], 1038, 'East', (7, 9))
Element 3: (1, (7, 9), ['', '%', '.', '.'], [(17, 6), (13, 10), (15, 2)], [False, True, False, False], 94, False, [False, False, True, True], 2067, 'East', (8, 9))
Element 4: (1, (8, 9), ['', '.', '.', '.'], [(18, 6), (14, 10), (16, 2)], [False, False, False, False], 92, False, [False, True, True, True], 2106, 'East', (9, 9))
Element 5: (1, (9, 9), ['', '.', '.', '%'], [(18, 5), (15, 10), (16, 3)], [False, False, False, True], 90, False, [False, True, True, False], 2145, 'North', (9, 10))
Element 6: (1, (9, 10), ['.', '', '.', '.'], [(18, 4), (16, 10), (17, 3)], [False, False, False, False], 88, False, [True, False, True, True], 2184, 'East', (10, 10))
Element 7: (1, (10, 10), ['', '%', '.', '.'], [(18, 5), (17, 10), (17, 4)], [False, True, False, False], 86, False, [False, False, True, True], 2213, 'East', (11, 10))
Element 8: (1, (11, 10), ['', '.', '.', '.'], [(18, 4), (18, 10), (17, 5)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (12, 10))
Element 9: (1, (12, 10), ['', '', '.', ''], [(17, 4), (18, 11), (18, 5)], [False, False, False, False], 82, False, [False, False, True, False], 2261, 'North', (12, 11))
Element 10: (1, (12, 11), ['.', '', '.', '.'], [(16, 4), (17, 11), (18, 6)], [False, False, False, False], 80, False, [True, False, True, True], 2290, 'East', (13, 11))
Element 11: (1, (13, 11), ['', '', '.', '.'], [(15, 4), (16, 11), (17, 6)], [False, False, False, False], 78, False, [False, False, True, True], 2319, 'East', (14, 11))
Element 12: (1, (14, 11), ['', '', '.', '.'], [(16, 4), (16, 12), (16, 6)], [False, False, False, False], 76, False, [False, False, True, True], 2338, 'East', (15, 11))
Element 13: (1, (15, 11), ['', '', '.', ''], [(16, 3), (16, 13), (16, 7)], [False, False, False, False], 74, False, [False, False, True, False], 2367, 'North', (15, 12))
Element 14: (1, (15, 12), ['.', '', '%', ''], [(17, 3), (17, 13), (16, 8)], [False, False, True, False], 72, False, [True, False, False, False], 2396, 'West', (14, 12))
Element 15: (1, (14, 12), ['.', '', '%', ''], [(16, 3), (18, 13), (17, 8)], [False, False, True, False], 70, False, [True, False, False, False], 2425, 'West', (13, 12))
Element 16: (1, (13, 12), ['.', '', '%', ''], [(16, 2), (17, 13), (18, 8)], [False, False, True, False], 68, False, [True, False, False, False], 2444, 'West', (12, 12))
Element 17: (1, (12, 12), ['%', '', 'F', ''], [(15, 2), (16, 13), (18, 9)], [True, False, False, False], 66, False, [False, False, False, False], 2463, 'North', (12, 13))
Element 18: (1, (12, 13), ['.', '', '%', '%'], [(14, 2), (16, 12), (17, 9)], [False, False, True, True], 64, False, [True, False, False, False], 3472, 'West', (11, 13))
Element 19: (1, (11, 13), ['.', '%', '%', ''], [(14, 1), (15, 12), (16, 9)], [False, True, True, False], 62, False, [True, False, False, False], 3501, 'West', (10, 13))
Element 20: (1, (10, 13), ['%', '.', '%', ''], [(13, 1), (15, 11), (15, 9)], [True, False, True, False], 60, False, [False, True, False, False], 3530, 'South', (10, 12))
Element 21: (1, (10, 12), ['.', '.', '', '%'], [(12, 1), (14, 11), (15, 8)], [False, False, False, True], 58, False, [True, True, False, False], 3559, 'South', (10, 11))
Element 22: (1, (10, 11), ['.', '', '', '.'], [(12, 2), (14, 12), (15, 7)], [False, False, False, False], 56, False, [True, False, False, True], 3588, 'East', (11, 11))
Element 23: (1, (11, 11), ['', '', '%', ''], [(12, 3), (13, 12), (14, 7)], [False, False, True, False], 54, False, [False, False, False, False], 3617, 'West', (10, 11))
Element 24: (1, (10, 11), ['.', '', '', ''], [(13, 3), (13, 11), (14, 8)], [False, False, False, False], 52, False, [True, False, False, False], 3636, 'West', (9, 11))
Element 25: (1, (9, 11), ['.', '', '.', ''], [(14, 3), (12, 11), (13, 8)], [False, False, False, False], 50, False, [True, False, True, False], 3655, 'North', (9, 12))
Element 26: (1, (9, 12), ['%', '', '%', ''], [(13, 3), (12, 12), (13, 7)], [True, False, True, False], 48, False, [False, False, False, False], 3674, 'South', (9, 11))
Element 27: (1, (9, 11), ['.', '', '', ''], [(12, 3), (12, 13), (13, 6)], [False, False, False, False], 46, False, [True, False, False, False], 3683, 'West', (8, 11))
Element 28: (1, (8, 11), ['F', '.', '%', ''], [(11, 3), (11, 13), (14, 6)], [False, False, True, False], 44, False, [False, True, False, False], 3712, 'West', (7, 11))
Element 29: (1, (7, 11), ['.', '.', '%', ''], [(11, 2), (10, 13), (14, 5)], [False, False, True, False], 42, False, [True, True, False, False], 4731, 'South', (7, 10))
Element 30: (1, (7, 10), ['', '', '', '.'], [(11, 1), (10, 12), (13, 5)], [False, False, False, False], 40, False, [False, False, False, True], 4760, 'East', (8, 10))
Element 31: (1, (8, 10), ['', '', '', ''], [(10, 1), (10, 11), (12, 5)], [False, False, False, False], 38, False, [False, False, False, False], 4789, 'West', (7, 10))
Element 32: (1, (7, 10), ['', '', '', ''], [(9, 1), (11, 11), (12, 6)], [False, False, False, False], 36, False, [False, False, False, False], 5798, 'North', (7, 11))
Element 33: (1, (7, 11), ['.', '', '%', ''], [(9, 2), (11, 10), (12, 7)], [False, False, True, False], 34, False, [True, False, False, False], 5817, 'West', (6, 11))
Element 34: (1, (6, 11), ['.', '', '%', ''], [(10, 2), (11, 9), (12, 6)], [False, False, True, False], 32, False, [True, False, False, False], 5846, 'West', (5, 11))
Element 35: (1, (5, 11), ['%', '.', '%', ''], [(10, 3), (11, 8), (12, 5)], [True, False, True, False], 30, False, [False, True, False, False], 5875, 'South', (5, 10))
Element 36: (1, (5, 10), ['.', '.', '', ''], [(10, 4), (10, 8), (13, 5)], [False, False, False, False], 28, False, [True, True, False, False], 5904, 'South', (5, 9))
Element 37: (1, (5, 9), ['.', '%', '', ''], [(10, 5), (10, 7), (14, 5)], [False, True, False, False], 26, False, [True, False, False, False], 6923, 'West', (4, 9))
Element 38: (1, (4, 9), ['%', '%', '.', ''], [(10, 6), (9, 7), (15, 5)], [True, True, False, False], 24, False, [False, False, True, False], 7942, 'North', (4, 10))
Element 39: (1, (4, 10), ['.', '', '%', ''], [(9, 6), (9, 8), (15, 6)], [False, False, True, False], 22, False, [True, False, False, False], 7971, 'West', (3, 10))
Element 40: (1, (3, 10), ['.', '%', '.', ''], [(9, 5), (8, 8), (15, 5)], [False, True, False, False], 20, False, [True, False, True, False], 8000, 'North', (3, 11))
Element 41: (1, (3, 11), ['.', '', '.', '%'], [(9, 4), (8, 9), (15, 4)], [False, False, False, True], 18, False, [True, False, True, False], 8019, 'North', (3, 12))
Element 42: (1, (3, 12), ['.', '', '.', '%'], [(8, 4), (9, 9), (16, 4)], [False, False, False, True], 16, False, [True, False, True, False], 8038, 'North', (3, 13))
Element 43: (1, (3, 13), ['.', '', '%', 'F'], [(7, 4), (9, 10), (15, 4)], [False, False, True, False], 14, False, [True, False, False, False], 8057, 'East', (4, 13))
Element 44: (1, (4, 13), ['', '%', '%', 'F'], [(7, 5), (10, 10), (15, 5)], [False, True, True, False], 12, False, [False, False, False, False], 9066, 'East', (5, 13))
Element 45: (1, (5, 13), ['', '%', '%', '.'], [(6, 5), (9, 10), (14, 5)], [False, True, True, False], 10, False, [False, False, False, True], 10075, 'East', (6, 13))
Element 46: (1, (6, 13), ['', '%', '%', '.'], [(6, 6), (9, 11), (14, 6)], [False, True, True, False], 8, False, [False, False, False, True], 10094, 'East', (7, 13))
Element 47: (1, (7, 13), ['', '%', '%', '%'], [(6, 7), (9, 12), (15, 6)], [False, True, True, True], 6, False, [False, False, False, False], 10113, 'West', (6, 13))
Element 48: (1, (6, 13), ['', '%', '%', ''], [(5, 7), (9, 11), (14, 6)], [False, True, True, False], 4, False, [False, False, False, False], 10122, 'West', (5, 13))
Element 49: (1, (5, 13), ['', '%', '%', ''], [(5, 6), (8, 11), (13, 6)], [False, True, True, False], 2, False, [False, False, False, False], 10131, 'West', (4, 13))
Element 50: (1, (4, 13), ['', '%', '%', ''], [(5, 6), (8, 10), (13, 5)], [False, True, True, False], 0, False, [False, False, False, False], 10130, 'Stop', (4, 13))
Element 51: #0#
