Element 15: (3, (1, 10), ['%', '%', '.', ''], [(7, 4), (4, 10), (16, 13)], [True, True, False, False], 70, False, [False, False, True, False], 6425, 'North', (1, 11))
Element 16: (3, (1, 11), ['%', '', '.', ''], [(8, 4), (5, 10), (17, 13)], [True, False, False, False], 68, False, [False, False, True, False], 6454, 'North', (1, 12))
Element 17: (3, (1, 12), ['%', '', '%', ''], [(9, 4), (6, 10), (18, 13)], [True, False, True, False], 66, False, [False, False, False, False], 6483, 'East', (2, 12))
Element 18: (3, (2, 12), ['', '', '', ''], [(10, 4), (7, 10), (17, 13)], [False, False, False, False], 64, False, [False, False, False, False], 6492, 'East', (3, 12))
Element 19: (3, (3, 12), ['', '', '', '%'], [(10, 5), (8, 10), (16, 13)], [False, False, False, True], 62, False, [False, False, False, False], 6501, 'North', (3, 13))
Element 20: (3, (3, 13), ['', '', '%', ''], [(10, 6), (8, 9), (16, 12)], [False, False, True, False], 60, False, [False, False, False, False], 6520, 'East', (4, 13))
Element 21: (3, (4, 13), ['', '%', '%', ''], [(10, 7), (9, 9), (15, 12)], [False, True, True, False], 58, False, [False, False, False, False], 7539, 'East', (5, 13))
Element 22: (3, (5, 13), ['', '%', '%', ''], [(9, 7), (9, 8), (15, 11)], [False, True, True, False], 56, False, [False, False, False, False], 8558, 'East', (6, 13))
Element 23: (3, (6, 13), ['', '%', '%', ''], [(9, 6), (10, 8), (14, 11)], [False, True, True, False], 54, False, [False, False, False, False], 8587, 'East', (7, 13))
Element 24: (3, (7, 13), ['', '%', '%', '%'], [(9, 5), (11, 8), (14, 12)], [False, True, True, True], 52, False, [False, False, False, False], 8616, 'West', (6, 13))
Element 25: (3, (6, 13), ['', '%', '%', ''], [(9, 6), (11, 9), (13, 12)], [False, True, True, False], 50, False, [False, False, False, False], 8635, 'West', (5, 13))
Element 26: (3, (5, 13), ['', '%', '%', ''], [(9, 7), (12, 9), (13, 11)], [False, True, True, False], 48, False, [False, False, False, False], 8654, 'West', (4, 13))
Element 27: (3, (4, 13), ['', '%', '%', ''], [(10, 7), (13, 9), (12, 11)], [False, True, True, False], 46, False, [False, False, False, False], 8673, 'West', (3, 13))
