Element 39: (1, (15, 8), ['', '', '', ''], [(3, 10), (18, 10), (14, 6)], [False, False, False, False], 22, False, [False, False, False, False], 6811, 'North', (15, 9))
Element 40: (1, (15, 9), ['%', '', '', ''], [(3, 11), (18, 11), (13, 6)], [True, False, False, False], 20, False, [False, False, False, False], 6820, 'North', (15, 10))
Element 41: (1, (15, 10), ['', '', '', ''], [(3, 12), (17, 11), (14, 6)], [False, False, False, False], 18, False, [False, False, False, False], 6829, 'West', (14, 10))
Element 42: (1, (14, 10), ['', '%', '', ''], [(3, 13), (16, 11), (14, 7)], [False, True, False, False], 16, False, [False, False, False, False], 6838, 'West', (13, 10))
Element 43: (1, (13, 10), ['', '', '', ''], [(4, 13), (16, 12), (13, 7)], [False, False, False, False], 14, False, [False, False, False, False], 7837, 'South', (13, 9))
Element 44: (1, (13, 9), ['', '', '', '%'], [(5, 13), (16, 13), (14, 7)], [False, False, False, True], 12, False, [False, False, False, False], 8836, 'South', (13, 8))
Element 45: (1, (13, 8), ['%', '', '', 'G'], [(6, 13), (17, 13), (14, 8)], [True, False, False, False], 10, False, [False, False, False, False], 8845, 'South', (13, 7))
Element 46: (1, (13, 7), ['', '', 'G', ''], [(7, 13), (18, 13), (13, 8)], [False, False, False, False], 8, False, [False, False, False, False], 8854, 'East', (14, 7))
Element 47: (1, (14, 7), ['G', '', '', ''], [(6, 13), (17, 13), (13, 7)], [False, False, False, False], 6, False, [False, False, False, False], 8853, 'North', (14, 8))
Element 48: (1, (14, 8), ['G', '', '%', ''], [(5, 13), (16, 13), (13, 8)], [False, False, True, False], 4, False, [False, False, False, False], 8852, 'South', (14, 7))
Element 49: (1, (14, 7), ['', '', '', ''], [(4, 13), (16, 12), (13, 9)], [False, False, False, False], 2, False, [False, False, False, False], 8851, 'South', (14, 6))
Element 50: (1, (14, 6), ['', '', '', ''], [(4, 13), (15, 12), (12, 9)], [False, False, False, False], 0, False, [False, False, False, False], 8850, 'Stop', (14, 6))
Element 51: #0#
