Element 1: (2, (14, 2), ['%', '.', '.', '.'], [(17, 10), (6, 2), (18, 9)], [True, False, False, False], 98, False, [False, True, True, True], 19, 'East', (15, 2))
Element 2: (2, (15, 2), ['', '%', '%', '.'], [(17, 11), (7, 2), (18, 10)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (16, 2))
Element 3: (2, (16, 2), ['', '%', '.', '%'], [(16, 11), (8, 2), (18, 11)], [False, True, False, True], 94, False, [False, False, True, False], 97, 'North', (16, 3))
Element 4: (2, (16, 3), ['%', '', '.', '.'], [(16, 12), (9, 2), (17, 11)], [True, False, False, False], 92, False, [False, False, True, True], 126, 'East', (17, 3))
Element 5: (2, (17, 3), ['', '%', '.', '%'], [(16, 13), (9, 1), (17, 10)], [False, True, False, True], 90, False, [False, False, True, False], 1145, 'North', (17, 4))
Element 6: (2, (17, 4), ['.', '', '.', '.'], [(17, 13), (10, 1), (17, 9)], [False, False, False, False], 88, False, [True, False, True, True], 1184, 'East', (18, 4))
Element 7: (2, (18, 4), ['', '%', '.', '%'], [(18, 13), (11, 1), (17, 8)], [False, True, False, True], 86, False, [False, False, True, False], 1223, 'North', (18, 5))
Element 8: (2, (18, 5), ['.', '', '.', '%'], [(17, 13), (12, 1), (18, 8)], [False, False, False, True], 84, False, [True, False, True, False], 1252, 'North', (18, 6))
Element 9: (2, (18, 6), ['.', '', '%', '%'], [(16, 13), (13, 1), (17, 8)], [False, False, True, True], 82, False, [True, False, False, False], 1271, 'West', (17, 6))
Element 10: (2, (17, 6), ['.', '.', '%', ''], [(16, 12), (14, 1), (16, 8)], [False, False, True, False], 80, False, [True, True, False, False], 1300, 'South', (17, 5))
Element 11: (2, (17, 5), ['%', '', '', ''], [(15, 12), (14, 2), (16, 9)], [True, False, False, False], 78, False, [False, False, False, False], 1329, 'North', (17, 6))
Element 12: (2, (17, 6), ['.', '', '%', ''], [(15, 11), (14, 3), (15, 9)], [False, False, True, False], 76, False, [True, False, False, False], 1358, 'West', (16, 6))
Element 13: (2, (16, 6), ['.', '%', '.', ''], [(14, 11), (13, 3), (15, 10)], [False, True, False, False], 74, False, [True, False, True, False], 1397, 'North', (16, 7))
Element 14: (2, (16, 7), ['.', '', '', '%'], [(14, 12), (12, 3), (14, 10)], [False, False, False, True], 72, False, [True, False, False, False], 1436, 'West', (15, 7))
Element 15: (2, (15, 7), ['.', '.', '.', ''], [(13, 12), (12, 2), (13, 10)], [False, False, False, False], 70, False, [True, True, True, False], 1475, 'North', (15, 8))
Element 16: (2, (15, 8), ['.', '', '', ''], [(12, 12), (11, 2), (13, 11)], [False, False, False, False], 68, False, [True, False, False, False], 1514, 'West', (14, 8))
Element 17: (2, (14, 8), ['.', '.', '%', ''], [(12, 13), (11, 3), (12, 11)], [False, False, True, False], 66, False, [True, True, False, False], 2543, 'South', (14, 7))
Element 18: (2, (14, 7), ['.', '.', '', ''], [(11, 13), (10, 3), (12, 10)], [False, False, False, False], 64, False, [True, True, False, False], 2582, 'South', (14, 6))
Element 19: (2, (14, 6), ['.', '.', '', '.'], [(10, 13), (10, 4), (12, 9)], [False, False, False, False], 62, False, [True, True, False, True], 2621, 'East', (15, 6))
Element 20: (2, (15, 6), ['', '.', '', ''], [(10, 12), (10, 5), (13, 9)], [False, False, False, False], 60, False, [False, True, False, False], 2660, 'South', (15, 5))
Element 21: (2, (15, 5), ['.', '.', '', '%'], [(10, 11), (10, 6), (13, 8)], [False, False, False, True], 58, False, [True, True, False, False], 2699, 'South', (15, 4))
Element 22: (2, (15, 4), ['%', '%', '', '.'], [(11, 11), (10, 7), (13, 7)], [True, True, False, False], 56, False, [False, False, False, True], 3728, 'East', (16, 4))
Element 23: (2, (16, 4), ['', '', '%', ''], [(11, 10), (9, 7), (13, 6)], [False, False, True, False], 54, False, [False, False, False, False], 4757, 'West', (15, 4))
Element 24: (2, (15, 4), ['%', '%', '', ''], [(11, 9), (9, 8), (13, 5)], [True, True, False, False], 52, False, [False, False, False, False], 4786, 'North', (15, 5))
Element 25: (2, (15, 5), ['G', '', '', '%'], [(11, 8), (10, 8), (14, 5)], [False, False, False, True], 50, False, [False, False, False, False], 4815, 'South', (15, 4))
Element 26: (2, (15, 4), ['%', '%', 'G', ''], [(11, 9), (11, 8), (15, 5)], [True, True, False, False], 48, False, [False, False, False, False], 4814, 'East', (16, 4))
Element 27: (2, (16, 4), ['', '', '%', ''], [(12, 9), (11, 9), (15, 6)], [False, False, True, False], 46, False, [False, False, False, False], 4813, 'West', (15, 4))
Element 28: (2, (15, 4), ['%', '%', '', ''], [(13, 9), (12, 9), (16, 6)], [True, True, False, False], 44, False, [False, False, False, False], 4812, 'North', (15, 5))
Element 29: (2, (15, 5), ['', '', '', '%'], [(13, 10), (13, 9), (17, 6)], [False, False, False, True], 42, False, [False, False, False, False], 4811, 'West', (14, 5))
Element 30: (2, (14, 5), ['', '%', '', ''], [(14, 10), (13, 10), (18, 6)], [False, True, False, False], 40, False, [False, False, False, False], 4810, 'West', (13, 5))
Element 31: (2, (13, 5), ['.', '%', '', ''], [(15, 10), (14, 10), (18, 5)], [False, True, False, False], 38, False, [True, False, False, False], 4809, 'West', (12, 5))
Element 32: (2, (12, 5), ['%', '%', '.', ''], [(15, 9), (15, 10), (18, 4)], [True, True, False, False], 36, False, [False, False, True, False], 4818, 'North', (12, 6))
Element 33: (2, (12, 6), ['%', '', '.', ''], [(16, 9), (16, 10), (17, 4)], [True, False, False, False], 34, False, [False, False, True, False], 4827, 'North', (12, 7))
Element 34: (2, (12, 7), ['%', '', '%', ''], [(17, 9), (17, 10), (17, 5)], [True, False, True, False], 32, False, [False, False, False, False], 4836, 'East', (13, 7))
Element 35: (2, (13, 7), ['', '', '', ''], [(18, 9), (18, 10), (17, 4)], [False, False, False, False], 30, False, [False, False, False, False], 4835, 'North', (13, 8))
Element 36: (2, (13, 8), ['%', '', '', ''], [(18, 8), (18, 11), (17, 3)], [True, False, False, False], 28, False, [False, False, False, False], 4834, 'North', (13, 9))
Element 37: (2, (13, 9), ['', '', '', '%'], [(17, 8), (17, 11), (16, 3)], [False, False, False, True], 26, False, [False, False, False, False], 4833, 'North', (13, 10))
Element 38: (2, (13, 10), ['', '', '', ''], [(16, 8), (16, 11), (16, 4)], [False, False, False, False], 24, False, [False, False, False, False], 4832, 'East', (14, 10))
Element 39: (2, (14, 10), ['', '%', '', ''], [(16, 7), (16, 12), (15, 4)], [False, True, False, False], 22, False, [False, False, False, False], 4831, 'East', (15, 10))
Element 40: (2, (15, 10), ['', '', '', ''], [(16, 6), (16, 13), (16, 4)], [False, False, False, False], 20, False, [False, False, False, False], 4830, 'East', (16, 10))
Element 41: (2, (16, 10), ['', '', '', ''], [(17, 6), (17, 13), (16, 3)], [False, False, False, False], 18, False, [False, False, False, False], 4829, 'East', (17, 10))
Element 42: (2, (17, 10), ['', '', '', ''], [(18, 6), (18, 13), (16, 2)], [False, False, False, False], 16, False, [False, False, False, False], 4828, 'East', (18, 10))
Element 43: (2, (18, 10), ['', '', '', '%'], [(18, 5), (17, 13), (15, 2)], [False, False, False, True], 14, False, [False, False, False, False], 4827, 'North', (18, 11))
Element 44: (2, (18, 11), ['', '', '%', '%'], [(18, 4), (16, 13), (14, 2)], [False, False, True, True], 12, False, [False, False, False, False], 4826, 'West', (17, 11))
Element 45: (2, (17, 11), ['', '', '%', ''], [(17, 4), (16, 12), (14, 3)], [False, False, True, False], 10, False, [False, False, False, False], 4825, 'West', (16, 11))
Element 46: (2, (16, 11), ['', '', '', ''], [(17, 5), (15, 12), (13, 3)], [False, False, False, False], 8, False, [False, False, False, False], 4824, 'North', (16, 12))
Element 47: (2, (16, 12), ['', '', '', '%'], [(17, 4), (15, 11), (12, 3)], [False, False, False, True], 6, False, [False, False, False, False], 4823, 'North', (16, 13))
Element 48: (2, (16, 13), ['%', '', '%', ''], [(17, 3), (14, 11), (12, 2)], [True, False, True, False], 4, False, [False, False, False, False], 4822, 'East', (17, 13))
Element 49: (2, (17, 13), ['', '%', '%', ''], [(16, 3), (14, 12), (12, 1)], [False, True, True, False], 2, False, [False, False, False, False], 4821, 'East', (18, 13))
Element 50: (2, (18, 13), ['', '%', '%', '%'], [(16, 3), (14, 12), (13, 1)], [False, True, True, True], 0, False, [False, False, False, False], 4820, 'Stop', (18, 13))
Element 51: #0#
