Element 39: (3, (15, 5), ['', '', 'G', '%'], [(13, 7), (18, 11), (15, 6)], [False, False, False, True], 22, False, [False, False, False, False], 5901, 'South', (15, 4))
Element 40: (3, (15, 4), ['%', '%', '', ''], [(14, 7), (17, 11), (15, 7)], [True, True, False, False], 20, False, [False, False, False, False], 5900, 'East', (16, 4))
Element 41: (3, (16, 4), ['', '', '%', ''], [(14, 8), (17, 10), (15, 8)], [False, False, True, False], 18, False, [False, False, False, False], 5899, 'East', (17, 4))
Element 42: (3, (17, 4), ['', '', '', ''], [(13, 8), (17, 9), (15, 9)], [False, False, False, False], 16, False, [False, False, False, False], 5898, 'East', (18, 4))
Element 43: (3, (18, 4), ['', '%', '', '%'], [(14, 8), (16, 9), (15, 10)], [False, True, False, True], 14, False, [False, False, False, False], 5897, 'North', (18, 5))
Element 44: (3, (18, 5), ['', '', '', '%'], [(14, 7), (16, 10), (14, 10)], [False, False, False, True], 12, False, [False, False, False, False], 5896, 'North', (18, 6))
Element 45: (3, (18, 6), ['', '', '%', '%'], [(13, 7), (16, 11), (13, 10)], [False, False, True, True], 10, False, [False, False, False, False], 5895, 'West', (17, 6))
Element 46: (3, (17, 6), ['', '', '%', ''], [(13, 8), (16, 12), (12, 10)], [False, False, True, False], 8, False, [False, False, False, False], 5904, 'South', (17, 5))
Element 47: (3, (17, 5), ['%', '', '', ''], [(13, 7), (16, 13), (11, 10)], [True, False, False, False], 6, False, [False, False, False, False], 5913, 'North', (17, 6))
Element 48: (3, (17, 6), ['', '', '%', ''], [(12, 7), (17, 13), (11, 11)], [False, False, True, False], 4, False, [False, False, False, False], 5922, 'West', (16, 6))
Element 49: (3, (16, 6), ['', '%', '', ''], [(12, 6), (18, 13), (10, 11)], [False, True, False, False], 2, False, [False, False, False, False], 5931, 'East', (17, 6))
Element 50: (3, (17, 6), ['', '', '%', ''], [(12, 6), (18, 13), (10, 11)], [False, False, True, False], 0, False, [False, False, False, False], 5930, 'Stop', (17, 6))
Element 51: #0#
