Element 1: (3, (10, 6), ['.', '.', 'F', '%'], [(6, 6), (6, 3), (11, 2)], [False, False, False, True], 98, False, [True, True, False, False], 29, 'North', (10, 7))
Element 2: (3, (10, 7), ['F', '', '.', '%'], [(6, 7), (7, 3), (12, 2)], [False, False, False, True], 96, False, [False, False, True, False], 1058, 'West', (9, 7))
Element 3: (3, (9, 7), ['%', '.', '.', ''], [(5, 7), (7, 4), (12, 3)], [True, False, False, False], 94, False, [False, True, True, False], 2087, 'North', (9, 8))
Element 4: (3, (9, 8), ['.', '', '.', '.'], [(6, 7), (8, 4), (13, 3)], [False, False, False, False], 92, False, [True, False, True, True], 2116, 'East', (10, 8))
Element 5: (3, (10, 8), ['', '', '%', '.'], [(6, 6), (9, 4), (14, 3)], [False, False, True, False], 90, False, [False, False, False, True], 2145, 'East', (11, 8))
Element 6: (3, (11, 8), ['', '%', '.', '%'], [(6, 5), (10, 4), (14, 2)], [False, True, False, True], 88, False, [False, False, True, False], 2184, 'North', (11, 9))
Element 7: (3, (11, 9), ['%', '', '.', '.'], [(7, 5), (10, 5), (15, 2)], [True, False, False, False], 86, False, [False, False, True, True], 2223, 'East', (12, 9))
Element 8: (3, (12, 9), ['', '%', '.', '.'], [(7, 4), (9, 5), (16, 2)], [False, True, False, False], 84, False, [False, False, True, True], 2252, 'East', (13, 9))
Element 9: (3, (13, 9), ['', '.', '.', '%'], [(6, 4), (9, 6), (16, 3)], [False, False, False, True], 82, False, [False, True, True, False], 2291, 'North', (13, 10))
Element 10: (3, (13, 10), ['.', '', '.', '.'], [(5, 4), (10, 6), (17, 3)], [False, False, False, False], 80, False, [True, False, True, True], 2320, 'East', (14, 10))
Element 11: (3, (14, 10), ['', '%', '.', '.'], [(5, 5), (10, 7), (17, 4)], [False, True, False, False], 78, False, [False, False, True, True], 2349, 'East', (15, 10))
Element 12: (3, (15, 10), ['', '.', '.', '.'], [(4, 5), (10, 8), (18, 4)], [False, False, False, False], 76, False, [False, True, True, True], 2378, 'East', (16, 10))
Element 13: (3, (16, 10), ['', '.', '.', '.'], [(4, 6), (11, 8), (18, 5)], [False, False, False, False], 74, False, [False, True, True, True], 2407, 'East', (17, 10))
Element 14: (3, (17, 10), ['', '.', '.', '.'], [(3, 6), (11, 9), (18, 6)], [False, False, False, False], 72, False, [False, True, True, True], 2436, 'East', (18, 10))
Element 15: (3, (18, 10), ['', '.', '.', '%'], [(3, 7), (11, 10), (17, 6)], [False, False, False, True], 70, False, [False, True, True, False], 2475, 'North', (18, 11))
Element 16: (3, (18, 11), ['.', '', '%', '%'], [(3, 8), (12, 10), (17, 5)], [False, False, True, True], 68, False, [True, False, False, False], 3504, 'West', (17, 11))
Element 17: (3, (17, 11), ['.', '', '%', ''], [(3, 7), (12, 11), (17, 6)], [False, False, True, False], 66, False, [True, False, False, False], 3523, 'West', (16, 11))
Element 18: (3, (16, 11), ['.', '', '.', ''], [(2, 7), (13, 11), (16, 6)], [False, False, False, False], 64, False, [True, False, True, False], 3562, 'North', (16, 12))
Element 19: (3, (16, 12), ['.', '', '.', '%'], [(2, 6), (14, 11), (16, 7)], [False, False, False, True], 62, False, [True, False, True, False], 3601, 'North', (16, 13))
Element 20: (3, (16, 13), ['%', '', '%', '.'], [(1, 6), (15, 11), (16, 8)], [True, False, True, False], 60, False, [False, False, False, True], 3640, 'East', (17, 13))
Element 21: (3, (17, 13), ['', '%', '%', '.'], [(1, 7), (15, 12), (17, 8)], [False, True, True, False], 58, False, [False, False, False, True], 3679, 'East', (18, 13))
Element 22: (3, (18, 13), ['', '%', '%', '%'], [(1, 6), (14, 12), (18, 8)], [False, True, True, True], 56, False, [False, False, False, False], 3708, 'West', (17, 13))
Element 23: (3, (17, 13), ['', '%', '%', ''], [(2, 6), (13, 12), (18, 9)], [False, True, True, False], 54, False, [False, False, False, False], 3727, 'West', (16, 13))
Element 24: (3, (16, 13), ['%', '', '%', ''], [(2, 7), (12, 12), (17, 9)], [True, False, True, False], 52, False, [False, False, False, False], 3746, 'South', (16, 12))
Element 25: (3, (16, 12), ['', '', '', '%'], [(1, 7), (12, 13), (16, 9)], [False, False, False, True], 50, False, [False, False, False, False], 4755, 'West', (15, 12))
Element 26: (3, (15, 12), ['', '', '%', ''], [(2, 7), (11, 13), (15, 9)], [False, False, True, False], 48, False, [False, False, False, False], 4774, 'South', (15, 11))
Element 27: (3, (15, 11), ['', '', '', ''], [(3, 7), (10, 13), (15, 8)], [False, False, False, False], 46, False, [False, False, False, False], 4793, 'West', (14, 11))
Element 28: (3, (14, 11), ['', '', '', ''], [(3, 6), (10, 12), (15, 7)], [False, False, False, False], 44, False, [False, False, False, False], 4812, 'North', (14, 12))
Element 29: (3, (14, 12), ['', '', '%', ''], [(2, 6), (10, 11), (15, 6)], [False, False, True, False], 42, False, [False, False, False, False], 4831, 'West', (13, 12))
Element 30: (3, (13, 12), ['', '', '%', ''], [(3, 6), (11, 11), (15, 5)], [False, False, True, False], 40, False, [False, False, False, False], 4850, 'South', (13, 11))
Element 31: (3, (13, 11), ['', '', '', ''], [(4, 6), (10, 11), (15, 4)], [False, False, False, False], 38, False, [False, False, False, False], 4859, 'West', (12, 11))
Element 32: (3, (12, 11), ['', '', '', ''], [(4, 5), (10, 10), (16, 4)], [False, False, False, False], 36, False, [False, False, False, False], 4878, 'North', (12, 12))
Element 33: (3, (12, 12), ['%', '', '', ''], [(4, 4), (9, 10), (15, 4)], [True, False, False, False], 34, False, [False, False, False, False], 4897, 'North', (12, 13))
Element 34: (3, (12, 13), ['', '', '%', '%'], [(4, 5), (9, 11), (15, 5)], [False, False, True, True], 32, False, [False, False, False, False], 4906, 'West', (11, 13))
Element 35: (3, (11, 13), ['', '%', '%', ''], [(5, 5), (9, 12), (14, 5)], [False, True, True, False], 30, False, [False, False, False, False], 4925, 'West', (10, 13))
Element 36: (3, (10, 13), ['%', '', '%', ''], [(5, 4), (9, 11), (14, 6)], [True, False, True, False], 28, False, [False, False, False, False], 4934, 'South', (10, 12))
Element 37: (3, (10, 12), ['', '', '', '%'], [(4, 4), (8, 11), (14, 7)], [False, False, False, True], 26, False, [False, False, False, False], 4953, 'South', (10, 11))
Element 38: (3, (10, 11), ['', '', '', ''], [(5, 4), (7, 11), (14, 8)], [False, False, False, False], 24, False, [False, False, False, False], 5962, 'East', (11, 11))
Element 39: (3, (11, 11), ['', '', '%', ''], [(5, 3), (7, 10), (13, 8)], [False, False, True, False], 22, False, [False, False, False, False], 5981, 'South', (11, 10))
Element 40: (3, (11, 10), ['', '', '', ''], [(5, 2), (7, 9), (13, 7)], [False, False, False, False], 20, False, [False, False, False, False], 7000, 'East', (12, 10))
Element 41: (3, (12, 10), ['', '', '', ''], [(6, 2), (6, 9), (13, 6)], [False, False, False, False], 18, False, [False, False, False, False], 8019, 'West', (11, 10))
Element 42: (3, (11, 10), ['', '', '', ''], [(7, 2), (6, 10), (13, 5)], [False, False, False, False], 16, False, [False, False, False, False], 8048, 'West', (10, 10))
Element 43: (3, (10, 10), ['', '%', '', ''], [(8, 2), (6, 11), (12, 5)], [False, True, False, False], 14, False, [False, False, False, False], 8077, 'West', (9, 10))
Element 44: (3, (9, 10), ['.', '.', '', ''], [(9, 2), (5, 11), (12, 6)], [False, False, False, False], 12, False, [True, True, False, False], 8106, 'South', (9, 9))
Element 45: (3, (9, 9), ['.', '', '', '%'], [(9, 1), (5, 10), (12, 7)], [False, False, False, True], 10, False, [True, False, False, False], 9135, 'West', (8, 9))
Element 46: (3, (8, 9), ['', '.', '.', ''], [(10, 1), (5, 9), (12, 6)], [False, False, False, False], 8, False, [False, True, True, False], 9164, 'North', (8, 10))
Element 47: (3, (8, 10), ['', '', '', ''], [(11, 1), (4, 9), (12, 5)], [False, False, False, False], 6, False, [False, False, False, False], 9193, 'North', (8, 11))
Element 48: (3, (8, 11), ['', '', '%', ''], [(12, 1), (4, 10), (13, 5)], [False, False, True, False], 4, False, [False, False, False, False], 9212, 'East', (9, 11))
Element 49: (3, (9, 11), ['', '', '', ''], [(13, 1), (3, 10), (13, 6)], [False, False, False, False], 2, False, [False, False, False, False], 9231, 'North', (9, 12))
Element 50: (3, (9, 12), ['%', '', '%', ''], [(13, 1), (3, 10), (13, 6)], [True, False, True, False], 0, False, [False, False, False, False], 9230, 'Stop', (9, 12))
Element 51: #0#
