Element 1: (3, (16, 8), ['.', 'G', '.', '.'], [(11, 11), (6, 2), (16, 7)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (17, 8))
Element 2: (3, (17, 8), ['', '%', '.', '.'], [(12, 11), (7, 2), (16, 6)], [False, True, False, False], 96, False, [False, False, True, True], 68, 'East', (18, 8))
Element 3: (3, (18, 8), ['', '%', '.', '%'], [(13, 11), (8, 2), (17, 6)], [False, True, False, True], 94, False, [False, False, True, False], 107, 'North', (18, 9))
Element 4: (3, (18, 9), ['.', '', '.', '%'], [(14, 11), (9, 2), (18, 6)], [False, False, False, True], 92, False, [True, False, True, False], 146, 'North', (18, 10))
Element 5: (3, (18, 10), ['.', '', '.', '%'], [(15, 11), (9, 1), (18, 5)], [False, False, False, True], 90, False, [True, False, True, False], 1175, 'North', (18, 11))
Element 6: (3, (18, 11), ['.', '', '%', '%'], [(16, 11), (10, 1), (18, 4)], [False, False, True, True], 88, False, [True, False, False, False], 1214, 'West', (17, 11))
Element 7: (3, (17, 11), ['', '.', '%', ''], [(16, 12), (11, 1), (17, 4)], [False, False, True, False], 86, False, [False, True, False, False], 1253, 'South', (17, 10))
Element 8: (3, (17, 10), ['.', '.', '', ''], [(16, 13), (12, 1), (17, 5)], [False, False, False, False], 84, False, [True, True, False, False], 1292, 'South', (17, 9))
Element 9: (3, (17, 9), ['.', '', '', ''], [(17, 13), (13, 1), (17, 4)], [False, False, False, False], 82, False, [True, False, False, False], 1321, 'West', (16, 9))
Element 10: (3, (16, 9), ['.', '', '.', ''], [(18, 13), (14, 1), (17, 3)], [False, False, False, False], 80, False, [True, False, True, False], 1360, 'North', (16, 10))
Element 11: (3, (16, 10), ['.', '', '', ''], [(17, 13), (14, 2), (16, 3)], [False, False, False, False], 78, False, [True, False, False, False], 1389, 'West', (15, 10))
Element 12: (3, (15, 10), ['.', '.', '', ''], [(16, 13), (15, 2), (16, 4)], [False, False, False, False], 76, False, [True, True, False, False], 1418, 'South', (15, 9))
Element 13: (3, (15, 9), ['%', '.', '', ''], [(16, 12), (16, 2), (15, 4)], [True, False, False, False], 74, False, [False, True, False, False], 1447, 'South', (15, 8))
Element 14: (3, (15, 8), ['.', '', '', ''], [(15, 12), (16, 3), (15, 5)], [False, False, False, False], 72, False, [True, False, False, False], 1476, 'West', (14, 8))
