Element 1: (2, (10, 8), ['.', 'F', '%', '.'], [(18, 13), (6, 11), (12, 3)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'South', (10, 7))
Element 2: (2, (10, 7), ['F', '.', '', '%'], [(17, 13), (7, 11), (13, 3)], [False, False, False, True], 96, False, [False, True, False, False], 2028, 'West', (9, 7))
Element 3: (2, (9, 7), ['%', '.', '.', ''], [(16, 13), (8, 11), (14, 3)], [True, False, False, False], 94, False, [False, True, True, False], 3057, 'North', (9, 8))
Element 4: (2, (9, 8), ['.', '', '.', ''], [(16, 12), (9, 11), (14, 2)], [False, False, False, False], 92, False, [True, False, True, False], 3096, 'North', (9, 9))
Element 5: (2, (9, 9), ['.', '', '.', '%'], [(16, 11), (10, 11), (15, 2)], [False, False, False, True], 90, False, [True, False, True, False], 3135, 'North', (9, 10))
Element 6: (2, (9, 10), ['.', '', '', '.'], [(17, 11), (11, 11), (16, 2)], [False, False, False, False], 88, False, [True, False, False, True], 3174, 'East', (10, 10))
Element 7: (2, (10, 10), ['', '%', '', '.'], [(18, 11), (12, 11), (16, 3)], [False, True, False, False], 86, False, [False, False, False, True], 3213, 'East', (11, 10))
Element 8: (2, (11, 10), ['', '.', '', '.'], [(18, 10), (13, 11), (17, 3)], [False, False, False, False], 84, False, [False, True, False, True], 3252, 'East', (12, 10))
Element 9: (2, (12, 10), ['', '.', '', '.'], [(18, 9), (14, 11), (17, 4)], [False, False, False, False], 82, False, [False, True, False, True], 3291, 'East', (13, 10))
Element 10: (2, (13, 10), ['', '.', '', '.'], [(18, 8), (15, 11), (18, 4)], [False, False, False, False], 80, False, [False, True, False, True], 3330, 'East', (14, 10))
Element 11: (2, (14, 10), ['', '%', '', '.'], [(17, 8), (15, 12), (18, 5)], [False, True, False, False], 78, False, [False, False, False, True], 3369, 'East', (15, 10))
Element 12: (2, (15, 10), ['', '.', '', '.'], [(17, 9), (14, 12), (18, 6)], [False, False, False, False], 76, False, [False, True, False, True], 3408, 'East', (16, 10))
Element 13: (2, (16, 10), ['', '.', '', 'G'], [(17, 10), (13, 12), (17, 6)], [False, False, False, False], 74, False, [False, True, False, False], 3447, 'South', (16, 9))
Element 14: (2, (16, 9), ['.', '.', 'G', ''], [(16, 10), (12, 12), (17, 5)], [False, False, False, False], 72, False, [True, True, False, False], 3476, 'South', (16, 8))
Element 15: (2, (16, 8), ['.', '.', 'G', ''], [(16, 9), (12, 13), (17, 6)], [False, False, False, False], 70, False, [True, True, False, False], 4485, 'South', (16, 7))
Element 16: (2, (16, 7), ['.', 'G', '', '%'], [(15, 9), (11, 13), (16, 6)], [False, False, False, True], 68, False, [True, False, False, False], 4524, 'West', (15, 7))
Element 17: (2, (15, 7), ['.', 'G', 'G', ''], [(15, 8), (10, 13), (15, 6)], [False, False, False, False], 66, False, [True, False, False, False], 4563, 'West', (14, 7))
Element 18: (2, (14, 7), ['.', '.', 'G', ''], [(14, 8), (10, 12), (15, 5)], [False, False, False, False], 64, False, [True, True, False, False], 4602, 'South', (14, 6))
Element 19: (2, (14, 6), ['.', '.', '', ''], [(13, 8), (9, 12), (15, 4)], [False, False, False, False], 62, False, [True, True, False, False], 4641, 'South', (14, 5))
Element 20: (2, (14, 5), ['.', '%', '', ''], [(13, 9), (10, 12), (16, 4)], [False, True, False, False], 60, False, [True, False, False, False], 4670, 'West', (13, 5))
Element 21: (2, (13, 5), ['.', '%', '.', ''], [(12, 9), (10, 13), (15, 4)], [False, True, False, False], 58, False, [True, False, True, False], 4689, 'North', (13, 6))
Element 22: (2, (13, 6), ['.', '', '.', ''], [(11, 9), (11, 13), (15, 5)], [False, False, False, False], 56, False, [True, False, True, False], 4708, 'North', (13, 7))
Element 23: (2, (13, 7), ['.', '', '', ''], [(11, 8), (12, 13), (14, 5)], [False, False, False, False], 54, False, [True, False, False, False], 4727, 'West', (12, 7))
Element 24: (2, (12, 7), ['%', '.', '%', ''], [(10, 8), (12, 12), (14, 6)], [True, False, True, False], 52, False, [False, True, False, False], 4736, 'South', (12, 6))
Element 25: (2, (12, 6), ['%', '.', '', ''], [(10, 7), (13, 12), (14, 7)], [True, False, False, False], 50, False, [False, True, False, False], 4745, 'South', (12, 5))
Element 26: (2, (12, 5), ['%', '%', '', ''], [(10, 6), (14, 12), (15, 7)], [True, True, False, False], 48, False, [False, False, False, False], 4764, 'North', (12, 6))
Element 27: (2, (12, 6), ['%', '', '', ''], [(10, 5), (15, 12), (16, 7)], [True, False, False, False], 46, False, [False, False, False, False], 4773, 'North', (12, 7))
Element 28: (2, (12, 7), ['%', '', '%', ''], [(10, 4), (16, 12), (16, 8)], [True, False, True, False], 44, False, [False, False, False, False], 4782, 'East', (13, 7))
Element 29: (2, (13, 7), ['', '', '', ''], [(10, 3), (16, 13), (17, 8)], [False, False, False, False], 42, False, [False, False, False, False], 4791, 'North', (13, 8))
Element 30: (2, (13, 8), ['%', '', '', ''], [(11, 3), (17, 13), (18, 8)], [True, False, False, False], 40, False, [False, False, False, False], 4800, 'East', (14, 8))
Element 31: (2, (14, 8), ['', '', '%', ''], [(11, 2), (18, 13), (18, 9)], [False, False, True, False], 38, False, [False, False, False, False], 4809, 'East', (15, 8))
Element 32: (2, (15, 8), ['', '', '', ''], [(12, 2), (17, 13), (18, 10)], [False, False, False, False], 36, False, [False, False, False, False], 4818, 'North', (15, 9))
Element 33: (2, (15, 9), ['%', '', '', ''], [(12, 1), (16, 13), (18, 11)], [True, False, False, False], 34, False, [False, False, False, False], 4827, 'South', (15, 8))
Element 34: (2, (15, 8), ['', '', '', ''], [(13, 1), (16, 12), (17, 11)], [False, False, False, False], 32, False, [False, False, False, False], 4836, 'West', (14, 8))
Element 35: (2, (14, 8), ['', '', '%', ''], [(14, 1), (16, 11), (17, 10)], [False, False, True, False], 30, False, [False, False, False, False], 4845, 'West', (13, 8))
Element 36: (2, (13, 8), ['%', '', '', ''], [(14, 2), (17, 11), (17, 9)], [True, False, False, False], 28, False, [False, False, False, False], 4844, 'North', (13, 9))
Element 37: (2, (13, 9), ['', '', '', '%'], [(15, 2), (18, 11), (16, 9)], [False, False, False, True], 26, False, [False, False, False, False], 4843, 'West', (12, 9))
Element 38: (2, (12, 9), ['', '%', '', ''], [(16, 2), (18, 10), (16, 10)], [False, True, False, False], 24, False, [False, False, False, False], 4842, 'West', (11, 9))
Element 39: (2, (11, 9), ['%', '', '', ''], [(16, 3), (18, 9), (16, 11)], [True, False, False, False], 22, False, [False, False, False, False], 4841, 'South', (11, 8))
Element 40: (2, (11, 8), ['', '%', '', '%'], [(17, 3), (18, 8), (16, 12)], [False, True, False, True], 20, False, [False, False, False, False], 4840, 'North', (11, 9))
Element 41: (2, (11, 9), ['%', '', '', ''], [(17, 4), (17, 8), (16, 13)], [True, False, False, False], 18, False, [False, False, False, False], 4839, 'East', (12, 9))
Element 42: (2, (12, 9), ['', '%', '', ''], [(18, 4), (17, 9), (17, 13)], [False, True, False, False], 16, False, [False, False, False, False], 4838, 'East', (13, 9))
Element 43: (2, (13, 9), ['', '', '', '%'], [(18, 5), (17, 10), (18, 13)], [False, False, False, True], 14, False, [False, False, False, False], 4837, 'South', (13, 8))
Element 44: (2, (13, 8), ['%', '', '', ''], [(18, 6), (16, 10), (17, 13)], [True, False, False, False], 12, False, [False, False, False, False], 4836, 'South', (13, 7))
Element 45: (2, (13, 7), ['', '', '', ''], [(17, 6), (16, 9), (16, 13)], [False, False, False, False], 10, False, [False, False, False, False], 4835, 'South', (13, 6))
Element 46: (2, (13, 6), ['', '', '', ''], [(17, 5), (16, 8), (16, 12)], [False, False, False, False], 8, False, [False, False, False, False], 4834, 'West', (12, 6))
Element 47: (2, (12, 6), ['%', '', '', ''], [(17, 6), (16, 7), (15, 12)], [True, False, False, False], 6, False, [False, False, False, False], 4833, 'East', (13, 6))
Element 48: (2, (13, 6), ['', '', '', ''], [(16, 6), (15, 7), (15, 11)], [False, False, False, False], 4, False, [False, False, False, False], 4832, 'South', (13, 5))
Element 49: (2, (13, 5), ['', '%', '', ''], [(16, 7), (15, 8), (15, 10)], [False, True, False, False], 2, False, [False, False, False, False], 4831, 'West', (12, 5))
Element 50: (2, (12, 5), ['%', '%', '', ''], [(16, 7), (15, 8), (15, 9)], [True, True, False, False], 0, False, [False, False, False, False], 4830, 'Stop', (12, 5))
Element 51: #0#
