Element 1: (1, (9, 6), ['%', '.', 'F', '.'], [(2, 1), (9, 8), (12, 7)], [True, False, False, False], 98, False, [False, True, False, True], 999, 'North', (9, 7))
Element 2: (1, (9, 7), ['%', '', '', 'F'], [(3, 1), (10, 8), (13, 7)], [True, False, False, False], 96, False, [False, False, False, False], 2028, 'East', (10, 7))
Element 3: (1, (10, 7), ['', '.', '', '%'], [(4, 1), (11, 8), (14, 7)], [False, False, False, True], 94, False, [False, True, False, False], 3057, 'South', (10, 6))
Element 4: (1, (10, 6), ['', '.', '', '%'], [(4, 2), (11, 9), (15, 7)], [False, False, False, True], 92, False, [False, True, False, False], 3096, 'South', (10, 5))
Element 5: (1, (10, 5), ['.', '.', '', '%'], [(5, 2), (12, 9), (16, 7)], [False, False, False, True], 90, False, [True, True, False, False], 3135, 'South', (10, 4))
Element 6: (1, (10, 4), ['.', '.', '', '%'], [(6, 2), (13, 9), (16, 8)], [False, False, False, True], 88, False, [True, True, False, False], 3174, 'South', (10, 3))
Element 7: (1, (10, 3), ['%', '.', '', '.'], [(7, 2), (13, 10), (17, 8)], [True, False, False, False], 86, False, [False, True, False, True], 3213, 'East', (11, 3))
Element 8: (1, (11, 3), ['', '.', '%', '.'], [(8, 2), (14, 10), (18, 8)], [False, False, True, False], 84, False, [False, True, False, True], 3252, 'East', (12, 3))
Element 9: (1, (12, 3), ['', '.', '%', '.'], [(9, 2), (15, 10), (18, 9)], [False, False, True, False], 82, False, [False, True, False, True], 3291, 'East', (13, 3))
Element 10: (1, (13, 3), ['', '%', '%', '.'], [(9, 1), (16, 10), (18, 10)], [False, True, True, False], 80, False, [False, False, False, True], 4320, 'East', (14, 3))
Element 11: (1, (14, 3), ['', '.', '%', '%'], [(10, 1), (17, 10), (18, 11)], [False, False, True, True], 78, False, [False, True, False, False], 4359, 'South', (14, 2))
Element 12: (1, (14, 2), ['%', '.', '', '.'], [(11, 1), (17, 11), (18, 10)], [True, False, False, False], 76, False, [False, True, False, True], 4388, 'East', (15, 2))
Element 13: (1, (15, 2), ['', '%', '%', '.'], [(12, 1), (16, 11), (18, 9)], [False, True, True, False], 74, False, [False, False, False, True], 4417, 'East', (16, 2))
Element 14: (1, (16, 2), ['', '%', '.', '%'], [(13, 1), (16, 12), (17, 9)], [False, True, False, True], 72, False, [False, False, True, False], 4456, 'North', (16, 3))
Element 15: (1, (16, 3), ['%', '', '.', '.'], [(14, 1), (16, 13), (16, 9)], [True, False, False, False], 70, False, [False, False, True, True], 4495, 'East', (17, 3))
Element 16: (1, (17, 3), ['', '%', '.', '%'], [(14, 2), (17, 13), (15, 9)], [False, True, False, True], 68, False, [False, False, True, False], 4524, 'North', (17, 4))
Element 17: (1, (17, 4), ['.', '', '.', '.'], [(15, 2), (18, 13), (15, 8)], [False, False, False, False], 66, False, [True, False, True, True], 4553, 'East', (18, 4))
Element 18: (1, (18, 4), ['', '%', '.', '%'], [(16, 2), (17, 13), (14, 8)], [False, True, False, True], 64, False, [False, False, True, False], 4572, 'North', (18, 5))
Element 19: (1, (18, 5), ['.', '', '.', '%'], [(16, 3), (16, 13), (13, 8)], [False, False, False, True], 62, False, [True, False, True, False], 4591, 'North', (18, 6))
Element 20: (1, (18, 6), ['.', '', '%', '%'], [(16, 4), (16, 12), (13, 9)], [False, False, True, True], 60, False, [True, False, False, False], 4610, 'West', (17, 6))
Element 21: (1, (17, 6), ['.', '.', '%', ''], [(15, 4), (15, 12), (13, 10)], [False, False, True, False], 58, False, [True, True, False, False], 4639, 'South', (17, 5))
Element 22: (1, (17, 5), ['%', '', '', ''], [(15, 5), (15, 11), (13, 11)], [True, False, False, False], 56, False, [False, False, False, False], 4678, 'North', (17, 6))
Element 23: (1, (17, 6), ['.', '', '%', ''], [(15, 6), (14, 11), (13, 12)], [False, False, True, False], 54, False, [True, False, False, False], 4707, 'West', (16, 6))
Element 24: (1, (16, 6), ['', '%', '', ''], [(14, 6), (14, 12), (12, 12)], [False, True, False, False], 52, False, [False, False, False, False], 4746, 'North', (16, 7))
Element 25: (1, (16, 7), ['', '', '', '%'], [(14, 5), (13, 12), (12, 13)], [False, False, False, True], 50, False, [False, False, False, False], 5755, 'North', (16, 8))
Element 26: (1, (16, 8), ['', '', '', ''], [(13, 5), (13, 11), (11, 13)], [False, False, False, False], 48, False, [False, False, False, False], 5774, 'East', (17, 8))
Element 27: (1, (17, 8), ['', '%', '', ''], [(13, 6), (12, 11), (10, 13)], [False, True, False, False], 46, False, [False, False, False, False], 5803, 'East', (18, 8))
Element 28: (1, (18, 8), ['', '%', '', '%'], [(12, 6), (12, 10), (10, 12)], [False, True, False, True], 44, False, [False, False, False, False], 5832, 'North', (18, 9))
Element 29: (1, (18, 9), ['', '', '', '%'], [(12, 5), (11, 10), (10, 11)], [False, False, False, True], 42, False, [False, False, False, False], 5861, 'North', (18, 10))
