Element 15: (1, (10, 7), ['', '', '', '%'], [(12, 11), (17, 3), (16, 13)], [False, False, False, True], 70, False, [False, False, False, False], 3455, 'North', (10, 8))
Element 16: (1, (10, 8), ['', '', '%', ''], [(13, 11), (17, 4), (17, 13)], [False, False, True, False], 68, False, [False, False, False, False], 3484, 'East', (11, 8))
Element 17: (1, (11, 8), ['', '%', '', '%'], [(14, 11), (18, 4), (18, 13)], [False, True, False, True], 66, False, [False, False, False, False], 3513, 'North', (11, 9))
Element 18: (1, (11, 9), ['%', '', '', ''], [(15, 11), (18, 5), (17, 13)], [True, False, False, False], 64, False, [False, False, False, False], 3532, 'East', (12, 9))
Element 19: (1, (12, 9), ['', '%', '', ''], [(15, 12), (18, 6), (16, 13)], [False, True, False, False], 62, False, [False, False, False, False], 3551, 'East', (13, 9))
Element 20: (1, (13, 9), ['', '.', '', '%'], [(14, 12), (17, 6), (16, 12)], [False, False, False, True], 60, False, [False, True, False, False], 3570, 'South', (13, 8))
Element 21: (1, (13, 8), ['%', '.', '', '.'], [(13, 12), (17, 5), (15, 12)], [True, False, False, False], 58, False, [False, True, False, True], 3599, 'East', (14, 8))
Element 22: (1, (14, 8), ['', '.', '%', '.'], [(12, 12), (17, 6), (15, 11)], [False, False, True, False], 56, False, [False, True, False, True], 3618, 'East', (15, 8))
Element 23: (1, (15, 8), ['', '.', '.', '.'], [(12, 13), (16, 6), (14, 11)], [False, False, False, False], 54, False, [False, True, True, True], 4637, 'East', (16, 8))
Element 24: (1, (16, 8), ['', 'G', '.', '.'], [(11, 13), (16, 7), (14, 12)], [False, False, False, False], 52, False, [False, False, True, True], 4666, 'East', (17, 8))
Element 25: (1, (17, 8), ['', '%', '.', '.'], [(10, 13), (15, 7), (13, 12)], [False, True, False, False], 50, False, [False, False, True, True], 4695, 'East', (18, 8))
Element 26: (1, (18, 8), ['', '%', '.', '%'], [(10, 12), (15, 6), (13, 11)], [False, True, False, True], 48, False, [False, False, True, False], 4724, 'North', (18, 9))
Element 27: (1, (18, 9), ['.', '', '', '%'], [(10, 11), (15, 5), (12, 11)], [False, False, False, True], 46, False, [True, False, False, False], 4753, 'West', (17, 9))
Element 28: (1, (17, 9), ['.', '', '', ''], [(10, 10), (15, 4), (11, 11)], [False, False, False, False], 44, False, [True, False, False, False], 4792, 'West', (16, 9))
