Element 1: (0, (10, 8), ['.', 'F', '%', '.'], [(10, 13), (15, 7), (16, 13)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'South', (10, 7))
Element 2: (0, (10, 7), ['F', '.', '', '%'], [(11, 13), (16, 7), (17, 13)], [False, False, False, True], 96, False, [False, True, False, False], 1029, 'West', (9, 7))
Element 3: (0, (9, 7), ['%', '.', '.', ''], [(12, 13), (16, 8), (18, 13)], [True, False, False, False], 94, False, [False, True, True, False], 3048, 'North', (9, 8))
Element 4: (0, (9, 8), ['.', '', '.', ''], [(12, 12), (17, 8), (17, 13)], [False, False, False, False], 92, False, [True, False, True, False], 3077, 'North', (9, 9))
Element 5: (0, (9, 9), ['.', '', '.', '%'], [(13, 12), (18, 8), (16, 13)], [False, False, False, True], 90, False, [True, False, True, False], 3106, 'North', (9, 10))
Element 6: (0, (9, 10), ['.', '', '.', '.'], [(14, 12), (18, 9), (16, 12)], [False, False, False, False], 88, False, [True, False, True, True], 3145, 'East', (10, 10))
Element 7: (0, (10, 10), ['', '%', '.', '.'], [(15, 12), (18, 10), (16, 11)], [False, True, False, False], 86, False, [False, False, True, True], 3184, 'East', (11, 10))
Element 8: (0, (11, 10), ['', '.', '.', '.'], [(15, 11), (18, 11), (17, 11)], [False, False, False, False], 84, False, [False, True, True, True], 3223, 'East', (12, 10))
Element 9: (0, (12, 10), ['', '.', '.', '.'], [(15, 10), (18, 10), (17, 10)], [False, False, False, False], 82, False, [False, True, True, True], 3252, 'East', (13, 10))
Element 10: (0, (13, 10), ['', '.', '.', '.'], [(16, 10), (18, 9), (17, 9)], [False, False, False, False], 80, False, [False, True, True, True], 3281, 'East', (14, 10))
Element 11: (0, (14, 10), ['', '%', '.', ''], [(16, 9), (18, 10), (18, 9)], [False, True, False, False], 78, False, [False, False, True, False], 3300, 'North', (14, 11))
Element 12: (0, (14, 11), ['.', '', '', ''], [(15, 9), (17, 10), (18, 10)], [False, False, False, False], 76, False, [True, False, False, False], 3319, 'West', (13, 11))
Element 13: (0, (13, 11), ['.', '', '', ''], [(15, 8), (17, 11), (18, 11)], [False, False, False, False], 74, False, [True, False, False, False], 3338, 'West', (12, 11))
Element 14: (0, (12, 11), ['.', '', '', ''], [(14, 8), (16, 11), (18, 10)], [False, False, False, False], 72, False, [True, False, False, False], 3357, 'West', (11, 11))
Element 15: (0, (11, 11), ['.', '', '%', ''], [(14, 7), (16, 12), (18, 9)], [False, False, True, False], 70, False, [True, False, False, False], 3376, 'West', (10, 11))
Element 16: (0, (10, 11), ['.', '', '.', ''], [(14, 6), (16, 13), (18, 8)], [False, False, False, False], 68, False, [True, False, True, False], 3395, 'North', (10, 12))
Element 17: (0, (10, 12), ['.', '', '', '%'], [(15, 6), (17, 13), (17, 8)], [False, False, False, True], 66, False, [True, False, False, False], 3414, 'West', (9, 12))
Element 18: (0, (9, 12), ['%', '.', '%', ''], [(16, 6), (18, 13), (16, 8)], [True, False, True, False], 64, False, [False, True, False, False], 3433, 'South', (9, 11))
