Element 1: (1, (12, 10), ['.', '.', '.', 'G'], [(6, 10), (13, 9), (13, 10)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (12, 11))
Element 2: (1, (12, 11), ['.', '', '.', '.'], [(6, 9), (13, 8), (14, 10)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'East', (13, 11))
Element 3: (1, (13, 11), ['', '', '.', '.'], [(7, 9), (14, 8), (15, 10)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'East', (14, 11))
Element 4: (1, (14, 11), ['', '', '.', '.'], [(8, 9), (15, 8), (16, 10)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (15, 11))
Element 5: (1, (15, 11), ['', '', '.', '.'], [(9, 9), (16, 8), (17, 10)], [False, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (16, 11))
Element 6: (1, (16, 11), ['', '', '.', '.'], [(9, 10), (17, 8), (18, 10)], [False, False, False, False], 88, False, [False, False, True, True], 2184, 'East', (17, 11))
Element 7: (1, (17, 11), ['', '', '%', 'G'], [(10, 10), (18, 8), (18, 11)], [False, False, True, False], 86, False, [False, False, False, False], 2223, 'South', (17, 10))
Element 8: (1, (17, 10), ['', '.', 'G', ''], [(11, 10), (18, 9), (17, 11)], [False, False, False, False], 84, False, [False, True, False, False], 2242, 'South', (17, 9))
Element 9: (1, (17, 9), ['.', '', '', ''], [(11, 11), (18, 10), (16, 11)], [False, False, False, False], 82, False, [True, False, False, False], 2261, 'West', (16, 9))
Element 10: (1, (16, 9), ['.', '', '', ''], [(10, 11), (18, 11), (16, 12)], [False, False, False, False], 80, False, [True, False, False, False], 2290, 'West', (15, 9))
Element 11: (1, (15, 9), ['%', '', '', ''], [(10, 12), (17, 11), (16, 13)], [True, False, False, False], 78, False, [False, False, False, False], 2319, 'North', (15, 10))
Element 12: (1, (15, 10), ['', '', '', ''], [(10, 13), (17, 10), (17, 13)], [False, False, False, False], 76, False, [False, False, False, False], 2338, 'East', (16, 10))
Element 13: (1, (16, 10), ['', '', '', ''], [(11, 13), (17, 9), (18, 13)], [False, False, False, False], 74, False, [False, False, False, False], 2357, 'West', (15, 10))
Element 14: (1, (15, 10), ['', '', '', ''], [(12, 13), (16, 9), (17, 13)], [False, False, False, False], 72, False, [False, False, False, False], 3356, 'West', (14, 10))
Element 15: (1, (14, 10), ['', '%', '', ''], [(12, 12), (16, 10), (16, 13)], [False, True, False, False], 70, False, [False, False, False, False], 3365, 'West', (13, 10))
Element 16: (1, (13, 10), ['', '', '', ''], [(13, 12), (16, 11), (16, 12)], [False, False, False, False], 68, False, [False, False, False, False], 3374, 'South', (13, 9))
Element 17: (1, (13, 9), ['.', '', '', '%'], [(14, 12), (15, 11), (15, 12)], [False, False, False, True], 66, False, [True, False, False, False], 3393, 'West', (12, 9))
Element 18: (1, (12, 9), ['.', '%', '', ''], [(15, 12), (15, 10), (15, 11)], [False, True, False, False], 64, False, [True, False, False, False], 3402, 'West', (11, 9))
Element 19: (1, (11, 9), ['%', '.', '', ''], [(16, 12), (15, 9), (14, 11)], [True, False, False, False], 62, False, [False, True, False, False], 3411, 'South', (11, 8))
Element 20: (1, (11, 8), ['.', '%', '', '%'], [(16, 13), (15, 10), (14, 12)], [False, True, False, True], 60, False, [True, False, False, False], 3420, 'West', (10, 8))
Element 21: (1, (10, 8), ['.', 'F', '%', ''], [(17, 13), (14, 10), (13, 12)], [False, False, True, False], 58, False, [True, False, False, False], 3429, 'South', (10, 7))
Element 22: (1, (10, 7), ['F', '.', '', '%'], [(18, 13), (14, 11), (13, 11)], [False, False, False, True], 56, False, [False, True, False, False], 4428, 'West', (9, 7))
Element 23: (1, (9, 7), ['%', '.', '.', ''], [(17, 13), (14, 12), (12, 11)], [True, False, False, False], 54, False, [False, True, True, False], 5427, 'North', (9, 8))
Element 24: (1, (9, 8), ['.', '', '', ''], [(16, 13), (15, 12), (12, 12)], [False, False, False, False], 52, False, [True, False, False, False], 5436, 'West', (8, 8))
Element 25: (1, (8, 8), ['%', '%', '', ''], [(17, 13), (16, 12), (12, 13)], [True, True, False, False], 50, False, [False, False, False, False], 5445, 'North', (8, 9))
Element 26: (1, (8, 9), ['', '', '.', ''], [(17, 13), (16, 13), (11, 13)], [False, False, False, False], 48, False, [False, False, True, False], 5444, 'North', (8, 10))
