Element 1: (1, (9, 8), ['.', 'F', '.', '.'], [(15, 6), (14, 7), (15, 9)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'South', (9, 7))
Element 2: (1, (9, 7), ['%', '.', '', 'F'], [(16, 6), (15, 7), (16, 9)], [True, False, False, False], 96, False, [False, True, False, False], 1038, 'East', (10, 7))
Element 3: (1, (10, 7), ['', '.', '.', '%'], [(17, 6), (16, 7), (17, 9)], [False, False, False, True], 94, False, [False, True, True, False], 2067, 'North', (10, 8))
Element 4: (1, (10, 8), ['', '', '%', '.'], [(18, 6), (16, 8), (18, 9)], [False, False, True, False], 92, False, [False, False, False, True], 2106, 'East', (11, 8))
Element 5: (1, (11, 8), ['', '%', '.', '%'], [(18, 5), (17, 8), (18, 10)], [False, True, False, True], 90, False, [False, False, True, False], 2145, 'North', (11, 9))
Element 6: (1, (11, 9), ['%', '', '.', '.'], [(18, 4), (18, 8), (18, 11)], [True, False, False, False], 88, False, [False, False, True, True], 2184, 'East', (12, 9))
Element 7: (1, (12, 9), ['', '%', '.', '.'], [(17, 4), (18, 9), (17, 11)], [False, True, False, False], 86, False, [False, False, True, True], 2213, 'East', (13, 9))
Element 8: (1, (13, 9), ['', '.', '.', '%'], [(17, 5), (18, 10), (17, 10)], [False, False, False, True], 84, False, [False, True, True, False], 2242, 'North', (13, 10))
Element 9: (1, (13, 10), ['.', '', '.', '.'], [(17, 4), (18, 11), (16, 10)], [False, False, False, False], 82, False, [True, False, True, True], 2261, 'East', (14, 10))
Element 10: (1, (14, 10), ['', '%', '.', '.'], [(17, 3), (17, 11), (16, 11)], [False, True, False, False], 80, False, [False, False, True, True], 2290, 'East', (15, 10))
Element 11: (1, (15, 10), ['', '', '.', ''], [(16, 3), (17, 10), (16, 12)], [False, False, False, False], 78, False, [False, False, True, False], 2319, 'North', (15, 11))
Element 12: (1, (15, 11), ['.', '', '.', ''], [(16, 4), (17, 9), (16, 13)], [False, False, False, False], 76, False, [True, False, True, False], 2348, 'North', (15, 12))
Element 13: (1, (15, 12), ['.', '', '%', ''], [(15, 4), (16, 9), (17, 13)], [False, False, True, False], 74, False, [True, False, False, False], 2377, 'West', (14, 12))
Element 14: (1, (14, 12), ['.', '.', '%', ''], [(15, 5), (16, 10), (18, 13)], [False, False, True, False], 72, False, [True, True, False, False], 2406, 'South', (14, 11))
Element 15: (1, (14, 11), ['.', '', '', ''], [(14, 5), (16, 11), (17, 13)], [False, False, False, False], 70, False, [True, False, False, False], 2425, 'West', (13, 11))
Element 16: (1, (13, 11), ['.', '', '.', ''], [(13, 5), (16, 12), (16, 13)], [False, False, False, False], 68, False, [True, False, True, False], 2444, 'North', (13, 12))
Element 17: (1, (13, 12), ['.', '', '%', ''], [(13, 6), (15, 12), (16, 12)], [False, False, True, False], 66, False, [True, False, False, False], 2463, 'West', (12, 12))
Element 18: (1, (12, 12), ['%', '.', 'F', ''], [(13, 7), (15, 11), (15, 12)], [True, False, False, False], 64, False, [False, True, False, False], 2482, 'North', (12, 13))
Element 19: (1, (12, 13), ['.', '', '%', '%'], [(13, 8), (15, 10), (15, 11)], [False, False, True, True], 62, False, [True, False, False, False], 3491, 'West', (11, 13))
Element 20: (1, (11, 13), ['.', '%', '%', ''], [(14, 8), (15, 9), (15, 10)], [False, True, True, False], 60, False, [True, False, False, False], 3510, 'West', (10, 13))
Element 21: (1, (10, 13), ['%', '.', '%', ''], [(14, 7), (15, 8), (14, 10)], [True, False, True, False], 58, False, [False, True, False, False], 3529, 'South', (10, 12))
