Element 1: (3, (18, 8), ['.', '%', '.', '%'], [(3, 10), (5, 13), (9, 7)], [False, True, False, True], 98, False, [True, False, True, False], 2009, 'North', (18, 9))
Element 2: (3, (18, 9), ['.', '', '.', '%'], [(4, 10), (4, 13), (10, 7)], [False, False, False, True], 96, False, [True, False, True, False], 4028, 'North', (18, 10))
Element 3: (3, (18, 10), ['.', '', '.', '%'], [(5, 10), (3, 13), (10, 8)], [False, False, False, True], 94, False, [True, False, True, False], 4067, 'North', (18, 11))
Element 4: (3, (18, 11), ['.', '', '%', '%'], [(6, 10), (3, 12), (11, 8)], [False, False, True, True], 92, False, [True, False, False, False], 4106, 'West', (17, 11))
Element 5: (3, (17, 11), ['.', '.', '%', ''], [(6, 9), (3, 11), (11, 9)], [False, False, True, False], 90, False, [True, True, False, False], 5135, 'South', (17, 10))
Element 6: (3, (17, 10), ['.', '.', '', ''], [(7, 9), (2, 11), (12, 9)], [False, False, False, False], 88, False, [True, True, False, False], 6164, 'South', (17, 9))
Element 7: (3, (17, 9), ['.', '.', '', ''], [(8, 9), (2, 12), (13, 9)], [False, False, False, False], 86, False, [True, True, False, False], 6203, 'South', (17, 8))
Element 8: (3, (17, 8), ['.', '%', '', ''], [(9, 9), (2, 13), (13, 10)], [False, True, False, False], 84, False, [True, False, False, False], 6242, 'West', (16, 8))
Element 9: (3, (16, 8), ['.', '.', '.', ''], [(9, 10), (2, 12), (14, 10)], [False, False, False, False], 82, False, [True, True, True, False], 6271, 'North', (16, 9))
Element 10: (3, (16, 9), ['.', '', '.', ''], [(10, 10), (1, 12), (15, 10)], [False, False, False, False], 80, False, [True, False, True, False], 6310, 'North', (16, 10))
Element 11: (3, (16, 10), ['', '', '.', ''], [(11, 10), (1, 11), (15, 11)], [False, False, False, False], 78, False, [False, False, True, False], 6349, 'North', (16, 11))
Element 12: (3, (16, 11), ['', '', '.', ''], [(12, 10), (1, 10), (15, 12)], [False, False, False, False], 76, False, [False, False, True, False], 6388, 'North', (16, 12))
Element 13: (3, (16, 12), ['', '', '.', '%'], [(12, 11), (2, 10), (14, 12)], [False, False, False, True], 74, False, [False, False, True, False], 6417, 'North', (16, 13))
Element 14: (3, (16, 13), ['%', '', '%', '.'], [(13, 11), (3, 10), (14, 11)], [True, False, True, False], 72, False, [False, False, False, True], 6446, 'East', (17, 13))
Element 15: (3, (17, 13), ['', '%', '%', '.'], [(13, 12), (4, 10), (13, 11)], [False, True, True, False], 70, False, [False, False, False, True], 6465, 'East', (18, 13))
Element 16: (3, (18, 13), ['', '%', '%', '%'], [(12, 12), (4, 9), (13, 12)], [False, True, True, True], 68, False, [False, False, False, False], 6494, 'West', (17, 13))
Element 17: (3, (17, 13), ['', '%', '%', ''], [(12, 13), (5, 9), (12, 12)], [False, True, True, False], 66, False, [False, False, False, False], 7503, 'West', (16, 13))
Element 18: (3, (16, 13), ['%', '', '%', ''], [(11, 13), (6, 9), (12, 13)], [True, False, True, False], 64, False, [False, False, False, False], 7512, 'South', (16, 12))
Element 19: (3, (16, 12), ['', '', '', '%'], [(10, 13), (7, 9), (11, 13)], [False, False, False, True], 62, False, [False, False, False, False], 7521, 'West', (15, 12))
Element 20: (3, (15, 12), ['', '', '%', ''], [(10, 12), (7, 10), (10, 13)], [False, False, True, False], 60, False, [False, False, False, False], 7540, 'South', (15, 11))
Element 21: (3, (15, 11), ['', '', '', ''], [(10, 11), (7, 11), (10, 12)], [False, False, False, False], 58, False, [False, False, False, False], 8549, 'South', (15, 10))
Element 22: (3, (15, 10), ['', '.', '', ''], [(11, 11), (8, 11), (9, 12)], [False, False, False, False], 56, False, [False, True, False, False], 8578, 'South', (15, 9))
Element 23: (3, (15, 9), ['%', '.', '', ''], [(10, 11), (9, 11), (10, 12)], [True, False, False, False], 54, False, [False, True, False, False], 8597, 'South', (15, 8))
Element 24: (3, (15, 8), ['.', '.', '', ''], [(10, 10), (10, 11), (9, 12)], [False, False, False, False], 52, False, [True, True, False, False], 8606, 'South', (15, 7))
Element 25: (3, (15, 7), ['.', '.', '', '.'], [(9, 10), (11, 11), (10, 12)], [False, False, False, False], 50, False, [True, True, False, True], 8615, 'East', (16, 7))
Element 26: (3, (16, 7), ['', '.', '', '%'], [(9, 9), (12, 11), (10, 13)], [False, False, False, True], 48, False, [False, True, False, False], 8624, 'South', (16, 6))
Element 27: (3, (16, 6), ['.', '%', '', '.'], [(9, 10), (13, 11), (11, 13)], [False, True, False, False], 46, False, [True, False, False, True], 8633, 'East', (17, 6))
Element 28: (3, (17, 6), ['', '.', '%', '.'], [(9, 11), (14, 11), (12, 13)], [False, False, True, False], 44, False, [False, True, False, True], 8642, 'East', (18, 6))
Element 29: (3, (18, 6), ['', '.', '%', '%'], [(9, 12), (15, 11), (12, 12)], [False, False, True, True], 42, False, [False, True, False, False], 8651, 'South', (18, 5))
Element 30: (3, (18, 5), ['.', '.', '', '%'], [(9, 11), (16, 11), (12, 11)], [False, False, False, True], 40, False, [True, True, False, False], 8660, 'South', (18, 4))
Element 31: (3, (18, 4), ['.', '%', '', '%'], [(8, 11), (17, 11), (12, 10)], [False, True, False, True], 38, False, [True, False, False, False], 8669, 'West', (17, 4))
Element 32: (3, (17, 4), ['.', '.', '.', ''], [(8, 10), (18, 11), (11, 10)], [False, False, False, False], 36, False, [True, True, True, False], 8688, 'North', (17, 5))
Element 33: (3, (17, 5), ['%', '', '', ''], [(7, 10), (18, 10), (11, 11)], [True, False, False, False], 34, False, [False, False, False, False], 8697, 'South', (17, 4))
Element 34: (3, (17, 4), ['.', '.', '', ''], [(7, 11), (18, 9), (10, 11)], [False, False, False, False], 32, False, [True, True, False, False], 8696, 'South', (17, 3))
Element 35: (3, (17, 3), ['.', '%', '', '%'], [(6, 11), (18, 8), (10, 10)], [False, True, False, True], 30, False, [True, False, False, False], 8715, 'West', (16, 3))
Element 36: (3, (16, 3), ['%', '.', '.', ''], [(5, 11), (17, 8), (9, 10)], [True, False, False, False], 28, False, [False, True, True, False], 8734, 'North', (16, 4))
Element 37: (3, (16, 4), ['.', '', '%', ''], [(6, 11), (17, 9), (9, 11)], [False, False, True, False], 26, False, [True, False, False, False], 8743, 'West', (15, 4))
Element 38: (3, (15, 4), ['%', '%', '.', ''], [(7, 11), (17, 10), (8, 11)], [True, True, False, False], 24, False, [False, False, True, False], 8752, 'North', (15, 5))
Element 39: (3, (15, 5), ['.', '', '.', '%'], [(7, 10), (16, 10), (8, 10)], [False, False, False, True], 22, False, [True, False, True, False], 8761, 'North', (15, 6))
Element 40: (3, (15, 6), ['.', '', '', ''], [(6, 10), (16, 9), (8, 9)], [False, False, False, False], 20, False, [True, False, False, False], 8770, 'West', (14, 6))
Element 41: (3, (14, 6), ['.', '.', '.', ''], [(6, 11), (16, 8), (8, 8)], [False, False, False, False], 18, False, [True, True, True, False], 8789, 'North', (14, 7))
Element 42: (3, (14, 7), ['.', '', '.', ''], [(7, 11), (16, 7), (9, 8)], [False, False, False, False], 16, False, [True, False, True, False], 8808, 'North', (14, 8))
Element 43: (3, (14, 8), ['.', '', '%', ''], [(8, 11), (16, 6), (9, 9)], [False, False, True, False], 14, False, [True, False, False, False], 8817, 'West', (13, 8))
Element 44: (3, (13, 8), ['%', '.', '', ''], [(9, 11), (17, 6), (9, 8)], [True, False, False, False], 12, False, [False, True, False, False], 8826, 'South', (13, 7))
Element 45: (3, (13, 7), ['.', '.', '', ''], [(9, 12), (18, 6), (8, 8)], [False, False, False, False], 10, False, [True, True, False, False], 8835, 'South', (13, 6))
Element 46: (3, (13, 6), ['.', '.', '', ''], [(9, 12), (18, 5), (8, 9)], [False, False, False, False], 8, False, [True, True, False, False], 8844, 'South', (13, 5))
Element 47: (3, (13, 5), ['.', '%', '', '.'], [(9, 12), (18, 4), (9, 9)], [False, True, False, False], 6, False, [True, False, False, True], 8853, 'East', (14, 5))
Element 48: (3, (14, 5), ['', '%', '', ''], [(10, 12), (17, 4), (8, 9)], [False, True, False, False], 4, False, [False, False, False, False], 8862, 'West', (13, 5))
Element 49: (3, (13, 5), ['.', '%', '', ''], [(10, 12), (17, 5), (7, 9)], [False, True, False, False], 2, False, [True, False, False, False], 8861, 'West', (12, 5))
