Element 1: (1, (4, 10), ['.', '.', '%', '.'], [(18, 5), (9, 6), (17, 10)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'East', (5, 10))
Element 2: (1, (5, 10), ['', '.', '.', '.'], [(18, 6), (9, 7), (18, 10)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (6, 10))
Element 3: (1, (6, 10), ['', 'F', '.', '.'], [(17, 6), (10, 7), (18, 11)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'South', (6, 9))
Element 4: (1, (6, 9), ['.', '%', '', 'F'], [(17, 5), (10, 8), (17, 11)], [False, True, False, False], 92, False, [True, False, False, False], 3096, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '%', '.', '.'], [(17, 4), (11, 8), (16, 11)], [False, True, False, False], 90, False, [False, False, True, True], 4125, 'East', (8, 9))
Element 6: (1, (8, 9), ['', '.', '.', '.'], [(17, 3), (11, 9), (16, 12)], [False, False, False, False], 88, False, [False, True, True, True], 4164, 'East', (9, 9))
Element 7: (1, (9, 9), ['', '.', '.', '%'], [(16, 3), (12, 9), (16, 13)], [False, False, False, True], 86, False, [False, True, True, False], 4203, 'North', (9, 10))
Element 8: (1, (9, 10), ['.', '', '.', '.'], [(16, 4), (13, 9), (17, 13)], [False, False, False, False], 84, False, [True, False, True, True], 4242, 'East', (10, 10))
Element 9: (1, (10, 10), ['', '%', '.', '.'], [(15, 4), (13, 10), (18, 13)], [False, True, False, False], 82, False, [False, False, True, True], 4281, 'East', (11, 10))
Element 10: (1, (11, 10), ['', '', '.', '.'], [(15, 5), (14, 10), (17, 13)], [False, False, False, False], 80, False, [False, False, True, True], 4310, 'East', (12, 10))
Element 11: (1, (12, 10), ['', '', '.', ''], [(15, 6), (15, 10), (16, 13)], [False, False, False, False], 78, False, [False, False, True, False], 4339, 'North', (12, 11))
Element 12: (1, (12, 11), ['.', '', '.', '.'], [(16, 6), (16, 10), (16, 12)], [False, False, False, False], 76, False, [True, False, True, True], 4368, 'East', (13, 11))
Element 13: (1, (13, 11), ['', '', '.', '.'], [(16, 7), (16, 9), (15, 12)], [False, False, False, False], 74, False, [False, False, True, True], 4407, 'East', (14, 11))
Element 14: (1, (14, 11), ['', '', '.', 'G'], [(16, 8), (17, 9), (15, 11)], [False, False, False, False], 72, False, [False, False, True, False], 4446, 'North', (14, 12))
Element 15: (1, (14, 12), ['.', '', '%', ''], [(17, 8), (18, 9), (15, 10)], [False, False, True, False], 70, False, [True, False, False, False], 4475, 'West', (13, 12))
Element 16: (1, (13, 12), ['.', '', '%', ''], [(17, 9), (18, 8), (15, 9)], [False, False, True, False], 68, False, [True, False, False, False], 4504, 'West', (12, 12))
Element 17: (1, (12, 12), ['%', '', 'F', ''], [(18, 9), (17, 8), (15, 8)], [True, False, False, False], 66, False, [False, False, False, False], 4523, 'North', (12, 13))
Element 18: (1, (12, 13), ['.', '', '%', '%'], [(18, 10), (16, 8), (15, 7)], [False, False, True, True], 64, False, [True, False, False, False], 5532, 'West', (11, 13))
Element 19: (1, (11, 13), ['.', '%', '%', ''], [(18, 11), (16, 7), (14, 7)], [False, True, True, False], 62, False, [True, False, False, False], 5551, 'West', (10, 13))
Element 20: (1, (10, 13), ['%', '.', '%', ''], [(17, 11), (16, 6), (14, 8)], [True, False, True, False], 60, False, [False, True, False, False], 5570, 'South', (10, 12))
Element 21: (1, (10, 12), ['.', '.', '', '%'], [(17, 10), (17, 6), (13, 8)], [False, False, False, True], 58, False, [True, True, False, False], 5589, 'South', (10, 11))
Element 22: (1, (10, 11), ['.', '', '', '.'], [(16, 10), (18, 6), (13, 7)], [False, False, False, False], 56, False, [True, False, False, True], 5608, 'East', (11, 11))
Element 23: (1, (11, 11), ['', '', '%', ''], [(16, 11), (18, 5), (13, 6)], [False, False, True, False], 54, False, [False, False, False, False], 5627, 'West', (10, 11))
Element 24: (1, (10, 11), ['.', '', '', ''], [(16, 12), (18, 4), (14, 6)], [False, False, False, False], 52, False, [True, False, False, False], 5636, 'West', (9, 11))
Element 25: (1, (9, 11), ['.', '', '.', ''], [(16, 13), (17, 4), (14, 5)], [False, False, False, False], 50, False, [True, False, True, False], 5655, 'North', (9, 12))
Element 26: (1, (9, 12), ['%', '', '%', ''], [(17, 13), (17, 5), (13, 5)], [True, False, True, False], 48, False, [False, False, False, False], 5674, 'South', (9, 11))
Element 27: (1, (9, 11), ['.', '', '', ''], [(18, 13), (17, 4), (12, 5)], [False, False, False, False], 46, False, [True, False, False, False], 5683, 'West', (8, 11))
Element 28: (1, (8, 11), ['F', '.', '%', ''], [(17, 13), (17, 3), (12, 6)], [False, False, True, False], 44, False, [False, True, False, False], 5702, 'West', (7, 11))
Element 29: (1, (7, 11), ['.', '.', '%', ''], [(16, 13), (16, 3), (12, 7)], [False, False, True, False], 42, False, [True, True, False, False], 6711, 'South', (7, 10))
Element 30: (1, (7, 10), ['', '', '', '.'], [(16, 12), (16, 2), (12, 6)], [False, False, False, False], 40, False, [False, False, False, True], 6730, 'East', (8, 10))
Element 31: (1, (8, 10), ['', '', '', ''], [(15, 12), (15, 2), (12, 5)], [False, False, False, False], 38, False, [False, False, False, False], 6749, 'West', (7, 10))
Element 32: (1, (7, 10), ['', '', '', ''], [(15, 11), (14, 2), (13, 5)], [False, False, False, False], 36, False, [False, False, False, False], 6758, 'North', (7, 11))
Element 33: (1, (7, 11), ['.', '', '%', ''], [(15, 10), (14, 3), (14, 5)], [False, False, True, False], 34, False, [True, False, False, False], 6767, 'West', (6, 11))
Element 34: (1, (6, 11), ['.', '', '%', ''], [(15, 9), (13, 3), (15, 5)], [False, False, True, False], 32, False, [True, False, False, False], 6786, 'West', (5, 11))
Element 35: (1, (5, 11), ['%', '', '%', ''], [(16, 9), (12, 3), (15, 6)], [True, False, True, False], 30, False, [False, False, False, False], 6805, 'East', (6, 11))
Element 36: (1, (6, 11), ['', '', '%', ''], [(15, 9), (12, 2), (16, 6)], [False, False, True, False], 28, False, [False, False, False, False], 6814, 'East', (7, 11))
Element 37: (1, (7, 11), ['', '', '%', ''], [(15, 8), (12, 1), (17, 6)], [False, False, True, False], 26, False, [False, False, False, False], 6823, 'East', (8, 11))
Element 38: (1, (8, 11), ['', '', '%', ''], [(15, 7), (13, 1), (18, 6)], [False, False, True, False], 24, False, [False, False, False, False], 6832, 'South', (8, 10))
Element 39: (1, (8, 10), ['', '', '', ''], [(14, 7), (14, 1), (18, 5)], [False, False, False, False], 22, False, [False, False, False, False], 6841, 'North', (8, 11))
Element 40: (1, (8, 11), ['', '', '%', ''], [(14, 8), (13, 1), (18, 4)], [False, False, True, False], 20, False, [False, False, False, False], 6840, 'East', (9, 11))
Element 41: (1, (9, 11), ['', '', '', ''], [(13, 8), (12, 1), (17, 4)], [False, False, False, False], 18, False, [False, False, False, False], 6839, 'East', (10, 11))
Element 42: (1, (10, 11), ['', '', '', ''], [(13, 9), (11, 1), (17, 5)], [False, False, False, False], 16, False, [False, False, False, False], 6848, 'North', (10, 12))
Element 43: (1, (10, 12), ['', '', '', '%'], [(13, 10), (11, 2), (17, 4)], [False, False, False, True], 14, False, [False, False, False, False], 6857, 'West', (9, 12))
Element 44: (1, (9, 12), ['%', '', '%', ''], [(14, 10), (11, 3), (17, 3)], [True, False, True, False], 12, False, [False, False, False, False], 6866, 'East', (10, 12))
Element 45: (1, (10, 12), ['', '', '', '%'], [(14, 11), (10, 3), (16, 3)], [False, False, False, True], 10, False, [False, False, False, False], 6875, 'North', (10, 13))
Element 46: (1, (10, 13), ['%', '', '%', ''], [(14, 12), (10, 4), (16, 4)], [True, False, True, False], 8, False, [False, False, False, False], 6884, 'East', (11, 13))
Element 47: (1, (11, 13), ['', '%', '%', ''], [(13, 12), (10, 5), (15, 4)], [False, True, True, False], 6, False, [False, False, False, False], 6893, 'East', (12, 13))
