Element 39: (0, (12, 6), ['%', '.', '.', ''], [(18, 6), (15, 5), (14, 11)], [True, False, False, False], 22, False, [False, True, True, False], 7972, 'North', (12, 7))
Element 40: (0, (12, 7), ['%', '', '%', ''], [(17, 6), (15, 4), (13, 11)], [True, False, True, False], 20, False, [False, False, False, False], 7981, 'South', (12, 6))
Element 41: (0, (12, 6), ['%', '.', '', ''], [(17, 5), (16, 4), (12, 11)], [True, False, False, False], 18, False, [False, True, False, False], 7980, 'South', (12, 5))
Element 42: (0, (12, 5), ['%', '%', '', ''], [(17, 6), (16, 3), (12, 10)], [True, True, False, False], 16, False, [False, False, False, False], 7989, 'North', (12, 6))
Element 43: (0, (12, 6), ['%', '', '', ''], [(16, 6), (17, 3), (11, 10)], [True, False, False, False], 14, False, [False, False, False, False], 7988, 'East', (13, 6))
Element 44: (0, (13, 6), ['', '', '', ''], [(16, 7), (16, 3), (10, 10)], [False, False, False, False], 12, False, [False, False, False, False], 7987, 'South', (13, 5))
Element 45: (0, (13, 5), ['', '%', '', ''], [(16, 8), (16, 2), (9, 10)], [False, True, False, False], 10, False, [False, False, False, False], 7986, 'West', (12, 5))
Element 46: (0, (12, 5), ['%', '%', '', ''], [(17, 8), (15, 2), (9, 11)], [True, True, False, False], 8, False, [False, False, False, False], 7995, 'East', (13, 5))
Element 47: (0, (13, 5), ['', '%', '', ''], [(18, 8), (14, 2), (9, 12)], [False, True, False, False], 6, False, [False, False, False, False], 8004, 'East', (14, 5))
Element 48: (0, (14, 5), ['', '%', '', ''], [(18, 9), (14, 3), (9, 11)], [False, True, False, False], 4, False, [False, False, False, False], 8013, 'East', (15, 5))
Element 49: (0, (15, 5), ['', '', '', '%'], [(18, 10), (13, 3), (8, 11)], [False, False, False, True], 2, False, [False, False, False, False], 8032, 'South', (15, 4))
Element 50: (0, (15, 4), ['%', '%', '', ''], [(18, 11), (12, 3), (7, 11)], [True, True, False, False], 0, False, [False, False, False, False], 9041, 'Stop', (15, 4))
Element 51: #0#
