Element 1: (0, (15, 10), ['G', '.', '.', '.'], [(10, 10), (14, 10), (17, 5)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'East', (16, 10))
Element 2: (0, (16, 10), ['', '.', '.', '.'], [(11, 10), (14, 11), (18, 5)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (17, 10))
Element 3: (0, (17, 10), ['', '.', '.', '.'], [(12, 10), (15, 11), (18, 6)], [False, False, False, False], 94, False, [False, True, True, True], 78, 'East', (18, 10))
Element 4: (0, (18, 10), ['', '.', '.', '%'], [(13, 10), (16, 11), (17, 6)], [False, False, False, True], 92, False, [False, True, True, False], 117, 'North', (18, 11))
Element 5: (0, (18, 11), ['G', '', '%', '%'], [(13, 11), (17, 11), (16, 6)], [False, False, True, True], 90, False, [False, False, False, False], 156, 'South', (18, 10))
Element 6: (0, (18, 10), ['', '.', 'G', '%'], [(13, 12), (18, 11), (16, 7)], [False, False, False, True], 88, False, [False, True, False, False], 175, 'South', (18, 9))
Element 7: (0, (18, 9), ['.', '.', 'G', '%'], [(14, 12), (18, 10), (16, 8)], [False, False, False, True], 86, False, [True, True, False, False], 204, 'South', (18, 8))
Element 8: (0, (18, 8), ['G', '%', 'G', '%'], [(15, 12), (18, 9), (17, 8)], [False, True, False, True], 84, False, [False, False, False, False], 233, 'Stop', (18, 8))
Element 9: (0, (18, 8), ['', '%', '', '%'], [(16, 12), (17, 9), (16, 8)], [False, True, False, True], 82, False, [False, False, False, False], 252, 'West', (17, 8))
Element 10: (0, (17, 8), ['', '%', '', ''], [(16, 13), (16, 9), (16, 7)], [False, True, False, False], 80, False, [False, False, False, False], 271, 'North', (17, 9))
Element 11: (0, (17, 9), ['', '', '', ''], [(17, 13), (15, 9), (16, 8)], [False, False, False, False], 78, False, [False, False, False, False], 290, 'West', (16, 9))
Element 12: (0, (16, 9), ['', '', '', ''], [(18, 13), (15, 8), (16, 7)], [False, False, False, False], 76, False, [False, False, False, False], 309, 'South', (16, 8))
Element 13: (0, (16, 8), ['', '', '', ''], [(17, 13), (15, 7), (16, 6)], [False, False, False, False], 74, False, [False, False, False, False], 318, 'South', (16, 7))
Element 14: (0, (16, 7), ['', '', '', '%'], [(16, 13), (15, 6), (17, 6)], [False, False, False, True], 72, False, [False, False, False, False], 327, 'South', (16, 6))
Element 15: (0, (16, 6), ['', '%', '', 'G'], [(16, 12), (15, 5), (17, 6)], [False, True, False, False], 70, False, [False, False, False, False], 336, 'West', (15, 6))
Element 16: (0, (15, 6), ['.', '', '', ''], [(16, 11), (15, 4), (17, 6)], [False, False, False, False], 68, False, [True, False, False, False], 345, 'West', (14, 6))
Element 17: (0, (14, 6), ['.', '.', '.', ''], [(17, 11), (16, 4), (16, 6)], [False, False, False, False], 66, False, [True, True, True, False], 364, 'North', (14, 7))
Element 18: (0, (14, 7), ['.', '', '.', ''], [(18, 11), (17, 4), (15, 6)], [False, False, False, False], 64, False, [True, False, True, False], 383, 'North', (14, 8))
Element 19: (0, (14, 8), ['.', '', '%', ''], [(18, 10), (18, 4), (15, 7)], [False, False, True, False], 62, False, [True, False, False, False], 402, 'West', (13, 8))
Element 20: (0, (13, 8), ['%', '.', '.', ''], [(18, 9), (18, 5), (15, 8)], [True, False, False, False], 60, False, [False, True, True, False], 411, 'North', (13, 9))
Element 21: (0, (13, 9), ['.', '', '', '%'], [(18, 8), (18, 6), (15, 9)], [False, False, False, True], 58, False, [True, False, False, False], 420, 'West', (12, 9))
Element 22: (0, (12, 9), ['.', '%', '', ''], [(17, 8), (17, 6), (16, 9)], [False, True, False, False], 56, False, [True, False, False, False], 429, 'West', (11, 9))
Element 23: (0, (11, 9), ['%', '.', '', ''], [(17, 9), (17, 5), (16, 10)], [True, False, False, False], 54, False, [False, True, False, False], 438, 'South', (11, 8))
Element 24: (0, (11, 8), ['.', '%', '', '%'], [(17, 10), (17, 6), (16, 11)], [False, True, False, True], 52, False, [True, False, False, False], 447, 'West', (10, 8))
Element 25: (0, (10, 8), ['.', 'F', '%', ''], [(16, 10), (16, 6), (17, 11)], [False, False, True, False], 50, False, [True, False, False, False], 456, 'South', (10, 7))
Element 26: (0, (10, 7), ['F', '.', '', '%'], [(16, 9), (16, 7), (18, 11)], [False, False, False, True], 48, False, [False, True, False, False], 1455, 'West', (9, 7))
Element 27: (0, (9, 7), ['%', '.', '.', ''], [(16, 8), (16, 6), (18, 10)], [True, False, False, False], 46, False, [False, True, True, False], 2454, 'North', (9, 8))
Element 28: (0, (9, 8), ['.', '', '.', ''], [(16, 7), (17, 6), (18, 9)], [False, False, False, False], 44, False, [True, False, True, False], 2463, 'North', (9, 9))
Element 29: (0, (9, 9), ['.', '', '.', '%'], [(16, 6), (18, 6), (18, 8)], [False, False, False, True], 42, False, [True, False, True, False], 2472, 'North', (9, 10))
Element 30: (0, (9, 10), ['.', '', '.', ''], [(17, 6), (18, 5), (18, 9)], [False, False, False, False], 40, False, [True, False, True, False], 2481, 'North', (9, 11))
Element 31: (0, (9, 11), ['.', '', '.', '.'], [(18, 6), (17, 5), (17, 9)], [False, False, False, False], 38, False, [True, False, True, True], 2490, 'East', (10, 11))
Element 32: (0, (10, 11), ['', '', '.', '.'], [(18, 5), (17, 4), (17, 10)], [False, False, False, False], 36, False, [False, False, True, True], 2499, 'East', (11, 11))
Element 33: (0, (11, 11), ['', '', '%', '.'], [(18, 4), (16, 4), (17, 9)], [False, False, True, False], 34, False, [False, False, False, True], 2508, 'East', (12, 11))
Element 34: (0, (12, 11), ['', '', '.', ''], [(17, 4), (15, 4), (18, 9)], [False, False, False, False], 32, False, [False, False, True, False], 2517, 'North', (12, 12))
Element 35: (0, (12, 12), ['%', '', 'F', ''], [(17, 3), (15, 5), (18, 10)], [True, False, False, False], 30, False, [False, False, False, False], 2536, 'North', (12, 13))
Element 36: (0, (12, 13), ['.', '', '%', '%'], [(16, 3), (15, 4), (17, 10)], [False, False, True, True], 28, False, [True, False, False, False], 3545, 'West', (11, 13))
Element 37: (0, (11, 13), ['.', '%', '%', ''], [(16, 2), (15, 5), (18, 10)], [False, True, True, False], 26, False, [True, False, False, False], 3564, 'West', (10, 13))
Element 38: (0, (10, 13), ['%', '.', '%', ''], [(15, 2), (15, 4), (18, 11)], [True, False, True, False], 24, False, [False, True, False, False], 3583, 'South', (10, 12))
Element 39: (0, (10, 12), ['.', '', '', '%'], [(14, 2), (16, 4), (17, 11)], [False, False, False, True], 22, False, [True, False, False, False], 3602, 'West', (9, 12))
Element 40: (0, (9, 12), ['%', '', '%', ''], [(14, 3), (16, 3), (17, 10)], [True, False, True, False], 20, False, [False, False, False, False], 3621, 'East', (10, 12))
Element 41: (0, (10, 12), ['', '', '', '%'], [(13, 3), (17, 3), (17, 11)], [False, False, False, True], 18, False, [False, False, False, False], 3630, 'North', (10, 13))
Element 42: (0, (10, 13), ['%', '', '%', ''], [(12, 3), (16, 3), (16, 11)], [True, False, True, False], 16, False, [False, False, False, False], 3639, 'East', (11, 13))
Element 43: (0, (11, 13), ['', '%', '%', ''], [(12, 2), (16, 2), (16, 12)], [False, True, True, False], 14, False, [False, False, False, False], 3648, 'East', (12, 13))
Element 44: (0, (12, 13), ['', '', '%', '%'], [(12, 1), (15, 2), (16, 13)], [False, False, True, True], 12, False, [False, False, False, False], 3657, 'South', (12, 12))
Element 45: (0, (12, 12), ['%', '', '', ''], [(13, 1), (14, 2), (17, 13)], [True, False, False, False], 10, False, [False, False, False, False], 3666, 'East', (13, 12))
Element 46: (0, (13, 12), ['', '', '%', ''], [(14, 1), (14, 3), (18, 13)], [False, False, True, False], 8, False, [False, False, False, False], 3675, 'East', (14, 12))
Element 47: (0, (14, 12), ['', '', '%', ''], [(13, 1), (13, 3), (17, 13)], [False, False, True, False], 6, False, [False, False, False, False], 3674, 'East', (15, 12))
Element 48: (0, (15, 12), ['', '', '%', ''], [(12, 1), (12, 3), (16, 13)], [False, False, True, False], 4, False, [False, False, False, False], 3673, 'East', (16, 12))
Element 49: (0, (16, 12), ['', '', '', '%'], [(11, 1), (11, 3), (17, 13)], [False, False, False, True], 2, False, [False, False, False, False], 3692, 'North', (16, 13))
Element 50: (0, (16, 13), ['%', '', '%', 'G'], [(11, 2), (10, 3), (17, 13)], [True, False, True, False], 0, False, [False, False, False, False], 3711, 'Stop', (16, 13))
Element 51: #0#
