Element 1: (3, (14, 8), ['.', '', '%', '.'], [(9, 10), (13, 6), (15, 7)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (15, 8))
Element 2: (3, (15, 8), ['', '', '.', '.'], [(10, 10), (14, 6), (16, 7)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (16, 8))
Element 3: (3, (16, 8), ['', '', '.', '.'], [(11, 10), (15, 6), (16, 6)], [False, False, False, False], 94, False, [False, False, True, True], 107, 'East', (17, 8))
Element 4: (3, (17, 8), ['', '%', '.', '.'], [(12, 10), (15, 5), (17, 6)], [False, True, False, False], 92, False, [False, False, True, True], 146, 'East', (18, 8))
Element 5: (3, (18, 8), ['', '%', '.', '%'], [(13, 10), (15, 4), (18, 6)], [False, True, False, True], 90, False, [False, False, True, False], 185, 'North', (18, 9))
Element 6: (3, (18, 9), ['.', '', '.', '%'], [(14, 10), (16, 4), (18, 5)], [False, False, False, True], 88, False, [True, False, True, False], 224, 'North', (18, 10))
Element 7: (3, (18, 10), ['.', '', '.', '%'], [(15, 10), (17, 4), (18, 4)], [False, False, False, True], 86, False, [True, False, True, False], 263, 'North', (18, 11))
Element 8: (3, (18, 11), ['.', '', '%', '%'], [(16, 10), (17, 5), (17, 4)], [False, False, True, True], 84, False, [True, False, False, False], 292, 'West', (17, 11))
Element 9: (3, (17, 11), ['.', 'G', '%', ''], [(17, 10), (18, 5), (17, 3)], [False, False, True, False], 82, False, [True, False, False, False], 321, 'West', (16, 11))
Element 10: (3, (16, 11), ['.', '', '.', ''], [(17, 9), (18, 6), (16, 3)], [False, False, False, False], 80, False, [True, False, True, False], 350, 'North', (16, 12))
Element 11: (3, (16, 12), ['.', '', '.', '%'], [(16, 9), (17, 6), (16, 2)], [False, False, False, True], 78, False, [True, False, True, False], 379, 'North', (16, 13))
Element 12: (3, (16, 13), ['%', '', '%', '.'], [(15, 9), (16, 6), (15, 2)], [True, False, True, False], 76, False, [False, False, False, True], 408, 'East', (17, 13))
Element 13: (3, (17, 13), ['', '%', '%', '.'], [(15, 8), (16, 7), (14, 2)], [False, True, True, False], 74, False, [False, False, False, True], 427, 'East', (18, 13))
Element 14: (3, (18, 13), ['', '%', '%', '%'], [(16, 8), (15, 7), (14, 3)], [False, True, True, True], 72, False, [False, False, False, False], 446, 'West', (17, 13))
Element 15: (3, (17, 13), ['', '%', '%', ''], [(17, 8), (15, 8), (13, 3)], [False, True, True, False], 70, False, [False, False, False, False], 455, 'West', (16, 13))
Element 16: (3, (16, 13), ['%', '', '%', ''], [(18, 8), (16, 8), (12, 3)], [True, False, True, False], 68, False, [False, False, False, False], 464, 'South', (16, 12))
Element 17: (3, (16, 12), ['.', '', '', '%'], [(18, 9), (17, 8), (12, 2)], [False, False, False, True], 66, False, [True, False, False, False], 473, 'West', (15, 12))
Element 18: (3, (15, 12), ['.', '.', '%', ''], [(18, 10), (18, 8), (12, 1)], [False, False, True, False], 64, False, [True, True, False, False], 492, 'South', (15, 11))
Element 19: (3, (15, 11), ['.', '', '', ''], [(18, 11), (18, 9), (13, 1)], [False, False, False, False], 62, False, [True, False, False, False], 511, 'West', (14, 11))
Element 20: (3, (14, 11), ['.', '', '.', ''], [(17, 11), (18, 10), (14, 1)], [False, False, False, False], 60, False, [True, False, True, False], 530, 'North', (14, 12))
Element 21: (3, (14, 12), ['.', '', '%', ''], [(16, 11), (18, 11), (13, 1)], [False, False, True, False], 58, False, [True, False, False, False], 539, 'West', (13, 12))
Element 22: (3, (13, 12), ['.', '.', '%', ''], [(16, 12), (17, 11), (12, 1)], [False, False, True, False], 56, False, [True, True, False, False], 548, 'South', (13, 11))
Element 23: (3, (13, 11), ['.', '', '', ''], [(16, 13), (17, 10), (11, 1)], [False, False, False, False], 54, False, [True, False, False, False], 567, 'West', (12, 11))
Element 24: (3, (12, 11), ['.', '', '.', ''], [(17, 13), (17, 9), (11, 2)], [False, False, False, False], 52, False, [True, False, True, False], 586, 'North', (12, 12))
Element 25: (3, (12, 12), ['%', '', 'F', ''], [(18, 13), (16, 9), (11, 3)], [True, False, False, False], 50, False, [False, False, False, False], 605, 'North', (12, 13))
Element 26: (3, (12, 13), ['.', '', '%', '%'], [(17, 13), (16, 10), (10, 3)], [False, False, True, True], 48, False, [True, False, False, False], 1614, 'West', (11, 13))
Element 27: (3, (11, 13), ['.', '%', '%', ''], [(16, 13), (16, 11), (10, 4)], [False, True, True, False], 46, False, [True, False, False, False], 1633, 'West', (10, 13))
Element 28: (3, (10, 13), ['%', '.', '%', ''], [(16, 12), (15, 11), (10, 5)], [True, False, True, False], 44, False, [False, True, False, False], 1652, 'South', (10, 12))
