Element 1: (2, (9, 6), ['%', '.', 'F', '.'], [(3, 10), (5, 13), (18, 8)], [True, False, False, False], 98, False, [False, True, False, True], 1009, 'North', (9, 7))
Element 2: (2, (9, 7), ['%', '', '.', 'F'], [(4, 10), (4, 13), (18, 9)], [True, False, False, False], 96, False, [False, False, True, False], 3028, 'East', (10, 7))
Element 3: (2, (10, 7), ['', '.', '.', '%'], [(5, 10), (3, 13), (18, 10)], [False, False, False, True], 94, False, [False, True, True, False], 4057, 'North', (10, 8))
Element 4: (2, (10, 8), ['.', '', '%', '.'], [(6, 10), (3, 12), (18, 11)], [False, False, True, False], 92, False, [True, False, False, True], 4096, 'East', (11, 8))
Element 5: (2, (11, 8), ['', '%', '.', '%'], [(6, 9), (3, 11), (17, 11)], [False, True, False, True], 90, False, [False, False, True, False], 5125, 'North', (11, 9))
Element 6: (2, (11, 9), ['%', '', '.', '.'], [(7, 9), (2, 11), (17, 10)], [True, False, False, False], 88, False, [False, False, True, True], 6154, 'East', (12, 9))
Element 7: (2, (12, 9), ['', '%', '.', '.'], [(8, 9), (2, 12), (17, 9)], [False, True, False, False], 86, False, [False, False, True, True], 6193, 'East', (13, 9))
Element 8: (2, (13, 9), ['', '.', '.', '%'], [(9, 9), (2, 13), (17, 8)], [False, False, False, True], 84, False, [False, True, True, False], 6232, 'North', (13, 10))
Element 9: (2, (13, 10), ['.', '', '.', '.'], [(9, 10), (2, 12), (16, 8)], [False, False, False, False], 82, False, [True, False, True, True], 6261, 'East', (14, 10))
Element 10: (2, (14, 10), ['', '%', '.', '.'], [(10, 10), (1, 12), (16, 9)], [False, True, False, False], 80, False, [False, False, True, True], 6300, 'East', (15, 10))
Element 11: (2, (15, 10), ['', '.', '.', 'G'], [(11, 10), (1, 11), (16, 10)], [False, False, False, False], 78, False, [False, True, True, False], 6339, 'North', (15, 11))
Element 12: (2, (15, 11), ['.', '', '.', 'G'], [(12, 10), (1, 10), (16, 11)], [False, False, False, False], 76, False, [True, False, True, False], 6378, 'North', (15, 12))
Element 13: (2, (15, 12), ['.', '', '%', 'G'], [(12, 11), (2, 10), (16, 12)], [False, False, True, False], 74, False, [True, False, False, False], 6407, 'West', (14, 12))
