Element 1: (1, (8, 8), ['%', '%', '.', '.'], [(5, 6), (13, 12), (15, 9)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (9, 8))
Element 2: (1, (9, 8), ['', 'F', '.', '.'], [(6, 6), (14, 12), (16, 9)], [False, False, False, False], 96, False, [False, False, True, True], 48, 'South', (9, 7))
Element 3: (1, (9, 7), ['%', '.', '', 'F'], [(6, 7), (15, 12), (17, 9)], [True, False, False, False], 94, False, [False, True, False, False], 1077, 'East', (10, 7))
Element 4: (1, (10, 7), ['', '.', '.', '%'], [(5, 7), (16, 12), (18, 9)], [False, False, False, True], 92, False, [False, True, True, False], 2106, 'North', (10, 8))
Element 5: (1, (10, 8), ['', '', '%', '.'], [(6, 7), (16, 13), (18, 10)], [False, False, True, False], 90, False, [False, False, False, True], 2135, 'East', (11, 8))
Element 6: (1, (11, 8), ['', '%', '.', '%'], [(6, 6), (17, 13), (18, 11)], [False, True, False, True], 88, False, [False, False, True, False], 2164, 'North', (11, 9))
Element 7: (1, (11, 9), ['%', '', '.', '.'], [(6, 5), (18, 13), (17, 11)], [True, False, False, False], 86, False, [False, False, True, True], 2203, 'East', (12, 9))
Element 8: (1, (12, 9), ['', '%', '.', '.'], [(7, 5), (17, 13), (17, 10)], [False, True, False, False], 84, False, [False, False, True, True], 2232, 'East', (13, 9))
Element 9: (1, (13, 9), ['', '.', '.', '%'], [(7, 4), (16, 13), (16, 10)], [False, False, False, True], 82, False, [False, True, True, False], 2261, 'North', (13, 10))
Element 10: (1, (13, 10), ['.', '', '.', '.'], [(8, 4), (16, 12), (16, 11)], [False, False, False, False], 80, False, [True, False, True, True], 2290, 'East', (14, 10))
Element 11: (1, (14, 10), ['', '%', '.', '.'], [(9, 4), (15, 12), (15, 11)], [False, True, False, False], 78, False, [False, False, True, True], 2319, 'East', (15, 10))
Element 12: (1, (15, 10), ['', '', '', ''], [(10, 4), (16, 12), (14, 11)], [False, False, False, False], 76, False, [False, False, False, False], 2348, 'East', (16, 10))
Element 13: (1, (16, 10), ['', '', '', ''], [(10, 5), (15, 12), (13, 11)], [False, False, False, False], 74, False, [False, False, False, False], 2367, 'East', (17, 10))
Element 14: (1, (17, 10), ['', '', '', ''], [(10, 6), (15, 11), (12, 11)], [False, False, False, False], 72, False, [False, False, False, False], 2386, 'East', (18, 10))
Element 15: (1, (18, 10), ['', '', '', '%'], [(9, 6), (16, 11), (12, 12)], [False, False, False, True], 70, False, [False, False, False, False], 2405, 'North', (18, 11))
Element 16: (1, (18, 11), ['G', '', '%', '%'], [(9, 5), (17, 11), (12, 13)], [False, False, True, True], 68, False, [False, False, False, False], 3414, 'South', (18, 10))
Element 17: (1, (18, 10), ['', '', 'G', '%'], [(9, 6), (18, 11), (11, 13)], [False, False, False, True], 66, False, [False, False, False, False], 3423, 'South', (18, 9))
Element 18: (1, (18, 9), ['', '.', 'G', '%'], [(9, 7), (18, 10), (10, 13)], [False, False, False, True], 64, False, [False, True, False, False], 3432, 'South', (18, 8))
Element 19: (1, (18, 8), ['.', '%', 'G', '%'], [(10, 7), (18, 9), (10, 12)], [False, True, False, True], 62, False, [True, False, False, False], 3451, 'West', (17, 8))
Element 20: (1, (17, 8), ['.', '%', '', 'G'], [(10, 8), (18, 8), (10, 11)], [False, True, False, False], 60, False, [True, False, False, False], 3470, 'West', (16, 8))
Element 21: (1, (16, 8), ['.', '.', '', 'G'], [(11, 8), (17, 8), (11, 11)], [False, False, False, False], 58, False, [True, True, False, False], 3489, 'South', (16, 7))
Element 22: (1, (16, 7), ['.', '.', '', '%'], [(11, 9), (17, 9), (11, 10)], [False, False, False, True], 56, False, [True, True, False, False], 3508, 'South', (16, 6))
Element 23: (1, (16, 6), ['.', '%', '', '.'], [(12, 9), (17, 10), (12, 10)], [False, True, False, False], 54, False, [True, False, False, True], 3527, 'East', (17, 6))
Element 24: (1, (17, 6), ['', '.', '%', '.'], [(13, 9), (16, 10), (13, 10)], [False, False, True, False], 52, False, [False, True, False, True], 3536, 'East', (18, 6))
Element 25: (1, (18, 6), ['', '.', '%', '%'], [(13, 8), (16, 9), (14, 10)], [False, False, True, True], 50, False, [False, True, False, False], 3555, 'South', (18, 5))
Element 26: (1, (18, 5), ['.', '.', '', '%'], [(14, 8), (16, 8), (15, 10)], [False, False, False, True], 48, False, [True, True, False, False], 3574, 'South', (18, 4))
Element 27: (1, (18, 4), ['.', '%', '', '%'], [(14, 7), (15, 8), (14, 10)], [False, True, False, True], 46, False, [True, False, False, False], 3603, 'West', (17, 4))
Element 28: (1, (17, 4), ['.', '.', '.', ''], [(14, 6), (15, 7), (13, 10)], [False, False, False, False], 44, False, [True, True, True, False], 3632, 'North', (17, 5))
Element 29: (1, (17, 5), ['%', '', '', ''], [(14, 5), (15, 6), (12, 10)], [True, False, False, False], 42, False, [False, False, False, False], 3661, 'South', (17, 4))
Element 30: (1, (17, 4), ['.', '.', '', ''], [(13, 5), (15, 5), (11, 10)], [False, False, False, False], 40, False, [True, True, False, False], 3680, 'South', (17, 3))
Element 31: (1, (17, 3), ['.', '%', '', '%'], [(13, 6), (15, 4), (10, 10)], [False, True, False, True], 38, False, [True, False, False, False], 3719, 'West', (16, 3))
Element 32: (1, (16, 3), ['%', '.', 'G', ''], [(13, 7), (16, 4), (9, 10)], [True, False, False, False], 36, False, [False, True, False, False], 3758, 'South', (16, 2))
Element 33: (1, (16, 2), ['.', '%', '', '%'], [(12, 7), (17, 4), (9, 11)], [False, True, False, True], 34, False, [True, False, False, False], 3787, 'West', (15, 2))
Element 34: (1, (15, 2), ['.', '%', '%', ''], [(12, 6), (18, 4), (9, 12)], [False, True, True, False], 32, False, [True, False, False, False], 3816, 'West', (14, 2))
Element 35: (1, (14, 2), ['%', '.', '.', ''], [(12, 5), (18, 5), (9, 11)], [True, False, False, False], 30, False, [False, True, True, False], 3835, 'North', (14, 3))
Element 36: (1, (14, 3), ['.', '', '%', '%'], [(12, 6), (18, 6), (8, 11)], [False, False, True, True], 28, False, [True, False, False, False], 3854, 'West', (13, 3))
Element 37: (1, (13, 3), ['.', '%', '%', ''], [(12, 7), (17, 6), (7, 11)], [False, True, True, False], 26, False, [True, False, False, False], 4863, 'West', (12, 3))
Element 38: (1, (12, 3), ['.', '.', '%', ''], [(13, 7), (17, 5), (7, 10)], [False, False, True, False], 24, False, [True, True, False, False], 4882, 'South', (12, 2))
Element 39: (1, (12, 2), ['.', '.', '', '%'], [(13, 6), (17, 6), (7, 9)], [False, False, False, True], 22, False, [True, True, False, False], 5891, 'South', (12, 1))
Element 40: (1, (12, 1), ['.', '%', '', '.'], [(12, 6), (16, 6), (6, 9)], [False, True, False, False], 20, False, [True, False, False, True], 6900, 'East', (13, 1))
Element 41: (1, (13, 1), ['', '%', '%', '.'], [(13, 6), (16, 7), (6, 10)], [False, True, True, False], 18, False, [False, False, False, True], 6919, 'East', (14, 1))
Element 42: (1, (14, 1), ['', '%', '', '%'], [(13, 5), (16, 6), (6, 11)], [False, True, False, True], 16, False, [False, False, False, False], 6938, 'West', (13, 1))
Element 43: (1, (13, 1), ['', '%', '%', ''], [(12, 5), (17, 6), (5, 11)], [False, True, True, False], 14, False, [False, False, False, False], 6947, 'West', (12, 1))
Element 44: (1, (12, 1), ['.', '%', '', ''], [(13, 5), (18, 6), (5, 10)], [False, True, False, False], 12, False, [True, False, False, False], 6956, 'West', (11, 1))
